{' A': -0.80889344, 'A': -10.1387825, ' B': -0.59010154, ' "': -8.692387, " '": -9.863986}
{' A': -0.15613638, ' B': -1.9377602, ' "': -8.431625, ' (': -9.219602, 'A': -9.371743}
{' A': -0.24498038, 'A': -9.478133, ' B': -1.5292096, ' (': -9.300517, ' "': -8.265184}
{' A': -0.12532406, 'A': -9.39683, ' B': -2.1440122, ' (': -9.173544, ' "': -8.208588}
{' A': -0.51368934, 'A': -9.608465, ' B': -0.91319495, ' (': -9.491302, ' "': -8.5703535}
{' A': -0.2263498, 'A': -9.327212, ' B': -1.599618, ' (': -9.379108, ' "': -8.2437105}
{' A': -0.20370528, 'A': -9.395931, ' B': -1.6942677, ' (': -9.155233, ' "': -8.361422}
{' A': -0.121132724, 'A': -9.358745, ' B': -2.1750972, ' (': -9.350882, ' "': -8.557957}
{' A': -0.18067966, 'A': -9.417704, ' B': -1.803839, ' (': -9.210079, ' "': -8.118915}
{' A': -0.09538675, 'A': -9.303566, ' B': -2.4026797, ' (': -9.489801, ' "': -8.435667}
{' A': -0.0293106, ' B': -3.5633316, ' "': -8.362058, 'A': -9.262093, ' (': -9.304974}
{' A': -0.14042078, 'A': -9.372093, ' B': -2.036989, ' (': -9.209401, ' "': -8.27351}
{' A': -0.11656707, 'A': -9.373942, ' B': -2.2116733, ' (': -9.408068, ' "': -8.412308}
{' A': -0.123237036, 'A': -9.376591, ' B': -2.1589558, ' (': -9.488553, ' "': -8.433573}
{' A': -0.18832146, 'A': -9.414223, ' B': -1.7653325, ' (': -9.5239525, ' "': -8.331092}
{' A': -0.030936811, 'A': -9.214086, ' B': -3.510015, ' (': -9.412215, ' "': -8.28839}
{' A': -0.17680188, 'A': -9.36701, ' B': -1.8231775, ' (': -9.347348, ' "': -8.356522}
{' A': -0.059447058, 'A': -9.342266, ' B': -2.8612218, ' (': -9.330578, ' "': -8.430047}
{' A': -0.10931876, 'A': -9.254204, ' B': -2.272462, ' (': -9.447915, ' "': -8.500262}
{' A': -0.05400095, 'A': -9.327544, ' B': -2.95524, ' (': -9.464944, ' "': -8.428356}
{' A': -0.03397219, ' B': -3.4157698, ' "': -8.360293, 'A': -9.217827, ' (': -9.354179}
{' A': -0.052520525, 'A': -9.277349, ' B': -2.9828546, ' (': -9.306012, ' "': -8.462535}
{' A': -0.07108223, 'A': -9.298369, ' B': -2.6858418, ' (': -9.619161, ' "': -8.572468}
{' A': -0.037973523, 'A': -9.30849, ' B': -3.3023565, ' (': -9.49431, ' "': -8.567634}
{' A': -0.26562276, 'A': -9.475566, ' B': -1.4582039, ' (': -9.400203, ' "': -8.113936}
{' A': -0.4644183, ' B': -0.992113, ' "': -7.9633937, ' (': -9.365042, " '": -9.398473}
{' A': -0.5664609, ' B': -0.8398812, ' "': -8.035689, 'A': -9.442718, " '": -9.464918}
{' A': -0.63928074, ' B': -0.7514024, ' (': -9.598919, ' "': -8.203399, " '": -9.601984}
{' A': -0.75037146, ' B': -0.64020485, ' (': -9.629787, ' "': -8.197003, " '": -9.593795}
{' A': -0.32353395, 'A': -9.35869, ' B': -1.288105, ' "': -8.22448, " '": -9.561488}
{' A': -0.70312786, ' B': -0.6844205, ' (': -9.718523, ' "': -8.247856, " '": -9.647986}
{' A': -0.14177527, 'A': -9.045979, ' B': -2.02845, ' "': -8.219236, " '": -9.505531}
{' A': -0.18297358, 'A': -9.245349, ' B': -1.7918946, ' "': -8.358676, " '": -9.61317}
{' A': -0.09624413, 'A': -9.21416, ' B': -2.3948853, ' "': -8.287243, " '": -9.576398}
{' A': -0.082867526, ' B': -2.537894, ' "': -8.511281, 'A': -9.2002945, " '": -9.795246}
{' A': -0.06579571, ' B': -2.7630937, ' "': -8.295369, 'A': -9.170034, " '": -9.572554}
{' A': -0.08545224, 'A': -9.120868, ' B': -2.5090456, ' "': -8.348561, " '": -9.662565}
{' A': -0.027538616, ' B': -3.6234932, ' "': -8.530262, 'A': -9.248052, ' (': -9.763566}
{' A': -0.045755748, 'A': -9.257161, ' B': -3.1178877, ' "': -8.490112, " '": -9.815544}
{' A': -0.020091541, 'A': -9.279257, ' B': -3.939607, ' "': -8.638427, " '": -9.8889265}
{' A': -0.18308216, 'A': -9.29983, ' B': -1.7911981, ' "': -8.391938, " '": -9.620735}
{' A': -0.032906346, 'A': -9.154861, ' B': -3.4462342, ' "': -8.430411, " '": -9.753714}
{' A': -0.027248858, 'A': -9.265715, ' B': -3.6347735, ' "': -8.453096, " '": -9.708213}
{' A': -0.012938002, 'A': -9.280132, ' B': -4.3866563, ' (': -9.816308, ' "': -8.792433}
{' A': -0.019216867, ' B': -3.9849396, ' "': -8.595911, 'A': -9.273917, ' (': -9.89921}
{' A': -0.014266658, ' B': -4.2890925, ' "': -8.558313, 'A': -9.314179, " '": -9.812005}
{' A': -0.0039122556, 'A': -9.298148, ' B': -5.6776657, ' (': -9.674404, ' "': -8.504841}
{' A': -0.011813069, ' B': -4.482407, ' "': -8.632733, 'A': -9.303005, " '": -9.829428}
{' A': -0.014926383, ' B': -4.2430563, ' "': -8.568998, 'A': -9.292021, " '": -9.772713}
{' A': -0.009982135, 'A': -9.298303, ' B': -4.655673, ' "': -8.635999, " '": -9.874963}
{' A': -0.023451986, ' B': -3.783578, ' "': -8.592181, 'A': -9.255039, " '": -9.853876}
{' A': -0.0069877715, 'A': -9.19567, ' B': -5.0381503, ' "': -8.527016, " '": -9.706517}
{' A': -0.014951672, ' B': -4.239334, ' "': -8.672703, 'A': -9.270269, " '": -9.886175}
{' A': -0.008158997, 'A': -9.280405, ' B': -4.865714, ' "': -8.69088, " '": -9.895693}
{' A': -0.016218496, 'A': -9.242886, ' B': -4.1569405, ' "': -8.639721, " '": -9.878335}
{' A': -0.011790693, 'A': -9.296609, ' B': -4.4819517, ' "': -8.686826, " '": -9.947391}
{' A': -0.0077762967, 'A': -9.235102, ' B': -4.9157143, ' (': -10.009344, ' "': -8.704153}
{' A': -0.008087793, 'A': -9.276457, ' B': -4.876469, ' "': -8.640018, " '": -9.881182}
{' A': -0.006558343, 'A': -9.302794, ' B': -5.092458, ' "': -8.728557, " '": -9.99017}
{' A': -0.0040954975, 'A': -9.331641, ' B': -5.6085086, ' "': -8.640308, " '": -9.856752}
{' A': -0.036701113, ' B': -3.3363628, ' "': -8.503339, 'A': -9.1881695, " '": -9.83279}
{' A': -0.12491417, 'A': -9.172871, ' B': -2.1471174, ' "': -8.191744, " '": -9.437152}
{' B': -0.43302587, ' A': -1.0468869, ' "': -8.657134, ' (': -9.831142, " '": -10.052862}
{' A': -0.6624643, ' B': -0.72552896, ' "': -8.98958, ' (': -9.895373, 'A': -9.937248}
{' A': -0.7248985, 'A': -10.029176, ' B': -0.66304123, ' (': -9.994355, ' "': -8.961814}
{' A': -0.39175195, 'A': -9.782618, ' B': -1.1277215, ' (': -9.878144, ' "': -8.910394}
{' A': -0.99853057, 'A': -10.296339, ' B': -0.4600441, ' (': -10.079831, ' "': -8.9928875}
{' A': -0.20004265, 'A': -9.42483, ' B': -1.71006, ' (': -9.7922735, ' "': -8.607656}
{' A': -0.2421212, 'A': -9.63837, ' B': -1.5385728, ' (': -9.853499, ' "': -8.962986}
{' A': -0.13312754, 'A': -9.520172, ' B': -2.0852282, ' (': -9.819722, ' "': -8.867762}
{' A': -0.10018334, 'A': -9.541472, ' B': -2.3535612, ' (': -10.051398, ' "': -9.176311}
{' A': -0.10228756, 'A': -9.548998, ' B': -2.334183, ' (': -9.914404, ' "': -8.959094}
{' A': -0.09453779, 'A': -9.445223, ' B': -2.4095917, ' (': -9.950731, ' "': -8.941449}
{' A': -0.050719287, ' B': -3.013375, ' "': -9.001318, 'A': -9.520499, ' (': -9.950017}
{' A': -0.056418825, 'A': -9.586269, ' B': -2.908046, ' (': -10.225407, ' "': -9.206803}
{' A': -0.027679423, 'A': -9.5570755, ' B': -3.6111944, ' (': -10.105096, ' "': -9.21533}
{' A': -0.24096866, 'A': -9.6791, ' B': -1.5427837, ' (': -9.922436, ' "': -8.938705}
{' A': -0.060087226, 'A': -9.400132, ' B': -2.84832, ' (': -9.92625, ' "': -8.815869}
{' A': -0.043858487, 'A': -9.556517, ' B': -3.1566706, ' (': -9.909192, ' "': -8.894786}
{' A': -0.023778485, ' B': -3.7625651, ' "': -9.358674, 'A': -9.535215, ' (': -10.003748}
{' A': -0.029201295, 'A': -9.549638, ' B': -3.5584962, ' (': -10.090892, ' "': -9.092048}
{' A': -0.01811666, ' B': -4.0381856, ' "': -8.970339, 'A': -9.558843, ' (': -10.0119915}
{' A': -0.005510984, ' B': -5.267403, ' "': -9.014329, 'A': -9.479682, ' (': -9.900211}
{' A': -0.024088545, 'A': -9.568332, ' B': -3.7502675, ' (': -10.049175, ' "': -9.174269}
{' A': -0.026552005, ' B': -3.6530452, ' "': -9.117505, 'A': -9.559463, ' (': -10.173502}
{' A': -0.01456405, ' B': -4.25839, ' "': -9.0002, 'A': -9.556791, ' (': -10.118313}
{' A': -0.062149778, 'A': -9.567437, ' B': -2.814511, ' (': -10.158115, ' "': -8.942942}
{' A': -0.0076306975, 'A': -9.454409, ' B': -4.9280047, ' (': -9.933528, ' "': -8.889206}
{' A': -0.03369838, 'A': -9.575281, ' B': -3.415393, ' (': -10.189874, ' "': -9.213336}
{' A': -0.015328671, 'A': -9.553452, ' B': -4.2067213, ' (': -10.013992, ' "': -9.0244875}
{' A': -0.020898143, 'A': -9.521842, ' B': -3.8915625, ' (': -10.273725, ' "': -9.277156}
{' A': -0.020155702, 'A': -9.579356, ' B': -3.929278, ' (': -10.175913, ' "': -9.082192}
{' A': -0.0066686836, ' B': -5.0587163, ' "': -9.17813, 'A': -9.511621, ' (': -10.125009}
{' A': -0.011837799, 'A': -9.532476, ' B': -4.4672856, ' (': -10.086908, ' "': -9.164077}
{' A': -0.019163886, ' B': -3.9793594, ' "': -9.129375, 'A': -9.581755, ' (': -10.247659}
{' A': -0.011702223, 'A': -9.545778, ' B': -4.479973, ' (': -10.0534725, ' "': -9.103811}
{' A': -0.12875351, 'A': -9.5900545, ' B': -2.1165102, ' (': -10.119159, ' "': -8.817326}
{' A': -0.18902779, 'A': -9.528904, ' B': -1.7618254, ' "': -8.39425, " '": -9.620066}
{' b': -9.9768305, ' A': -0.91952705, ' B': -0.50945663, ' (': -10.11699, ' "': -8.329742}
{' b': -9.994668, ' A': -1.0230775, ' B': -0.44609696, ' (': -10.198839, ' "': -8.598162}
{' b': -9.991051, ' A': -1.0252368, ' B': -0.44487837, ' (': -10.192526, ' "': -8.619154}
{' A': -0.48694688, ' B': -0.95419204, ' "': -8.658974, 'A': -9.999717, ' (': -10.149375}
{' b': -9.957507, ' A': -1.1973366, ' B': -0.35998565, ' (': -10.510183, ' "': -8.866712}
{' A': -0.29023334, 'A': -9.627231, ' B': -1.3806131, ' (': -9.975343, ' "': -8.336068}
{' A': -0.4596427, 'A': -9.990278, ' B': -0.9993042, ' (': -10.133415, ' "': -8.764077}
{' A': -0.25049436, 'A': -9.803516, ' B': -1.5087742, ' (': -10.055755, ' "': -8.534623}
{' A': -0.19684288, 'A': -9.757306, ' B': -1.724139, ' (': -10.186122, ' "': -8.726178}
{' A': -0.16797987, 'A': -9.7565, ' B': -1.8688561, ' (': -10.273948, ' "': -8.822448}
{' A': -0.15709043, 'A': -9.658901, ' B': -1.9312413, ' (': -10.112385, ' "': -8.537641}
{' A': -0.047569707, 'A': -9.65165, ' B': -3.076031, ' (': -10.242118, ' "': -8.882839}
{' A': -0.06886909, ' B': -2.7146952, ' "': -8.781014, 'A': -9.683162, ' (': -10.368154}
{' A': -0.031951856, 'A': -9.667638, ' B': -3.4693296, ' (': -10.31025, ' "': -8.884842}
{' A': -0.32156584, ' B': -1.2923567, ' "': -8.731148, 'A': -9.827569, ' (': -10.163336}
{' A': -0.07191297, 'A': -9.596336, ' B': -2.6726322, ' (': -10.390343, ' "': -8.864216}
{' A': -0.06550178, ' B': -2.7635763, ' "': -8.742028, 'A': -9.691541, ' (': -10.252592}
{' A': -0.025941458, ' B': -3.6758378, ' "': -9.091631, 'A': -9.672545, ' (': -10.279835}
{' A': -0.042521536, 'A': -9.681617, ' B': -3.1862803, ' (': -10.351598, ' "': -8.889065}
{' A': -0.020250581, ' B': -3.924938, ' "': -8.876581, 'A': -9.710214, ' (': -10.361119}
{' A': -0.00783817, 'A': -9.691817, ' B': -4.8955407, ' (': -10.1791725, ' "': -8.792415}
{' A': -0.019469056, 'A': -9.699667, ' B': -3.9645374, ' (': -10.245885, ' "': -8.903627}
{' A': -0.033814777, 'A': -9.693429, ' B': -3.4128942, ' (': -10.412002, ' "': -8.878439}
{' A': -0.025924144, ' B': -3.6770144, ' "': -8.897722, 'A': -9.733518, ' (': -10.461253}
{' A': -0.07618619, 'A': -9.722739, ' B': -2.6167936, ' (': -10.454261, ' "': -8.788816}
{' A': -0.015391014, 'A': -9.62913, ' B': -4.2049794, ' (': -10.277027, ' "': -8.688453}
{' A': -0.050391197, ' B': -3.019456, ' "': -8.8361635, 'A': -9.702732, ' (': -10.281826}
{' A': -0.022060817, 'A': -9.723942, ' B': -3.8386443, ' (': -10.334304, ' "': -8.910804}
{' A': -0.031038867, 'A': -9.702403, ' B': -3.4975836, ' (': -10.415424, ' "': -8.920741}
{' A': -0.026061786, ' B': -3.6713996, ' "': -8.963321, 'A': -9.719378, ' (': -10.439804}
{' A': -0.015512926, 'A': -9.636394, ' B': -4.1949353, ' (': -10.358628, ' "': -8.804764}
{' A': -0.024023397, 'A': -9.669064, ' B': -3.753937, ' (': -10.319321, ' "': -8.85417}
{' A': -0.016653609, ' B': -4.1204553, ' "': -8.983274, 'A': -9.71721, ' (': -10.495859}
{' A': -0.015167689, 'A': -9.703949, ' B': -4.2159657, ' (': -10.381822, ' "': -8.922489}
{' A': -0.11814179, 'A': -9.694333, ' B': -2.1974034, ' "': -8.735456, " '": -10.487452}
{' A': -0.2272615, 'A': -9.744895, ' B': -1.5951833, ' "': -8.457128, " '": -10.177873}
{' A': -0.8802145, ' B': -0.5364472, ' (': -9.81926, ' "': -8.333709, " '": -10.101658}
{' B': -0.6136958, ' A': -0.7803352, ' "': -8.551464, ' (': -9.981052, 'A': -10.218124}
{' A': -0.7820928, 'A': -10.251262, ' B': -0.61221474, ' (': -10.002796, ' "': -8.533729}
{' A': -0.38098118, 'A': -9.953628, ' B': -1.1506536, ' (': -9.970177, ' "': -8.632067}
{' b': -10.189002, ' A': -1.077683, ' B': -0.41666272, ' (': -10.16461, ' "': -8.604093}
{' A': -0.29191977, ' B': -1.3758163, ' "': -8.190136, 'A': -9.663273, ' (': -9.816551}
{' A': -0.28746593, 'A': -9.86443, ' B': -1.3885287, ' (': -9.915975, ' "': -8.567847}
{' A': -0.15247595, 'A': -9.73428, ' B': -1.9587121, ' (': -9.962817, ' "': -8.608313}
{' A': -0.12903294, ' B': -2.1141803, ' "': -8.839028, 'A': -9.752703, ' (': -10.113642}
{' A': -0.08783467, 'A': -9.713232, ' B': -2.4795868, ' (': -10.194609, ' "': -8.882881}
{' A': -0.09179152, 'A': -9.602614, ' B': -2.4388487, ' (': -9.904586, ' "': -8.417216}
{' A': -0.04412351, ' B': -3.1513677, ' "': -8.622715, 'A': -9.687931, ' (': -9.969578}
{' A': -0.075567596, 'A': -9.75574, ' B': -2.6247199, ' (': -10.266774, ' "': -8.760764}
{' A': -0.03209033, 'A': -9.737236, ' B': -3.4649708, ' (': -10.142911, ' "': -8.8800535}
{' A': -0.3593462, 'A': -9.933527, ' B': -1.1990908, ' (': -9.971416, ' "': -8.572817}
{' A': -0.07547696, ' B': -2.6280127, ' "': -8.367954, 'A': -9.496823, ' (': -9.677338}
{' A': -0.06914, ' B': -2.7117045, ' "': -8.565687, 'A': -9.735987, ' (': -10.000072}
{' A': -0.033694003, 'A': -9.752251, ' B': -3.41844, ' (': -9.968173, ' "': -8.606044}
{' A': -0.028581092, 'A': -9.719192, ' B': -3.5798676, ' (': -10.216721, ' "': -8.9064455}
{' A': -0.018683463, 'A': -9.710579, ' B': -4.0089674, ' (': -10.079214, ' "': -8.651245}
{' A': -0.006028471, ' B': -5.1832914, ' "': -8.539556, 'A': -9.660872, ' (': -9.912017}
{' A': -0.018078728, 'A': -9.755543, ' B': -4.0386095, ' (': -10.19888, ' "': -8.919786}
{' A': -0.03314371, ' B': -3.4334064, ' "': -8.759346, 'A': -9.72884, ' (': -10.185183}
{' A': -0.043006275, 'A': -9.704339, ' B': -3.1764421, ' (': -10.136039, ' "': -8.627858}
{' A': -0.06979822, 'A': -9.736575, ' B': -2.7018323, ' (': -10.248453, ' "': -8.722723}
{' A': -0.00875247, 'A': -9.635487, ' B': -4.7863035, ' (': -10.126236, ' "': -8.612423}
{' A': -0.029393217, 'A': -9.704462, ' B': -3.5523574, ' (': -10.1786175, ' "': -8.848907}
{' A': -0.010708082, 'A': -9.724104, ' B': -4.569187, ' (': -10.247512, ' "': -8.964521}
{' A': -0.019563448, 'A': -9.677312, ' B': -3.9589708, ' (': -10.264103, ' "': -8.945614}
{' A': -0.015748756, 'A': -9.742804, ' B': -4.1757865, ' (': -10.392514, ' "': -9.069349}
{' A': -0.006998515, ' B': -5.0172443, ' "': -8.686403, 'A': -9.654514, ' (': -10.154927}
{' A': -0.015387503, 'A': -9.684492, ' B': -4.203849, ' (': -10.087036, ' "': -8.77643}
{' A': -0.010975432, ' B': -4.54279, ' "': -8.993061, 'A': -9.739582, ' (': -10.415113}
{' A': -0.015431872, ' B': -4.199861, ' "': -8.794907, 'A': -9.734331, ' (': -10.237591}
{' A': -0.15624613, 'A': -9.724735, ' B': -1.9365577, ' (': -10.083038, ' "': -8.331681}
{' A': -0.17103279, 'A': -9.681215, ' B': -1.8534669, ' "': -8.195128, " '": -9.90099}
{' b': -10.046042, ' A': -0.7592978, 'A': -10.002536, ' B': -0.6319669, ' "': -8.431617}
{' A': -0.77340627, 'A': -10.057821, ' B': -0.6195691, ' (': -10.014818, ' "': -8.718349}
{' b': -10.069773, ' A': -0.85290504, ' B': -0.5561121, ' (': -10.137107, ' "': -8.647502}
{' A': -0.3178998, 'A': -9.792711, ' B': -1.3020668, ' (': -10.150002, ' "': -8.845795}
{' b': -10.002077, ' A': -0.9708961, ' B': -0.4765667, ' (': -10.256538, ' "': -8.8309555}
{' A': -0.24211939, 'A': -9.534083, ' B': -1.5392156, ' (': -9.93378, ' "': -8.397}
{' A': -0.3750653, 'A': -9.847485, ' B': -1.163445, ' (': -10.170891, ' "': -8.820683}
{' A': -0.19266893, 'A': -9.674138, ' B': -1.7436447, ' (': -10.161023, ' "': -8.739}
{' A': -0.19274119, ' B': -1.7430476, ' "': -8.937535, 'A': -9.697967, ' (': -10.290329}
{' A': -0.13168493, 'A': -9.642341, ' B': -2.094957, ' (': -10.334906, ' "': -8.9885645}
{' A': -0.15241618, 'A': -9.642817, ' B': -1.959343, ' "': -8.497475, " '": -10.124913}
{' A': -0.036889534, 'A': -9.606217, ' B': -3.326551, ' (': -10.323949, ' "': -8.972081}
{' A': -0.07422133, ' B': -2.64165, ' "': -9.002835, 'A': -9.650081, ' (': -10.454552}
{' A': -0.03430943, 'A': -9.623764, ' B': -3.3977165, ' (': -10.382006, ' "': -9.130156}
{' A': -0.2130771, 'A': -9.75078, ' B': -1.6524614, ' (': -10.278876, ' "': -8.885805}
{' A': -0.078628875, 'A': -9.46366, ' B': -2.5869582, ' (': -9.990509, ' "': -8.793532}
{' A': -0.06429382, 'A': -9.654902, ' B': -2.781243, ' (': -10.361021, ' "': -8.890732}
{' A': -0.0467753, 'A': -9.675173, ' B': -3.0921986, ' (': -10.396605, ' "': -8.944955}
{' A': -0.047744993, 'A': -9.64103, ' B': -3.072357, ' (': -10.263476, ' "': -8.904758}
{' A': -0.021913184, ' B': -3.8455272, ' "': -8.982472, 'A': -9.628633, ' (': -10.347689}
{' A': -0.0058099236, 'A': -9.661322, ' B': -5.210041, ' (': -10.207415, ' "': -8.809946}
{' A': -0.02126278, 'A': -9.669016, ' B': -3.874641, ' (': -10.373739, ' "': -9.079977}
{' A': -0.031204453, 'A': -9.641169, ' B': -3.4916363, ' (': -10.391272, ' "': -9.1179905}
{' A': -0.029310476, 'A': -9.657569, ' B': -3.555197, ' (': -10.318695, ' "': -8.905842}
{' A': -0.05607446, 'A': -9.620242, ' B': -2.9143336, ' (': -10.470531, ' "': -9.012627}
{' A': -0.009414522, 'A': -9.560254, ' B': -4.706562, ' (': -10.2311325, ' "': -8.848399}
{' A': -0.05628066, ' B': -2.9111772, ' "': -8.903809, 'A': -9.641042, ' (': -10.223679}
{' A': -0.013518673, ' B': -4.33003, ' "': -9.164241, 'A': -9.65863, ' (': -10.438496}
{' A': -0.019448878, 'A': -9.607027, ' B': -3.9631474, ' (': -10.476614, ' "': -9.218258}
{' A': -0.021560797, 'A': -9.649324, ' B': -3.8599339, ' (': -10.559644, ' "': -9.149012}
{' A': -0.0076424107, 'A': -9.627556, ' B': -4.918384, ' (': -10.393384, ' "': -8.934289}
{' A': -0.015784303, 'A': -9.638265, ' B': -4.174733, ' (': -10.416024, ' "': -9.043283}
{' A': -0.010428035, 'A': -9.657561, ' B': -4.5929966, ' (': -10.504687, ' "': -9.2330475}
{' A': -0.0075063193, 'A': -9.684456, ' B': -4.935284, ' (': -10.372761, ' "': -8.98713}
{' A': -0.12012638, 'A': -9.649508, ' B': -2.1817966, ' (': -10.408063, ' "': -8.725781}
{' A': -0.14057773, ' B': -2.0347197, ' "': -8.479012, 'A': -9.589365, " '": -10.096123}
{' B': -0.5347846, ' A': -0.8824294, ' "': -8.465326, " '": -9.905676, 'A': -10.1677685}
{' A': -1.0856297, ' B': -0.4125434, ' (': -10.325376, ' "': -8.720023, " '": -10.2126255}
{' A': -1.0627859, ' B': -0.42439052, ' (': -10.339892, ' "': -8.741547, " '": -10.239471}
{' A': -0.49058488, 'A': -9.960097, ' B': -0.9483905, ' "': -8.692789, " '": -10.1178465}
{' b': -10.309601, ' A': -1.1424004, ' B': -0.38473102, ' "': -8.840864, " '": -10.402965}
{' A': -0.21017304, 'A': -9.561185, ' B': -1.6653769, ' "': -8.499994, " '": -9.942776}
{' A': -0.5008095, 'A': -9.937011, ' B': -0.9323796, ' "': -8.795213, " '": -10.150921}
{' A': -0.19965671, 'A': -9.692767, ' B': -1.7113202, ' "': -8.705476, " '": -10.064413}
{' A': -0.16300021, 'A': -9.754101, ' B': -1.8965797, ' "': -8.7764435, " '": -10.222669}
{' A': -0.15513124, 'A': -9.728627, ' B': -1.9422063, ' "': -8.904614, " '": -10.311243}
{' A': -0.14064036, 'A': -9.675774, ' B': -2.0341456, ' "': -8.508678, " '": -9.92724}
{' A': -0.03918811, 'A': -9.646647, ' B': -3.2665513, ' "': -8.981752, " '": -10.364179}
{' A': -0.081107534, 'A': -9.666299, ' B': -2.5559611, ' "': -8.987858, " '": -10.391889}
{' A': -0.048114575, 'A': -9.685751, ' B': -3.0643919, ' "': -8.964828, " '": -10.354237}
{' A': -0.42018592, 'A': -9.961958, ' B': -1.0707138, ' "': -8.902308, " '": -10.224182}
{' A': -0.1216944, 'A': -9.59782, ' B': -2.169771, ' "': -8.630112, " '": -10.093598}
{' A': -0.06649085, 'A': -9.626223, ' B': -2.748614, ' (': -10.242269, ' "': -8.915475}
{' A': -0.04334651, 'A': -9.622938, ' B': -3.166214, ' "': -9.282568, " '": -10.384459}
{' A': -0.05729307, 'A': -9.692678, ' B': -2.8934422, ' "': -8.888899, " '": -10.346582}
{' A': -0.044585463, 'A': -9.693342, ' B': -3.139068, ' "': -9.004737, " '": -10.287184}
{' A': -0.009735214, 'A': -9.658085, ' B': -4.6680965, ' "': -8.939509, " '": -10.221569}
{' A': -0.04301119, 'A': -9.676678, ' B': -3.1742022, ' "': -9.113573, " '": -10.401748}
{' A': -0.055908866, ' B': -2.9167142, ' "': -9.13744, 'A': -9.688843, " '": -10.4291725}
{' A': -0.051796354, 'A': -9.7192335, ' B': -2.9913962, ' "': -9.084414, " '": -10.448936}
{' A': -0.086963736, 'A': -9.712948, ' B': -2.4892216, ' "': -8.82856, " '": -10.190611}
{' A': -0.016984446, 'A': -9.622176, ' B': -4.1045084, ' "': -8.74074, " '": -10.049827}
{' A': -0.05286559, 'A': -9.6748905, ' B': -2.9720626, ' "': -8.942548, " '": -10.338502}
{' A': -0.023130776, 'A': -9.735397, ' B': -3.7899764, ' "': -9.017729, " '": -10.393082}
{' A': -0.033537004, ' B': -3.4207726, ' "': -8.934711, 'A': -9.634279, " '": -10.357434}
{' A': -0.025218679, 'A': -9.653206, ' B': -3.7030005, ' "': -9.167928, " '": -10.572469}
{' A': -0.023593372, 'A': -9.623976, ' B': -3.7720923, ' "': -8.841214, " '": -10.226434}
{' A': -0.017973494, 'A': -9.663797, ' B': -4.042395, ' "': -9.161411, " '": -10.513649}
{' A': -0.011755355, ' B': -4.469492, ' "': -9.264626, 'A': -9.692103, ' (': -10.699372}
{' A': -0.014101251, ' B': -4.2876744, ' "': -9.077598, 'A': -9.670636, " '": -10.485719}
{' A': -0.11247282, 'A': -9.6932, ' B': -2.2437823, ' "': -8.7789955, " '": -10.293222}
{' A': -0.2860156, 'A': -9.796218, ' B': -1.3929796, ' "': -8.462325, " '": -9.872414}
