{' No': -0.27960142, ' Yes': -1.828668, '\n': -2.867862, 'No': -4.083987, ' Not': -5.576015}
{' No': -0.112439536, 'No': -2.778272, '\n': -3.4711163, ' Unfortunately': -4.9348445, ' The': -6.201325}
{' No': -0.21183059, '\n': -2.6445563, 'No': -2.7379804, ' Yes': -5.1239796, ' Unfortunately': -3.1979945}
{' No': -0.19403245, 'No': -2.5615592, '\n': -2.6839693, ' Unfortunately': -3.9594572, ' Yes': -5.4472404}
{' No': -0.28293175, '\n': -2.1460967, 'No': -2.9032204, ' Yes': -3.7989361, ' Unfortunately': -3.2041485}
{' No': -0.26543272, '\n': -2.0090868, 'No': -2.6790316, ' Unfortunately': -3.9567928, ' Yes': -5.42339}
{' No': -0.043520004, '\n': -4.4192123, 'No': -3.7805939, ' Yes': -5.1113644, ' The': -7.5586543}
{' No': -0.037021894, 'No': -3.4832115, '\n': -5.274885, ' ': -8.7642565, ' no': -8.984332}
{' No': -0.061182156, '\n': -4.816473, ' ': -7.966897, 'No': -2.9927423, ' Yes': -8.138534}
{' No': -0.07161013, 'No': -2.874707, '\n': -4.53295, ' Yes': -6.820008, ' ': -7.928296}
{' No': -0.036952496, '\n': -6.8264184, 'No': -3.6042893, ' Yes': -4.863696, 'Yes': -8.863881}
{' No': -0.02859557, 'No': -3.7005887, '\n': -6.3238044, ' Yes': -6.5025067, ' ': -9.131281}
{' No': -0.086738266, '\n': -3.744373, 'No': -3.50122, ' Yes': -3.7097507, ' The': -6.2323904}
{' No': -0.04892278, '\n': -5.2056303, 'No': -3.21, ' Yes': -7.591426, ' The': -7.5316887}
{' No': -0.060001016, '\n': -4.1270614, 'No': -3.291326, ' Yes': -6.5398803, ' Unfortunately': -6.53755}
{' No': -0.0679844, 'No': -2.8257985, '\n': -5.2579618, ' The': -7.9972825, ' Unfortunately': -8.125104}
{' No': -0.012013812, 'No': -4.642843, ' Yes': -6.386417, '\n': -7.4844027, ' ': -10.503776}
{' No': -0.0205281, 'No': -4.132539, ' Yes': -5.894864, '\n': -6.598445, ' ': -9.501718}
{' No': -0.060772896, '\n': -3.5719955, ' Yes': -4.1622267, 'No': -4.3313074, ' The': -7.5685115}
{' No': -0.016334087, 'No': -4.25505, '\n': -6.4483285, ' no': -8.757278, ' ': -9.7907715}
{' No': -0.028154802, 'No': -3.9370253, '\n': -4.887104, ' no': -8.352167, ' ': -8.945392}
{' No': -0.048014637, '\n': -4.230302, 'No': -3.470904, ' Yes': -7.3932223, ' no': -8.228689}
{' No': -0.015747651, 'No': -4.220423, ' Yes': -7.708842, '\n': -7.7843323, ' ': -10.666585}
{' No': -0.015663188, 'No': -4.202183, '\n': -7.7264934, ' Yes': -9.221915, ' ': -10.812974}
{' No': -0.37003353, '\n': -2.2517896, 'No': -2.0386047, ' Yes': -4.9847393, ' Unfortunately': -2.9183674}
{' No': -0.18786617, '\n': -4.137798, 'No': -1.9735278, ' The': -6.673345, ' Unfortunately': -4.3847556}
{' No': -0.27206743, 'No': -1.9327865, '\n': -2.920234, ' Unfortunately': -3.4689994, ' ': -6.2159896}
{' No': -0.15250824, '\n': -4.323817, 'No': -2.1937163, ' The': -7.1188293, ' Unfortunately': -4.2509484}
{' No': -0.18676758, '\n': -3.1262262, 'No': -2.5279064, ' Yes': -5.063894, ' Unfortunately': -3.3768063}
{' No': -0.24663489, '\n': -2.435308, 'No': -2.4472115, ' Yes': -4.5615478, ' Unfortunately': -3.5807927}
{' No': -0.10855617, ' Not': -5.6783023, '\n': -3.295959, 'No': -3.8410048, ' Yes': -3.2428563}
{' No': -0.032691702, 'No': -3.5037208, '\n': -6.4335017, ' Not': -8.357716, ' Yes': -9.769012}
{' No': -0.067164995, 'No': -3.1755748, '\n': -3.8657603, ' Yes': -7.1143637, ' Not': -7.182273}
{' No': -0.07201033, '\n': -4.2477303, 'No': -2.9993956, ' Yes': -5.40053, ' Unfortunately': -8.398254}
{' No': -0.050097674, '\n': -4.431304, 'No': -3.7110417, ' Yes': -4.4336653, 'Yes': -8.50398}
{' No': -0.026597178, 'No': -3.7713273, '\n': -5.8640947, ' Yes': -8.2972, ' ': -9.689437}
{' No': -0.30210808, ' Yes': -1.779029, '\n': -2.9735386, 'No': -3.7895212, ' Not': -4.4220595}
{' No': -0.06055503, 'No': -3.1088583, '\n': -4.561232, ' Yes': -6.271868, ' Not': -7.3417535}
{' No': -0.114181474, '\n': -3.4286647, 'No': -2.6793385, ' Yes': -6.020954, ' Unfortunately': -6.1615252}
{' No': -0.11606201, 'No': -3.1303477, '\n': -3.374725, ' Yes': -3.5902593, ' Unfortunately': -6.4771414}
{' No': -0.06889036, ' Yes': -3.5912883, 'No': -3.7466226, '\n': -4.256287, 'Yes': -7.751791}
{' No': -0.038525186, ' Not': -8.970867, '\n': -4.9413266, 'No': -3.527842, ' Yes': -7.0230503}
{' No': -0.036059365, ' Not': -7.3114324, '\n': -4.365063, 'No': -4.1146097, ' Yes': -5.266421}
{' No': -0.046006482, ' Not': -9.269738, '\n': -6.404143, 'No': -3.1513584, ' Yes': -8.325049}
{' No': -0.05551399, '\n': -5.054972, ' ': -8.362505, 'No': -3.066298, ' Unfortunately': -8.338327}
{' No': -0.051895857, 'No': -3.0385938, '\n': -6.2551026, ' Yes': -7.9963856, ' Not': -8.768909}
{' No': -0.060749583, ' Yes': -3.203814, 'No': -4.2912965, '\n': -5.5195355, 'Yes': -7.723702}
{' No': -0.03711381, 'No': -3.830254, '\n': -4.6804204, ' Yes': -5.263314, ' ': -8.9617195}
{' No': -0.066273905, ' Not': -6.3781385, '\n': -3.744853, 'No': -4.3434153, ' Yes': -3.7149289}
{' No': -0.019514216, ' Not': -8.579932, '\n': -6.037281, 'No': -4.116476, ' Yes': -8.373303}
{' No': -0.07200373, 'No': -3.1666675, '\n': -3.7218335, ' Yes': -6.7178984, ' Not': -7.2795467}
{' No': -0.02301708, 'No': -3.9647512, '\n': -5.9309487, ' Yes': -7.2678113, ' Unfortunately': -8.586098}
{' No': -0.06473915, '\n': -4.4115596, 'No': -4.3528953, ' Yes': -3.2982461, 'Yes': -7.8941474}
{' No': -0.028337203, '\n': -4.726211, ' ': -8.90379, 'No': -4.1089435, ' Yes': -6.0427217}
{' No': -0.19984442, 'No': -2.2227764, '\n': -2.7820532, ' Yes': -5.5257454, ' Unfortunately': -5.539381}
{' No': -0.10631803, 'No': -2.4697042, '\n': -4.3071117, ' Unfortunately': -6.4192066, ' ': -7.628062}
{' No': -0.1383139, 'No': -2.4351392, '\n': -3.3644185, ' Unfortunately': -5.42212, ' ': -6.952575}
{' No': -0.13467424, '\n': -3.6379392, 'No': -2.3806343, ' Yes': -6.589723, ' Unfortunately': -5.518852}
{' No': -0.1413861, 'No': -2.363573, '\n': -3.498339, ' Yes': -5.6522884, ' Unfortunately': -6.0996146}
{' No': -0.15967342, '\n': -3.1509244, ' ': -7.0998836, 'No': -2.2850473, ' Yes': -6.878562}
{'\n': -1.0305136, ' No': -1.0891436, ' Yes': -1.6489562, 'No': -2.8143249, ' Unfortunately': -3.7249582}
{' No': -0.3539627, '\n': -2.0708034, 'No': -2.0882957, ' Unfortunately': -3.3166075, ' Yes': -5.2496996}
{'\n': -0.87178236, ' No': -0.93676186, 'No': -2.3946705, ' Yes': -3.2056615, ' Unfortunately': -3.3007774}
{' No': -0.38589585, '\n': -2.1018267, 'No': -2.1946213, ' Yes': -3.4656553, ' Unfortunately': -3.09546}
{' No': -0.785775, '\n': -2.2144916, 'No': -2.7916079, ' Yes': -1.1131123, 'Yes': -4.0354466}
{' No': -0.6972603, ' Yes': -1.6413311, '\n': -1.6550295, 'No': -2.5096955, ' Unfortunately': -4.2694535}
{' No': -0.7018455, '\n': -1.1355499, ' Yes': -2.5414984, 'No': -2.73053, ' Not': -4.008572}
{' No': -0.28347924, ' Not': -6.525321, '\n': -2.1700225, 'No': -2.1650443, ' Unfortunately': -4.4275107}
{' No': -0.45889735, '\n': -1.509938, 'No': -2.18303, ' Unfortunately': -3.8392646, ' Yes': -5.373486}
{' No': -0.19124952, 'No': -2.4337363, '\n': -2.7800918, ' Unfortunately': -4.122993, ' Yes': -5.614236}
{' No': -0.28625435, ' Yes': -2.0952468, '\n': -2.751617, 'No': -3.0667167, ' Not': -5.497741}
{' No': -0.39413345, '\n': -1.5991027, 'No': -2.6933677, ' Yes': -3.1148422, ' Unfortunately': -5.7181535}
{' No': -0.70145553, '\n': -1.1703331, ' Unfortunately': -2.4040637, 'No': -2.7283204, ' Yes': -3.9354374}
{' No': -0.3313728, '\n': -1.9981, ' ': -6.053138, 'No': -2.4422262, ' Unfortunately': -2.972009}
{' No': -0.7099104, ' Not': -5.23166, '\n': -1.1127806, 'No': -2.585872, ' Unfortunately': -2.4835443}
{' No': -0.3863756, '\n': -1.5926421, 'No': -2.973223, ' Unfortunately': -2.994236, ' Yes': -5.1408405}
{' No': -0.3427256, '\n': -1.7578869, 'No': -3.1019933, ' Unfortunately': -3.394388, ' Yes': -3.5456808}
{' No': -0.4340954, '\n': -1.3784734, 'No': -2.8759785, ' Yes': -3.9622095, ' Unfortunately': -4.10992}
{' No': -0.076769896, ' Not': -6.189841, '\n': -3.691863, 'No': -3.6424835, ' Yes': -3.9683142}
{' No': -0.05644581, ' Not': -7.859203, '\n': -5.4455333, 'No': -3.0132613, ' Yes': -7.304198}
{' No': -0.12991376, '\n': -3.7676277, 'No': -2.3890517, ' Yes': -6.4217377, ' Unfortunately': -5.683432}
{' No': -0.12689865, '\n': -3.4184656, 'No': -2.5374324, ' Yes': -5.5949883, ' Unfortunately': -6.0986795}
{' No': -0.11476573, ' Yes': -2.4786248, 'No': -3.946129, '\n': -5.6364045, 'Yes': -6.6653767}
{' No': -0.06658131, '\n': -4.7188106, ' ': -8.1346855, 'No': -3.067367, ' Yes': -4.8115115}
{' No': -0.18754567, '\n': -2.7066917, ' Yes': -3.0249705, 'No': -3.202776, ' Not': -5.0988674}
{' No': -0.08014118, 'No': -2.8270817, '\n': -4.365797, ' Unfortunately': -5.815252, ' Yes': -6.9785686}
{' No': -0.20988029, 'No': -2.4540954, '\n': -2.518127, ' Unfortunately': -4.117185, ' Yes': -5.9619126}
{' No': -0.102965675, 'No': -2.683324, '\n': -3.9507875, ' Unfortunately': -4.9335318, ' Yes': -6.619806}
{' No': -0.078446604, 'No': -3.4018052, ' Yes': -3.7462056, '\n': -4.1046615, 'Yes': -7.5269523}
{' No': -0.1966754, '\n': -2.4988105, 'No': -3.0484016, ' Yes': -3.1286192, 'Yes': -6.5402246}
{' No': -0.20961204, '\n': -2.5166569, 'No': -4.5839825, ' Yes': -2.371487, 'Yes': -6.143935}
{' No': -0.017199324, ' Not': -9.31958, '\n': -6.224133, 'No': -4.2260003, ' Yes': -8.370519}
{' No': -0.04327356, 'No': -3.8373122, '\n': -3.918197, ' Not': -8.040764, ' ': -8.3787565}
{' No': -0.037426062, 'No': -3.4434204, '\n': -5.958591, ' Yes': -6.419901, ' Not': -7.920995}
{' No': -0.025260795, ' Yes': -4.3401313, 'No': -4.8258185, '\n': -5.6246486, 'Yes': -9.298917}
{' No': -0.018525278, '\n': -5.2343454, ' ': -9.221924, 'No': -4.5530577, ' Yes': -6.068852}
{' No': -0.7734392, '\n': -1.1950663, 'No': -3.0556774, ' Yes': -2.7739122, ' Unfortunately': -2.2918699}
{' No': -0.24171376, ' Not': -6.0694075, '\n': -2.585809, 'No': -2.64141, ' Unfortunately': -2.8321352}
{' No': -0.45503458, '\n': -1.7338221, ' Unfortunately': -2.3782008, 'No': -2.5367262, ' Not': -5.1185436}
{' No': -0.24477145, '\n': -2.3170867, ' ': -6.295175, 'No': -2.8666015, ' Unfortunately': -2.917543}
{' No': -0.23790073, '\n': -2.468463, 'No': -2.9948432, ' Unfortunately': -3.1996489, ' Yes': -3.6518033}
{' No': -0.33361003, '\n': -1.7819036, 'No': -2.7631238, ' Yes': -4.1559386, ' Unfortunately': -3.5394454}
{' No': -0.11559145, '\n': -2.7542653, 'No': -3.6754515, ' Yes': -4.2266235, ' Not': -5.8277707}
{' No': -0.032327864, ' Not': -8.405201, '\n': -5.033331, 'No': -3.7168977, ' The': -8.59995}
{' No': -0.085316174, ' Not': -6.9247174, '\n': -3.839661, 'No': -2.8612387, ' Yes': -7.382844}
{' No': -0.14903355, 'No': -2.5228624, '\n': -2.9155643, ' Yes': -5.9109178, ' ': -7.134611}
{' No': -0.06773676, 'No': -3.1340075, '\n': -4.1647024, ' Yes': -5.176503, ' ': -8.229087}
{' No': -0.035479788, '\n': -5.944408, ' ': -9.2582445, 'No': -3.4439247, ' Yes': -8.9416485}
{' No': -0.10050952, '\n': -2.8555162, 'No': -4.1968455, ' Yes': -4.3755126, ' Not': -4.908275}
{' No': -0.029556692, 'No': -4.154549, '\n': -4.424677, ' Not': -7.412348, ' ': -8.111645}
{' No': -0.09379067, ' Not': -6.47605, '\n': -3.0113797, ' ': -7.031523, 'No': -3.3068547}
{' No': -0.13616537, '\n': -2.6771123, 'No': -2.9571967, ' Yes': -5.4485164, ' ': -6.8805428}
{' No': -0.05124679, ' Not': -7.8369517, '\n': -4.6663456, 'No': -3.832264, ' Yes': -4.0270348}
{' No': -0.039135665, '\n': -5.3541455, ' ': -9.022213, 'No': -3.4088464, ' Yes': -8.249529}
{' No': -0.060438324, '\n': -3.4731102, ' ': -7.081296, 'No': -3.9128172, ' Yes': -5.3174667}
{' No': -0.042586405, '\n': -4.4474783, ' ': -7.542223, 'No': -3.566836, ' The': -7.9523644}
{' No': -0.069905855, ' Not': -8.006546, '\n': -4.120523, ' ': -7.1965714, 'No': -3.012458}
{' No': -0.06503439, '\n': -4.813684, ' ': -7.7145596, 'No': -2.9211419, ' Yes': -8.683635}
{' No': -0.030778091, 'No': -4.2050676, ' Yes': -4.5607076, '\n': -5.397876, ' ': -8.734601}
{' No': -0.030974252, 'No': -3.653733, '\n': -5.516196, ' Yes': -7.9479036, ' ': -8.785777}
{' No': -0.051970884, '\n': -3.4548638, 'No': -4.6517572, ' Yes': -4.9943156, ' ': -7.0888004}
{' No': -0.015890699, '\n': -5.079848, ' ': -8.126892, 'No': -4.7649713, ' Yes': -8.523681}
{' No': -0.061491933, '\n': -3.4884825, 'No': -3.61473, ' ': -6.992149, ' Yes': -7.6822424}
{' No': -0.042176418, 'No': -3.5590868, '\n': -4.5674624, ' Yes': -6.485268, ' ': -7.7525396}
{' No': -0.027202003, '\n': -5.086313, ' ': -8.5211115, 'No': -4.172357, ' Yes': -5.32969}
{' No': -0.029912952, '\n': -5.038877, ' ': -8.568315, 'No': -3.80455, ' Yes': -7.762581}
{' No': -0.27705225, '\n': -2.2067664, ' ': -5.6630898, 'No': -2.080664, ' Unfortunately': -6.5656877}
{' No': -0.14930354, '\n': -3.5606706, ' ': -6.4571567, 'No': -2.2414627, ' Unfortunately': -6.385757}
{' No': -0.2015198, 'No': -2.1405475, '\n': -2.8323925, ' Unfortunately': -5.922135, ' ': -6.0791802}
{' No': -0.20855334, 'No': -1.8952235, '\n': -3.3571646, ' ': -6.2602863, ' Unfortunately': -7.7712417}
{' No': -0.15502648, 'No': -2.3276796, '\n': -3.3245342, ' Yes': -5.2328844, ' Unfortunately': -6.2977796}
{' No': -0.15183029, '\n': -3.4812388, ' ': -6.7407527, 'No': -2.2337794, ' Unfortunately': -7.0099177}
{'\n': -0.80107373, ' No': -1.245959, ' Yes': -1.9472377, 'No': -2.9005704, ' Unfortunately': -3.7504678}
{' No': -0.5449418, '\n': -1.404889, 'No': -2.2022448, ' Unfortunately': -3.3514771, ' Yes': -4.5686502}
{'\n': -0.92539686, ' No': -0.9918738, 'No': -2.5083532, ' Yes': -2.6001213, ' Unfortunately': -3.3514946}
{' No': -0.43621558, '\n': -1.7698699, 'No': -2.0714734, ' Unfortunately': -3.1361668, ' ': -5.078227}
{' No': -0.5535292, ' Yes': -1.5240988, '\n': -2.4367785, 'No': -2.550386, ' Unfortunately': -4.016401}
{' No': -0.5565859, '\n': -1.8341776, 'No': -2.256266, ' Yes': -2.0397935, ' Unfortunately': -4.3976903}
{' No': -0.6312697, '\n': -1.0622847, 'No': -2.6367705, ' Yes': -3.6149905, ' Unfortunately': -4.7376976}
{' No': -0.21834427, '\n': -2.3407044, 'No': -2.3934274, ' Unfortunately': -5.734232, ' ': -6.1966305}
{' No': -0.42211452, '\n': -1.4402039, ' ': -5.7801795, 'No': -2.3936684, ' Unfortunately': -5.0029955}
{' No': -0.16768654, '\n': -2.6264858, 'No': -2.6411476, ' Yes': -6.6269436, ' Unfortunately': -5.122471}
{' No': -0.3176649, '\n': -2.2305524, ' Yes': -2.319412, 'No': -2.9046266, 'Yes': -5.6480875}
{' No': -0.3037876, '\n': -1.8399282, ' ': -5.898314, 'No': -2.6135008, ' Yes': -3.9137022}
{' No': -1.0026476, '\n': -0.69478446, ' ': -4.4259725, 'No': -3.0596793, ' Unfortunately': -2.9097998}
{' No': -0.4720066, '\n': -1.3725498, ' ': -4.741015, 'No': -2.6337936, ' Unfortunately': -3.4013007}
{' No': -1.081478, '\n': -0.6579036, ' ': -4.186758, 'No': -2.7705727, ' Unfortunately': -2.9752407}
{' No': -0.4478007, '\n': -1.3677531, ' ': -4.524432, 'No': -2.820859, ' Unfortunately': -3.5558422}
{' No': -0.3326195, '\n': -1.7050294, 'No': -2.7645633, ' Unfortunately': -3.9666486, ' Yes': -4.731343}
{' No': -0.4171583, '\n': -1.3676685, 'No': -2.676699, ' Unfortunately': -4.8581524, ' ': -5.3607354}
{' No': -0.059077214, ' Not': -6.407904, '\n': -3.62724, 'No': -3.7350605, ' Yes': -5.812691}
{' No': -0.025259636, 'No': -3.9218144, '\n': -5.470654, ' Not': -8.284434, ' ': -8.403381}
{' No': -0.07400758, 'No': -3.091887, '\n': -3.7599664, ' Not': -6.8933444, ' ': -7.3399153}
{' No': -0.053101655, '\n': -5.6027265, ' ': -8.469077, 'No': -3.050559, ' Yes': -8.372449}
{' No': -0.09029948, ' Yes': -2.6976926, 'No': -4.259172, '\n': -5.597059, 'Yes': -7.205381}
{' No': -0.034809448, 'No': -3.7219276, '\n': -5.30682, ' Yes': -5.3912926, ' ': -8.118646}
{' No': -0.07354308, '\n': -3.1387799, 'No': -4.058179, ' Yes': -5.232572, ' The': -6.392251}
{' No': -0.044957284, '\n': -4.3546, ' ': -7.802217, 'No': -3.517064, ' The': -7.9805627}
{' No': -0.10198423, '\n': -2.9016628, 'No': -3.3373146, ' Unfortunately': -5.7580166, ' ': -6.8391747}
{' No': -0.118378416, '\n': -4.14527, ' ': -7.652404, 'No': -2.362725, ' Yes': -7.7639756}
{' No': -0.016120542, 'No': -4.4322314, ' Yes': -6.0247946, '\n': -6.515411, ' ': -9.503072}
{' No': -0.046024207, '\n': -4.633064, ' ': -8.028341, 'No': -3.470968, ' Yes': -5.6388984}
{' No': -0.2019228, ' Yes': -2.4898274, '\n': -2.5456822, 'No': -4.1652937, 'Yes': -6.376946}
{' No': -0.034849875, '\n': -4.4204125, ' ': -7.909637, 'No': -3.8785064, ' Yes': -7.9529557}
{' No': -0.04681446, 'No': -3.6124537, '\n': -4.078457, ' ': -7.6458397, ' Yes': -7.9254475}
{' No': -0.080056906, 'No': -2.8565707, '\n': -4.088918, ' Yes': -6.486007, ' ': -7.505812}
{' No': -0.024652079, '\n': -5.87182, ' ': -8.916644, 'No': -4.271795, ' Yes': -4.9272437}
{' No': -0.017069506, 'No': -4.304404, '\n': -5.8434753, ' Yes': -8.042321, ' ': -8.998697}
{' No': -0.60358, '\n': -1.2805228, ' Unfortunately': -2.5570118, 'No': -2.7325337, ' ': -4.5380225}
{' No': -0.2521895, '\n': -2.3564816, 'No': -2.3957078, ' Unfortunately': -3.5915184, ' ': -5.467569}
{' No': -0.37633887, '\n': -1.9616965, ' ': -4.9990788, 'No': -2.6229076, ' Unfortunately': -2.4706516}
{' No': -0.28585494, '\n': -2.0938823, 'No': -2.5297418, ' Unfortunately': -3.2684042, ' ': -5.355953}
{' No': -0.20731397, '\n': -2.7762988, 'No': -2.6212087, ' Yes': -4.4493794, ' Unfortunately': -3.448626}
{' No': -0.3825385, '\n': -1.6385388, 'No': -2.5778759, ' Unfortunately': -3.7074552, ' Yes': -4.329779}
{' No': -0.2076813, '\n': -2.9745917, 'No': -4.1688476, ' Yes': -2.1515367, 'Yes': -5.8403926}
{' No': -0.01732837, 'No': -4.262264, '\n': -5.904907, ' no': -9.238995, ' ': -9.363531}
{' No': -0.060885392, '\n': -4.2615285, ' ': -7.8233094, 'No': -3.1345246, ' Yes': -7.40311}
{' No': -0.06679419, 'No': -3.0375507, '\n': -4.333033, ' Yes': -5.823275, ' ': -8.008577}
{' No': -0.03893139, 'No': -3.7626958, ' Yes': -4.7319736, '\n': -5.1650796, 'Yes': -8.763512}
{' No': -0.03162109, 'No': -3.5810518, '\n': -5.7903223, ' ': -9.277598, ' Yes': -9.466203}
{' No': -0.06494362, ' Yes': -3.414517, '\n': -4.0531654, 'No': -4.584318, ' Not': -6.7701855}
{' No': -0.016621972, 'No': -4.248271, '\n': -6.383895, ' Yes': -8.350488, ' Not': -8.847714}
{' No': -0.04938953, 'No': -3.5478194, '\n': -4.0325303, ' Yes': -7.517815, ' Not': -7.6484113}
{' No': -0.05351313, 'No': -3.3673043, '\n': -4.7054977, ' Yes': -4.867245, ' Not': -8.531433}
{' No': -0.050171945, 'No': -3.8578923, ' Yes': -3.9212332, '\n': -4.9160223, 'Yes': -8.130523}
{' No': -0.030846875, 'No': -3.6740923, '\n': -5.4432273, ' Yes': -7.616467, ' ': -9.261657}
{' No': -0.056785475, '\n': -3.6374602, ' ': -7.471274, 'No': -3.988832, ' Yes': -4.693264}
{' No': -0.033540267, '\n': -5.473237, ' ': -8.434713, 'No': -3.5660264, ' Yes': -9.088358}
{' No': -0.042629015, 'No': -3.4362257, '\n': -4.7104735, ' ': -7.9917793, ' no': -9.7796}
{' No': -0.038548358, 'No': -3.3564708, '\n': -5.973912, ' Yes': -8.850417, ' ': -9.005969}
{' No': -0.025155352, 'No': -4.1622095, ' Yes': -5.166196, '\n': -5.718009, ' ': -8.9656725}
{' No': -0.031490374, 'No': -3.6956577, '\n': -5.2442837, ' Yes': -7.2897186, ' ': -8.832719}
{' No': -0.02398103, '\n': -4.8168826, ' Yes': -4.8318954, 'No': -4.9784102, ' Not': -8.369185}
{' No': -0.01644648, 'No': -4.2152033, '\n': -6.748822, ' Yes': -8.693227, ' ': -9.365503}
{' No': -0.031957086, '\n': -5.088664, ' ': -8.404721, 'No': -3.7006717, ' Yes': -9.004284}
{' No': -0.01656228, '\n': -5.465684, ' ': -8.690097, 'No': -4.438733, ' Yes': -8.866279}
{' No': -0.018844835, '\n': -6.388338, ' ': -9.273716, 'No': -4.4284973, ' Yes': -5.3305244}
{' No': -0.021789331, '\n': -5.543817, ' ': -8.927543, 'No': -4.075748, ' Yes': -7.7067924}
{' No': -0.1860522, '\n': -2.780077, ' ': -6.4078937, 'No': -2.291788, ' Yes': -6.0516562}
{' No': -0.12382619, '\n': -4.2383795, ' ': -7.340703, 'No': -2.299983, ' Unfortunately': -7.4098916}
{' No': -0.15014727, 'No': -2.3138323, '\n': -3.2951667, ' Unfortunately': -6.4851274, ' ': -6.8057637}
{' No': -0.1500373, 'No': -2.2306724, '\n': -3.5655472, ' Unfortunately': -6.5962405, ' ': -6.780183}
{' No': -0.13078177, 'No': -2.3538194, '\n': -3.7566116, ' Yes': -6.241234, ' ': -6.9741516}
{' No': -0.14321725, 'No': -2.212469, '\n': -3.805931, ' ': -7.123668, ' Unfortunately': -7.8768725}
{' No': -0.77018183, '\n': -1.4200765, 'No': -2.7056334, ' Yes': -1.6805193, ' Unfortunately': -4.0379505}
{' No': -0.22445911, '\n': -2.6895795, 'No': -2.2620244, ' Yes': -4.444126, ' Unfortunately': -4.4187913}
{' No': -0.4808108, '\n': -1.7381675, 'No': -2.461581, ' Yes': -2.610442, ' Unfortunately': -3.4794717}
{' No': -0.37598506, '\n': -1.8258941, 'No': -2.2408762, ' Unfortunately': -3.4163177, ' Yes': -5.385545}
{' No': -0.7907862, ' Yes': -0.90128845, '\n': -2.702169, 'No': -3.2493165, 'Yes': -4.3106685}
{' No': -0.7782419, '\n': -2.1396253, 'No': -2.970344, ' Yes': -1.0753648, 'Yes': -4.145719}
{' No': -0.50794375, ' Not': -4.3933883, '\n': -1.4659039, 'No': -2.9717517, ' Yes': -2.397201}
{' No': -0.14815295, ' Not': -6.790179, '\n': -3.006908, 'No': -2.5085063, ' Unfortunately': -5.73397}
{' No': -0.46998504, '\n': -1.3429136, 'No': -2.4312677, ' Unfortunately': -4.4532557, ' Not': -5.3016405}
{' No': -0.15849388, '\n': -2.711106, 'No': -2.742358, ' Yes': -5.217068, ' Unfortunately': -5.1514764}
{' No': -0.35344094, '\n': -2.5347133, 'No': -3.3035102, ' Yes': -1.7876451, 'Yes': -5.464723}
{' No': -0.36516106, '\n': -1.8442297, 'No': -2.8687868, ' Yes': -2.5354645, 'Yes': -5.6979814}
{' No': -0.6678444, '\n': -1.2498014, 'No': -2.9229105, ' Yes': -3.7326427, ' Unfortunately': -2.2905898}
{' No': -0.30461496, ' Not': -5.559194, '\n': -2.1662712, 'No': -2.6064835, ' Unfortunately': -2.773302}
{' No': -0.59654874, '\n': -1.2512672, ' Unfortunately': -2.6202514, 'No': -2.6503646, ' Not': -4.8607163}
{' No': -0.41351044, '\n': -1.4318134, 'No': -2.919055, ' Unfortunately': -3.5438702, ' Yes': -4.9002523}
{' No': -0.35730758, '\n': -1.842146, 'No': -2.8315754, ' Yes': -3.34672, ' Unfortunately': -3.4402332}
