{' number': -6.5517163, ' #': -6.544743, ' 1': -2.2409306, ' 2': -0.15288188, ' two': -3.472717}
{' 2': -0.13632493, ' 1': -2.3231134, ' two': -3.6633103, ' #': -6.410267, ' number': -6.8245993}
{' number': -6.855565, ' #': -6.491849, ' 1': -2.7968016, ' 2': -0.09532663, ' two': -3.6269045}
{' 2': -0.088766545, ' 1': -2.8912795, ' two': -3.6428072, ' #': -6.530142, ' number': -6.810873}
{' number': -6.749363, ' #': -6.4870358, ' 1': -2.5152266, ' 2': -0.11661757, ' two': -3.66387}
{' number': -6.7811203, ' #': -6.5853066, ' 1': -3.0272574, ' 2': -0.07952452, ' two': -3.6934292}
{' 2': -0.20264323, ' 1': -1.8635547, ' two': -3.7389534, ' #': -6.3635798, ' one': -6.548693}
{' 2': -0.19664015, ' 1': -1.8972169, ' two': -3.7163236, ' #': -6.4732676, ' one': -6.5740957}
{' #': -6.3566985, ' 1': -1.7782925, ' 2': -0.22052667, ' one': -6.460425, ' two': -3.716336}
{' #': -6.396356, ' 1': -1.8556933, ' 2': -0.20438741, ' one': -6.5094047, ' two': -3.727531}
{' 2': -0.16809474, ' 1': -2.0614395, ' two': -3.751585, ' #': -6.4900413, ' one': -6.742166}
{' #': -6.414666, ' 1': -1.7511746, ' 2': -0.22433452, ' one': -6.4545364, ' two': -3.778284}
{' 2': -0.27001956, ' 1': -1.5542202, ' two': -3.881096, ' one': -6.328705, ' #': -6.428335}
{' #': -6.4523525, ' 1': -2.102876, ' 2': -0.16307388, ' one': -6.7694035, ' two': -3.7151139}
{' 2': -0.17937912, ' 1': -1.9918448, ' two': -3.7547781, ' #': -6.3724356, ' number': -6.6676965}
{' 2': -0.14188042, ' 1': -2.2761292, ' two': -3.6618862, ' #': -6.493814, ' number': -6.6945066}
{' 2': -0.17349187, ' 1': -2.035541, ' two': -3.7146733, ' #': -6.380208, ' one': -6.6957316}
{' number': -6.7663517, ' #': -6.4751987, ' 1': -2.1230962, ' 2': -0.1596086, ' two': -3.732725}
{' #': -6.4274144, ' 1': -1.779145, ' 2': -0.21942592, ' one': -6.5073276, ' two': -3.7428482}
{' 2': -0.3404255, ' 1': -1.3368874, ' two': -3.876182, ' one': -6.0982127, ' #': -6.4403515}
{' 2': -0.3736606, ' 1': -1.245151, ' two': -3.979997, ' one': -6.106115, ' #': -6.408393}
{' #': -6.346453, ' 1': -0.8849759, ' 2': -0.5675206, ' one': -5.843334, ' two': -4.241558}
{' #': -6.451776, ' 1': -1.2832456, ' 2': -0.35778093, ' one': -6.12977, ' two': -3.9854872}
{' #': -6.441577, ' 1': -1.3447062, ' 2': -0.33494067, ' one': -6.195621, ' two': -3.959727}
{' #': -6.5002007, ' 1': -1.2779763, ' 2': -0.35816497, ' one': -6.258707, ' two': -4.0288916}
{' 2': -0.31819192, ' 1': -1.3891128, ' two': -3.9825995, ' one': -6.329459, ' #': -6.469935}
{' #': -6.2793546, ' 1': -0.85653704, ' 2': -0.590853, ' one': -5.742061, ' two': -4.1913548}
{' #': -6.4095516, ' 1': -1.4061729, ' 2': -0.31220916, ' one': -6.301745, ' two': -4.0007887}
{' #': -6.3462873, ' 1': -0.95717746, ' 2': -0.5207761, ' one': -5.856347, ' two': -4.1355963}
{' 2': -0.2841463, ' 1': -1.5035428, ' two': -3.896039, ' one': -6.291019, ' #': -6.4580026}
{' #': -6.442826, ' 1': -1.5003835, ' 2': -0.28516605, ' one': -6.31434, ' two': -3.8944569}
{' #': -6.349047, ' 1': -1.417623, ' 2': -0.30814505, ' one': -6.2930155, ' two': -4.017078}
{' #': -6.3942127, ' 1': -1.1279074, ' 2': -0.42366472, ' one': -6.053161, ' two': -4.1106763}
{' #': -6.4752426, ' 1': -1.2881149, ' 2': -0.35452875, ' one': -6.206785, ' two': -4.0226254}
{' #': -6.4718313, ' 1': -1.4929423, ' 2': -0.28502786, ' one': -6.399105, ' two': -3.9692488}
{' number': -6.774176, ' #': -6.489989, ' 1': -2.246926, ' 2': -0.14064091, ' two': -3.8275456}
{' 2': -0.32931063, ' 1': -1.355611, ' two': -4.0019984, ' one': -6.250849, ' #': -6.4849515}
{' number': -6.7411647, ' #': -6.4802985, ' 1': -2.7131631, ' 2': -0.10111223, ' two': -3.6382196}
{' number': -7.0157595, ' #': -6.750304, ' 1': -3.0394218, ' 2': -0.07750593, ' two': -3.729024}
{' number': -6.847932, ' #': -6.596613, ' 1': -3.00252, ' 2': -0.08180677, ' two': -3.657168}
{' number': -6.916578, ' #': -6.692364, ' 1': -2.8839467, ' 2': -0.0854599, ' two': -3.767915}
{' number': -6.9642835, ' #': -6.8024144, ' 1': -3.3637743, ' 2': -0.062270485, ' two': -3.7622178}
{' number': -6.7060885, ' #': -6.434489, ' 1': -2.1271875, ' 2': -0.1593893, ' two': -3.7292593}
{' number': -7.0208497, ' #': -6.732883, ' 1': -2.4528837, ' 2': -0.11791906, ' two': -3.8101776}
{' #': -6.4931984, ' 1': -1.8733338, ' 2': -0.20014474, ' one': -6.587812, ' two': -3.747752}
{' #': -6.578261, ' 1': -2.1258686, ' 2': -0.16061497, ' one': -6.7018714, ' two': -3.6820955}
{' #': -6.591811, ' 1': -2.0170507, ' 2': -0.17435172, ' one': -6.7121983, ' two': -3.7698033}
{' number': -6.8982463, ' #': -6.6391387, ' 1': -2.6138844, ' 2': -0.10879384, ' two': -3.6312242}
{' #': -6.54822, ' 1': -1.665902, ' 2': -0.24032494, ' one': -6.4626794, ' two': -3.8950033}
{' 2': -0.16873409, ' 1': -2.058291, ' two': -3.747557, ' #': -6.5199184, ' number': -6.71616}
{' number': -6.6733947, ' #': -6.538232, ' 1': -2.28352, ' 2': -0.13769938, ' two': -3.775032}
{' number': -6.880837, ' #': -6.6928005, ' 1': -2.7808774, ' 2': -0.09369811, ' two': -3.7130063}
{' number': -6.6366982, ' #': -6.3622756, ' 1': -2.1491463, ' 2': -0.15835498, ' two': -3.669862}
{' number': -6.735605, ' #': -6.558683, ' 1': -2.4303043, ' 2': -0.124131024, ' two': -3.6847713}
{' #': -6.5204053, ' 1': -1.8205626, ' 2': -0.20765136, ' one': -6.633992, ' two': -3.8445644}
{' #': -6.5809374, ' 1': -1.72525, ' 2': -0.22814551, ' one': -6.4853454, ' two': -3.8338256}
{' #': -6.654289, ' 1': -1.8963768, ' 2': -0.19196446, ' one': -6.687622, ' two': -3.8678162}
{' 2': -0.40876672, ' 1': -1.1664648, ' two': -3.990916, ' one': -5.973208, ' #': -6.424316}
{' #': -6.55336, ' 1': -1.6628674, ' 2': -0.24055767, ' one': -6.4829307, ' two': -3.9160163}
{' #': -6.608541, ' 1': -1.4572344, ' 2': -0.29691023, ' one': -6.2826095, ' two': -3.9348783}
{' #': -6.678632, ' 1': -2.0477097, ' 2': -0.16708519, ' one': -6.8151655, ' two': -3.845668}
{' 2': -0.15201421, ' 1': -2.1465762, ' two': -3.8715708, ' #': -6.709842, ' one': -6.9225335}
{' #': -6.583142, ' 1': -1.8338004, ' 2': -0.20228875, ' one': -6.574488, ' two': -3.9431565}
{' #': -6.550598, ' 1': -1.7862315, ' 2': -0.21147108, ' one': -6.67626, ' two': -3.956752}
{' 2': -0.42737487, ' 1': -1.127284, ' two': -4.002581, ' one': -5.972739, ' #': -6.4198837}
{' #': -6.6814084, ' 1': -2.1360219, ' 2': -0.15362094, ' one': -6.848897, ' two': -3.8698454}
{' 2': -0.15243958, ' 1': -2.1427255, ' two': -3.8828452, ' #': -6.681876, ' one': -6.857232}
{' #': -6.4782114, ' 1': -1.7881693, ' 2': -0.21231994, ' one': -6.5479574, ' two': -3.9221609}
{' 2': -0.23913164, ' 1': -1.6567322, ' two': -4.0192065, ' #': -6.526565, ' one': -6.59068}
{' #': -6.659315, ' 1': -2.0337596, ' 2': -0.16877516, ' one': -6.7349987, ' two': -3.870351}
{' number': -6.972153, ' #': -6.645345, ' 1': -2.2826834, ' 2': -0.13514988, ' two': -3.8569555}
{' number': -6.8622327, ' #': -6.654637, ' 1': -3.2943847, ' 2': -0.06541517, ' two': -3.7571993}
{' 2': -0.14600174, ' 1': -2.1872883, ' two': -3.8946283, ' #': -6.6839514, ' one': -6.877247}
{' number': -6.683315, ' #': -6.46678, ' 1': -2.7183444, ' 2': -0.10692311, ' two': -3.4523304}
{' number': -6.8324413, ' #': -6.6294546, ' 1': -2.9863405, ' 2': -0.086699784, ' two': -3.5235605}
{' number': -6.667787, ' #': -6.526187, ' 1': -3.0935948, ' 2': -0.08307586, ' two': -3.474414}
{' number': -6.6186, ' #': -6.5037036, ' 1': -2.6413434, ' 2': -0.11085432, ' two': -3.5096521}
{' 2': -0.0681843, ' 1': -3.4251878, ' two': -3.4960368, ' #': -6.628023, ' number': -6.7314796}
{' #': -6.4194627, ' 1': -2.18842, ' 2': -0.15922244, ' one': -6.563822, ' two': -3.4896896}
{' #': -6.4687424, ' 1': -2.1669168, ' 2': -0.15926445, ' one': -6.630897, ' two': -3.560845}
{' number': -6.568958, ' #': -6.3724065, ' 1': -2.2168221, ' 2': -0.15453969, ' two': -3.5168974}
{' #': -6.4004893, ' 1': -1.9603826, ' 2': -0.19090858, ' one': -6.402386, ' two': -3.5699136}
{' #': -6.4906325, ' 1': -2.1440046, ' 2': -0.16231516, ' one': -6.6056304, ' two': -3.564571}
{' #': -6.4971204, ' 1': -2.0440059, ' 2': -0.17680706, ' one': -6.5059915, ' two': -3.5689938}
{' #': -6.454421, ' 1': -1.7652678, ' 2': -0.22432856, ' one': -6.3184986, ' two': -3.689321}
{' number': -6.586679, ' #': -6.4033847, ' 1': -2.189826, ' 2': -0.15685745, ' two': -3.549319}
{' #': -6.383039, ' 1': -1.9207319, ' 2': -0.19629817, ' one': -6.4433, ' two': -3.6186838}
{' number': -6.500926, ' #': -6.4432282, ' 1': -2.2676046, ' 2': -0.1478973, ' two': -3.524728}
{' 2': -0.13107276, ' 1': -2.41258, ' two': -3.5409675, ' #': -6.3841567, ' number': -6.596368}
{' number': -6.539825, ' #': -6.3977, ' 1': -2.2725322, ' 2': -0.14817293, ' two': -3.5011945}
{' #': -6.375257, ' 1': -1.8282676, ' 2': -0.21250878, ' one': -6.40962, ' two': -3.6568658}
{' #': -6.485345, ' 1': -1.6972222, ' 2': -0.2416273, ' one': -6.204708, ' two': -3.633156}
{' #': -6.4436975, ' 1': -1.840945, ' 2': -0.208758, ' one': -6.446114, ' two': -3.6847408}
{' #': -6.3999414, ' 1': -1.1624889, ' 2': -0.41374195, ' one': -5.800672, ' two': -3.9156818}
{' #': -6.442036, ' 1': -1.5749596, ' 2': -0.2686396, ' one': -6.1681676, ' two': -3.7573366}
{' #': -6.4854627, ' 1': -1.4789939, ' 2': -0.297504, ' one': -6.040757, ' two': -3.7307925}
{' #': -6.5171633, ' 1': -1.5129756, ' 2': -0.28763187, ' one': -6.117007, ' two': -3.7065291}
{' 2': -0.21415035, ' 1': -1.8137692, ' two': -3.6846266, ' one': -6.3871913, ' #': -6.5084085}
{' #': -6.343274, ' 1': -1.2823145, ' 2': -0.3655454, ' one': -5.8493614, ' two': -3.7890742}
{' #': -6.5042834, ' 1': -1.913759, ' 2': -0.19389524, ' one': -6.489454, ' two': -3.7150512}
{' #': -6.366862, ' 1': -1.2347492, ' 2': -0.38441306, ' one': -5.8461747, ' two': -3.8157406}
{' #': -6.4962845, ' 1': -1.8666134, ' 2': -0.20342639, ' one': -6.365162, ' two': -3.6973228}
{' #': -6.4869537, ' 1': -1.8057752, ' 2': -0.21681255, ' one': -6.3033752, ' two': -3.6586914}
{' #': -6.3751254, ' 1': -1.8741595, ' 2': -0.20086928, ' one': -6.3888373, ' two': -3.744271}
{' #': -6.45473, ' 1': -1.4277146, ' 2': -0.3099855, ' one': -6.04906, ' two': -3.845212}
{' #': -6.5185924, ' 1': -1.7999454, ' 2': -0.2143626, ' one': -6.42793, ' two': -3.764686}
{' #': -6.562787, ' 1': -1.9583744, ' 2': -0.18559687, ' one': -6.559681, ' two': -3.7213955}
{' number': -6.76168, ' #': -6.606649, ' 1': -3.2953978, ' 2': -0.0697816, ' two': -3.6035032}
{' #': -6.520174, ' 1': -1.8293183, ' 2': -0.20843075, ' one': -6.455081, ' two': -3.756122}
{' #': -6.1844635, ' 1': -1.6136644, ' 2': -0.24572921, ' one': -6.9625278, ' two': -4.2226386}
{' #': -6.2794766, ' 1': -1.5948455, ' 2': -0.24884686, ' one': -7.047105, ' two': -4.2915483}
{' number': -7.2048125, ' #': -6.3818984, ' 1': -1.8437481, ' 2': -0.1927092, ' two': -4.282858}
{' #': -6.3002286, ' 1': -1.5039626, ' 2': -0.27262035, ' one': -7.0855527, ' two': -4.3632913}
{' number': -7.1525326, ' #': -6.370961, ' 1': -1.9331497, ' 2': -0.17647193, ' two': -4.280169}
{' #': -6.037959, ' 1': -1.1052041, ' 2': -0.42910054, ' one': -6.4733763, ' two': -4.3616014}
{' 2': -0.3810903, ' 1': -1.2002337, ' two': -4.4236755, ' #': -6.394065, ' one': -6.704908}
{' #': -6.205169, ' 1': -0.83824456, ' 2': -0.59503084, ' one': -6.254691, ' two': -4.5083666}
{' 2': -0.45307532, ' 1': -1.0532186, ' two': -4.4778266, ' #': -6.3132386, ' one': -6.5447125}
{' 2': -0.47817513, ' 1': -1.0086297, ' two': -4.502349, ' #': -6.2785516, ' one': -6.5211024}
{' #': -6.3076673, ' 1': -1.0048673, ' 2': -0.4851396, ' one': -6.2072396, ' two': -4.31302}
{' #': -6.4123077, ' 1': -0.66064644, ' 2': -0.75585186, ' one': -6.0774126, ' two': -4.7131424}
{' #': -6.300586, ' 1': -0.9087571, ' 2': -0.543477, ' one': -6.2520814, ' two': -4.474944}
{' #': -6.292487, ' 1': -1.0535867, ' 2': -0.45256206, ' one': -6.611372, ' two': -4.4986777}
{' #': -6.2647014, ' 1': -1.440816, ' 2': -0.2936545, ' one': -6.8563833, ' two': -4.2916193}
{' 2': -0.35438612, ' 1': -1.2761372, ' two': -4.2714562, ' #': -5.8853574, ' one': -6.5808387}
{' #': -6.2722383, ' 1': -1.0543989, ' 2': -0.45232338, ' one': -6.5677257, ' two': -4.494579}
{' #': -6.219148, ' 1': -0.65962064, ' 2': -0.75730747, ' one': -6.190831, ' two': -4.718224}
{' #': -6.389725, ' 1': -0.708512, ' 2': -0.7050025, ' one': -6.2610774, ' two': -4.7100077}
{' #': -6.3445554, ' 1': -0.6683844, ' 2': -0.74545467, ' one': -6.265064, ' two': -4.7844176}
{' 1': -0.4135361, ' 2': -1.1166288, ' two': -5.101043, ' one': -5.938946, ' #': -6.372652}
{' #': -6.3923283, ' 1': -0.45853496, ' 2': -1.0309818, ' one': -6.041302, ' two': -5.0844393}
{' #': -6.403078, ' 1': -0.6238119, ' 2': -0.79522735, ' one': -6.2139444, ' two': -4.8260136}
{' #': -6.381985, ' 1': -0.6191257, ' 2': -0.80210716, ' one': -6.1759095, ' two': -4.7726364}
{' 2': -0.6495821, ' 1': -0.7681543, ' two': -4.6707497, ' #': -6.3333244, ' one': -6.359646}
{' #': -6.307417, ' 1': -0.42351165, ' 2': -1.1017516, ' one': -5.7407207, ' two': -4.978237}
{' #': -6.28466, ' 1': -0.62066114, ' 2': -0.7982239, ' one': -6.2501993, ' two': -4.8851247}
{' #': -6.2210727, ' 1': -0.4502022, ' 2': -1.0504696, ' one': -5.9163504, ' two': -4.9579077}
{' 2': -0.70688206, ' 1': -0.7080036, ' two': -4.6781516, ' one': -6.2027864, ' #': -6.266774}
{' #': -6.238886, ' 1': -0.6474056, ' 2': -0.7701453, ' one': -6.1710987, ' two': -4.7503223}
{' #': -6.1147842, ' 1': -0.72753525, ' 2': -0.68996626, ' one': -6.1009, ' two': -4.630504}
{' #': -6.3522735, ' 1': -0.41990364, ' 2': -1.1055477, ' one': -5.843468, ' two': -5.074412}
{' #': -6.3122225, ' 1': -0.57755077, ' 2': -0.8539867, ' one': -6.079928, ' two': -4.83287}
{' 2': -0.58370894, ' 1': -0.8490917, ' two': -4.6156244, ' #': -6.254403, ' one': -6.419655}
{' 2': -0.38636795, ' 1': -1.1912043, ' two': -4.413257, ' #': -6.1936617, ' one': -6.621611}
{' #': -6.249088, ' 1': -0.7561196, ' 2': -0.6612652, ' one': -6.1639175, ' two': -4.6684613}
{' number': -6.97454, ' #': -6.3441334, ' 1': -3.0141487, ' 2': -0.07325752, ' two': -4.0040283}
{' number': -7.037032, ' #': -6.427804, ' 1': -2.9659886, ' 2': -0.07614553, ' two': -3.979437}
{' number': -7.0328794, ' #': -6.4957557, ' 1': -3.0721176, ' 2': -0.069640175, ' two': -4.017531}
{' number': -6.992905, ' #': -6.482549, ' 1': -2.5844634, ' 2': -0.09972777, ' two': -4.1139717}
{' number': -7.023062, ' #': -6.521028, ' 1': -2.9812655, ' 2': -0.07296909, ' two': -4.091546}
{' 2': -0.11617614, ' 1': -2.4172683, ' two': -4.0703464, ' #': -6.398572, ' number': -6.989277}
{' number': -7.0615416, ' #': -6.4523225, ' 1': -2.2172823, ' 2': -0.13747525, ' two': -4.124753}
{' #': -6.304289, ' 1': -1.7915266, ' 2': -0.20627947, ' one': -6.845368, ' two': -4.157785}
{' number': -7.0559483, ' #': -6.4307914, ' 1': -2.1203427, ' 2': -0.15015835, ' two': -4.137373}
{' number': -6.9694133, ' #': -6.452387, ' 1': -2.101442, ' 2': -0.15345, ' two': -4.108846}
{' number': -7.01332, ' #': -6.330245, ' 1': -2.2711267, ' 2': -0.13515964, ' two': -3.9389699}
{' #': -6.3939095, ' 1': -1.6297829, ' 2': -0.2411894, ' one': -6.736781, ' two': -4.243631}
{' number': -6.9510655, ' #': -6.3656273, ' 1': -2.2009926, ' 2': -0.14091112, ' two': -4.068653}
{' 2': -0.17454688, ' 1': -1.9593482, ' two': -4.1702857, ' #': -6.3517303, ' number': -6.9380774}
{' 2': -0.09835722, ' 1': -2.6309824, ' two': -4.001166, ' #': -6.4083314, ' number': -6.9376593}
{' number': -6.8615003, ' #': -6.251823, ' 1': -2.368679, ' 2': -0.12529016, ' two': -3.9046137}
{' #': -6.332497, ' 1': -1.9964865, ' 2': -0.17069812, ' one': -6.9722133, ' two': -4.057045}
{' #': -6.3501925, ' 1': -1.700801, ' 2': -0.22518274, ' one': -6.8591394, ' two': -4.189599}
{' #': -6.427884, ' 1': -1.4645615, ' 2': -0.28710568, ' one': -6.5989428, ' two': -4.247902}
{' #': -6.4119816, ' 1': -1.5728424, ' 2': -0.25534323, ' one': -6.7921143, ' two': -4.267489}
{' #': -6.4092417, ' 1': -1.0017328, ' 2': -0.48434165, ' one': -6.1894813, ' two': -4.4388304}
{' #': -6.467046, ' 1': -1.4251658, ' 2': -0.29806396, ' one': -6.6171675, ' two': -4.321833}
{' #': -6.4003353, ' 1': -1.5390927, ' 2': -0.26441357, ' one': -6.7268624, ' two': -4.28651}
{' #': -6.4425097, ' 1': -1.6023421, ' 2': -0.24816284, ' one': -6.8082294, ' two': -4.230022}
{' #': -6.402946, ' 1': -1.5812393, ' 2': -0.25305712, ' one': -6.791877, ' two': -4.273523}
{' #': -6.3813524, ' 1': -1.4332244, ' 2': -0.29713914, ' one': -6.564486, ' two': -4.2478495}
{' 2': -0.23243, ' 1': -1.6602196, ' two': -4.3114853, ' #': -6.3875484, ' one': -6.85625}
{' #': -6.3927727, ' 1': -1.1397547, ' 2': -0.4106267, ' one': -6.3831387, ' two': -4.396724}
{' #': -6.442082, ' 1': -1.7546949, ' 2': -0.21361251, ' one': -6.8020825, ' two': -4.16445}
{' #': -6.3803787, ' 1': -1.8619978, ' 2': -0.19170414, ' one': -6.9284124, ' two': -4.18058}
{' #': -6.319017, ' 1': -1.8389875, ' 2': -0.1971666, ' one': -6.8102946, ' two': -4.1411324}
{' 2': -0.28028807, ' 1': -1.4817917, ' two': -4.3334665, ' #': -6.347331, ' one': -6.6920767}
{' #': -6.449495, ' 1': -1.669441, ' 2': -0.23190093, ' one': -6.787782, ' two': -4.213022}
{' #': -6.3824716, ' 1': -1.5818177, ' 2': -0.25432023, ' one': -6.732741, ' two': -4.197067}
{' number': -6.989958, ' #': -6.3429046, ' 1': -2.7034593, ' 2': -0.09136432, ' two': -4.07659}
{' #': -6.50268, ' 1': -2.076924, ' 2': -0.15597795, ' one': -7.0971785, ' two': -4.142176}
{' number': -6.98177, ' #': -6.161631, ' 1': -2.9197114, ' 2': -0.08058299, ' two': -3.9233928}
{' number': -6.9746413, ' #': -6.220586, ' 1': -2.8076465, ' 2': -0.087956496, ' two': -3.9000235}
{' number': -7.0783257, ' #': -6.2417808, ' 1': -2.8483484, ' 2': -0.08331489, ' two': -3.9856737}
{' number': -7.0083265, ' #': -6.300991, ' 1': -2.5625532, ' 2': -0.1042249, ' two': -3.9947846}
{' number': -7.050643, ' #': -6.2925534, ' 1': -2.916939, ' 2': -0.07818064, ' two': -4.02862}
{' number': -7.022312, ' #': -6.1710267, ' 1': -2.3657575, ' 2': -0.124107875, ' two': -3.9673045}
{' #': -6.311163, ' 1': -2.042832, ' 2': -0.16261359, ' one': -7.0274954, ' two': -4.090533}
{' #': -6.163364, ' 1': -1.6495434, ' 2': -0.23989649, ' one': -6.7030373, ' two': -4.0907187}
{' #': -6.2763066, ' 1': -2.036118, ' 2': -0.16562332, ' one': -6.919079, ' two': -4.0072694}
{' 2': -0.22518377, ' 1': -1.7105945, ' two': -4.099201, ' #': -6.230299, ' one': -6.7277884}
{' #': -6.169775, ' 1': -2.0471025, ' 2': -0.16608304, ' one': -6.84523, ' two': -3.9280362}
{' #': -6.2521963, ' 1': -1.8658358, ' 2': -0.19160703, ' one': -6.918415, ' two': -4.1587696}
{' #': -6.1472445, ' 1': -1.7762347, ' 2': -0.2121536, ' one': -6.7424264, ' two': -4.048726}
{' 2': -0.14066774, ' 1': -2.2095804, ' two': -4.0422387, ' #': -6.2012424, ' number': -6.9706354}
{' number': -6.957488, ' #': -6.25828, ' 1': -2.377567, ' 2': -0.12330803, ' two': -3.9402041}
{' 2': -0.098115176, ' 1': -2.6670773, ' two': -3.9096746, ' #': -6.1082735, ' number': -6.9680204}
{' number': -6.9428997, ' #': -6.1777487, ' 1': -2.159452, ' 2': -0.14953955, ' two': -3.9429677}
{' #': -6.1061783, ' 1': -1.6981056, ' 2': -0.22878157, ' one': -6.7595124, ' two': -4.083848}
{' #': -6.2664466, ' 1': -1.3038377, ' 2': -0.34305844, ' one': -6.4232364, ' two': -4.2451463}
{' #': -6.239856, ' 1': -1.5863987, ' 2': -0.25324976, ' one': -6.7276874, ' two': -4.2112}
{' #': -6.158749, ' 1': -1.0359275, ' 2': -0.46624446, ' one': -6.200132, ' two': -4.3845487}
{' #': -6.327048, ' 1': -1.029895, ' 2': -0.46777648, ' one': -6.2430015, ' two': -4.443057}
{' #': -6.222864, ' 1': -1.5671198, ' 2': -0.25933683, ' one': -6.653126, ' two': -4.174057}
{' 2': -0.30382574, ' 1': -1.4116482, ' two': -4.265534, ' #': -6.2925887, ' one': -6.631838}
{' #': -6.247271, ' 1': -1.7303346, ' 2': -0.2196631, ' one': -6.843344, ' two': -4.1383796}
{' #': -6.158167, ' 1': -1.136816, ' 2': -0.41363525, ' one': -6.307881, ' two': -4.352472}
{' #': -6.106254, ' 1': -1.379936, ' 2': -0.31470466, ' one': -6.586576, ' two': -4.29162}
{' #': -6.16654, ' 1': -1.4659796, ' 2': -0.2895594, ' one': -6.5497212, ' two': -4.148791}
{' #': -6.211433, ' 1': -1.8370138, ' 2': -0.19830383, ' one': -6.865601, ' two': -4.1092935}
{' number': -6.8795605, ' #': -6.125475, ' 1': -1.9336251, ' 2': -0.18047425, ' two': -4.126038}
{' #': -6.135466, ' 1': -1.9841833, ' 2': -0.17274022, ' one': -6.922724, ' two': -4.0828238}
{' 2': -0.33542204, ' 1': -1.3198637, ' two': -4.321483, ' #': -6.2483964, ' one': -6.4949946}
{' #': -6.243275, ' 1': -1.5322602, ' 2': -0.26837093, ' one': -6.6497035, ' two': -4.199718}
{' #': -6.237039, ' 1': -1.97291, ' 2': -0.17258076, ' one': -7.0528784, ' two': -4.1574326}
{' number': -7.022225, ' #': -6.2047367, ' 1': -3.008597, ' 2': -0.07354462, ' two': -4.0151772}
{' #': -6.2951326, ' 1': -1.9377377, ' 2': -0.1779856, ' one': -6.9962277, ' two': -4.1746073}
{' number': -7.393972, ' #': -6.5123496, ' 1': -2.742771, ' 2': -0.086690806, ' two': -4.136131}
{' number': -7.4849253, ' #': -6.607441, ' 1': -2.9257102, ' 2': -0.07370732, ' two': -4.1960444}
{' number': -7.4762535, ' #': -6.639561, ' 1': -3.234532, ' 2': -0.05864783, ' two': -4.1775556}
{' number': -7.4477057, ' #': -6.636278, ' 1': -2.86902, ' 2': -0.07676088, ' two': -4.213506}
{' number': -7.403464, ' #': -6.678912, ' 1': -3.142938, ' 2': -0.062003203, ' two': -4.2194796}
{' #': -6.223825, ' 1': -1.7252923, ' 2': -0.22037895, ' one': -6.935516, ' two': -4.145233}
{' #': -6.640021, ' 1': -2.4180877, ' 2': -0.112908, ' one': -7.5090632, ' two': -4.1888146}
{' #': -6.246708, ' 1': -1.5028586, ' 2': -0.2756209, ' one': -6.783469, ' two': -4.236724}
{' #': -6.4162188, ' 1': -1.9977224, ' 2': -0.16838248, ' one': -7.110914, ' two': -4.1283545}
{' #': -6.583982, ' 1': -2.2546048, ' 2': -0.13007022, ' one': -7.373261, ' two': -4.24794}
{' #': -6.492954, ' 1': -2.15662, ' 2': -0.14546782, ' one': -7.144129, ' two': -4.097069}
{' #': -6.4983554, ' 1': -1.6551908, ' 2': -0.23315181, ' one': -6.9548836, ' two': -4.289443}
{' #': -6.408915, ' 1': -1.6019827, ' 2': -0.24851285, ' one': -6.859274, ' two': -4.199906}
{' #': -6.3059587, ' 1': -1.8278819, ' 2': -0.19623297, ' one': -7.1447196, ' two': -4.274848}
{' 2': -0.18414119, ' 1': -1.9015863, ' two': -4.1640415, ' #': -6.4313273, ' one': -7.140417}
{' number': -7.190625, ' #': -6.1687226, ' 1': -2.1340384, ' 2': -0.14928561, ' two': -4.0965014}
{' 2': -0.09710729, ' 1': -2.598509, ' two': -4.162297, ' #': -6.596407, ' number': -7.3935714}
{' #': -6.386016, ' 1': -1.4624972, ' 2': -0.28630203, ' one': -6.796898, ' two': -4.291909}
{' #': -6.584975, ' 1': -1.6347558, ' 2': -0.23645572, ' one': -6.9694605, ' two': -4.3766975}
{' #': -6.4547763, ' 1': -1.2911053, ' 2': -0.34405902, ' one': -6.7166133, ' two': -4.3788223}
{' #': -6.3286743, ' 1': -0.92753565, ' 2': -0.5295197, ' one': -6.307078, ' two': -4.498912}
{' #': -6.5466228, ' 1': -1.383735, ' 2': -0.30798274, ' one': -6.8010645, ' two': -4.495635}
{' 2': -0.2101865, ' 1': -1.7475611, ' two': -4.381703, ' #': -6.6236567, ' one': -7.1127663}
{' #': -6.608745, ' 1': -1.5888788, ' 2': -0.24782768, ' one': -6.9722896, ' two': -4.394932}
{' #': -6.554223, ' 1': -1.6500009, ' 2': -0.23371065, ' one': -7.0002975, ' two': -4.3217845}
{' #': -6.4063654, ' 1': -1.2321897, ' 2': -0.36706024, ' one': -6.5410495, ' two': -4.4475617}
{' 2': -0.1977611, ' 1': -1.8055891, ' two': -4.421901, ' #': -6.5020547, ' one': -7.140472}
{' 2': -0.44316518, ' 1': -1.0728382, ' two': -4.4366612, ' #': -6.375147, ' one': -6.450984}
{' #': -6.4079275, ' 1': -1.3452098, ' 2': -0.32433966, ' one': -6.689436, ' two': -4.3609586}
{' #': -6.463811, ' 1': -1.6254821, ' 2': -0.239555, ' one': -6.946089, ' two': -4.349012}
{' 2': -0.27120852, ' 1': -1.5086256, ' two': -4.3703737, ' #': -6.3768153, ' one': -6.7515707}
