{' number': -5.9342136, ' 1': -1.799021, ' 2': -0.25823066, ' one': -5.402187, ' two': -2.9497304}
{' number': -6.00248, ' #': -5.743247, ' 1': -2.7448225, ' 2': -0.13102072, ' two': -2.9750376}
{' 2': -0.10725411, ' two': -2.9291208, ' 1': -3.2013168, ' #': -5.687011, ' number': -5.850193}
{' #': -5.9864755, ' 1': -1.9912903, ' 2': -0.2031378, ' one': -5.9833794, ' two': -3.2222664}
{' #': -5.870172, ' 1': -2.0212588, ' 2': -0.21703666, ' one': -5.6453624, ' two': -2.930528}
{' #': -5.867419, ' 1': -2.0636754, ' 2': -0.20593132, ' one': -5.781363, ' two': -2.9885297}
{' #': -5.8124013, ' 1': -2.1239347, ' 2': -0.19936085, ' one': -5.8240542, ' two': -2.951594}
{' 2': -0.22840327, ' 1': -1.9206182, ' two': -3.0262506, ' one': -5.692119, ' #': -5.8142295}
{' 2': -0.28354058, ' 1': -1.6029166, ' two': -3.302015, ' one': -5.699351, ' number': -5.9287114}
{' #': -5.87202, ' 1': -1.6663035, ' 2': -0.28547478, ' one': -5.3506074, ' two': -3.0139294}
{' #': -5.755904, ' 1': -1.9175429, ' 2': -0.23191606, ' one': -5.654184, ' two': -2.9913726}
{' #': -5.753555, ' 1': -1.8914355, ' 2': -0.2378996, ' one': -5.5731063, ' two': -2.9784029}
{' 2': -0.24276608, ' 1': -1.8590474, ' two': -3.0070615, ' one': -5.5605645, ' #': -5.7028213}
{' #': -5.7672625, ' 1': -1.8008409, ' 2': -0.25243244, ' one': -5.55167, ' two': -3.038033}
{' 2': -0.2666275, ' 1': -1.7695285, ' two': -2.9382985, ' one': -5.363801, ' #': -5.7791185}
{' #': -5.7475724, ' 1': -1.8874909, ' 2': -0.2370507, ' one': -5.568542, ' two': -3.0030036}
{' #': -5.7239256, ' 1': -2.2043157, ' 2': -0.18932968, ' one': -5.8383703, ' two': -2.9381833}
{' #': -5.716989, ' 1': -2.1475978, ' 2': -0.19581552, ' one': -5.779054, ' two': -2.9649003}
{' number': -5.86415, ' #': -5.7961144, ' 1': -2.2639115, ' 2': -0.18110965, ' two': -2.9416363}
{' #': -5.868342, ' 1': -2.2898173, ' 2': -0.17739068, ' one': -5.871611, ' two': -2.9396508}
{' #': -5.7381988, ' 1': -1.8371106, ' 2': -0.25115794, ' one': -5.529334, ' two': -2.9485188}
{' #': -5.7544193, ' 1': -1.9220371, ' 2': -0.23230186, ' one': -5.6227655, ' two': -2.9759197}
{' #': -5.7262273, ' 1': -1.8700205, ' 2': -0.23875281, ' one': -5.603316, ' two': -3.0311816}
{' #': -5.775678, ' 1': -1.6807525, ' 2': -0.27838203, ' one': -5.4662957, ' two': -3.0685146}
{' #': -5.7634234, ' 1': -1.8183163, ' 2': -0.25266728, ' one': -5.509457, ' two': -2.9812725}
{' #': -5.733573, ' 1': -2.010745, ' 2': -0.21669112, ' one': -5.676148, ' two': -2.969575}
{' number': -5.8445396, ' #': -5.6879606, ' 1': -2.2234235, ' 2': -0.18531281, ' two': -2.964333}
{' #': -5.769476, ' 1': -2.0305026, ' 2': -0.21329905, ' one': -5.718431, ' two': -2.9658015}
{' number': -5.828007, ' #': -5.7183537, ' 1': -2.3683822, ' 2': -0.16563296, ' two': -2.991538}
{' #': -5.842688, ' 1': -2.3624003, ' 2': -0.16626759, ' one': -6.011728, ' two': -2.9785006}
{' number': -5.91697, ' #': -5.7666235, ' 1': -2.3418589, ' 2': -0.1709642, ' two': -2.947257}
{' 2': -0.17219424, ' 1': -2.3655593, ' two': -2.893376, ' #': -5.737036, ' number': -5.8744445}
{' number': -5.919402, ' #': -5.72456, ' 1': -2.3854153, ' 2': -0.16585281, ' two': -2.9543047}
{' #': -5.700415, ' 1': -2.2267132, ' 2': -0.18621469, ' one': -5.851063, ' two': -2.9397223}
{' number': -5.8853035, ' #': -5.7287526, ' 1': -2.4163, ' 2': -0.16732621, ' two': -2.8834267}
{' #': -5.7472873, ' 1': -2.2465806, ' 2': -0.18165816, ' one': -5.901843, ' two': -2.9629598}
{' number': -5.853239, ' #': -5.696744, ' 1': -2.290577, ' 2': -0.1786501, ' two': -2.9333954}
{' number': -5.9415364, ' #': -5.7644176, ' 1': -2.5195074, ' 2': -0.14959797, ' two': -2.9893634}
{' 2': -0.12775986, ' 1': -2.846418, ' two': -2.9252377, ' #': -5.721423, ' number': -5.7855177}
{' #': -5.960617, ' 1': -1.5321245, ' 2': -0.2954188, ' one': -5.7359614, ' two': -3.456853}
{' number': -5.91491, ' 1': -2.1070836, ' 2': -0.20328848, ' one': -5.631464, ' two': -2.935569}
{' #': -5.965256, ' 1': -2.114263, ' 2': -0.19700016, ' one': -5.7118907, ' two': -3.007215}
{' #': -5.802388, ' 1': -1.9892226, ' 2': -0.21971032, ' one': -5.713266, ' two': -2.9766855}
{' #': -5.8696537, ' 1': -1.9534991, ' 2': -0.2249682, ' one': -5.6393447, ' two': -2.9875278}
{' 2': -0.1632439, ' 1': -2.4356077, ' two': -2.9165149, ' #': -5.7546897, ' number': -5.791929}
{' #': -5.888576, ' 1': -1.5992051, ' 2': -0.3018191, ' one': -5.305823, ' two': -3.0383112}
{' number': -5.8468733, ' 1': -2.1044428, ' 2': -0.20288303, ' one': -5.677532, ' two': -2.9498332}
{' #': -5.793362, ' 1': -1.6063931, ' 2': -0.301574, ' one': -5.298935, ' two': -3.0250695}
{' #': -5.694846, ' 1': -1.7699044, ' 2': -0.26340222, ' one': -5.4343176, ' two': -2.9929705}
{' #': -5.7357287, ' 1': -1.843718, ' 2': -0.24538474, ' one': -5.5430846, ' two': -3.0131269}
{' #': -5.7988496, ' 1': -1.7634817, ' 2': -0.26696464, ' one': -5.3673763, ' two': -2.9545922}
{' #': -5.773455, ' 1': -1.5812448, ' 2': -0.3048204, ' one': -5.3156023, ' two': -3.0785668}
{' #': -5.7345257, ' 1': -2.0972729, ' 2': -0.20749658, ' one': -5.6878138, ' two': -2.905525}
{' #': -5.755487, ' 1': -2.0297208, ' 2': -0.21451999, ' one': -5.650977, ' two': -2.9602227}
{' number': -5.8923845, ' #': -5.92035, ' 1': -2.5382197, ' 2': -0.15209623, ' two': -2.919445}
{' #': -5.7740183, ' 1': -2.2968526, ' 2': -0.17956203, ' one': -5.856153, ' two': -2.903519}
{' 2': -0.19399104, ' 1': -2.1567519, ' two': -2.9722881, ' one': -5.7512155, ' #': -5.8141704}
{' 2': -0.25084245, ' 1': -1.8377737, ' two': -2.9585357, ' one': -5.490534, ' #': -5.737499}
{' #': -5.788952, ' 1': -1.6926341, ' 2': -0.27801472, ' one': -5.4004116, ' two': -3.0366738}
{' #': -5.7818933, ' 1': -1.5281228, ' 2': -0.31808567, ' one': -5.3004675, ' two': -3.1144092}
{' #': -5.7063413, ' 1': -1.4929028, ' 2': -0.33640483, ' one': -5.1881456, ' two': -3.021797}
{' #': -5.703002, ' 1': -1.6702914, ' 2': -0.28762576, ' one': -5.332084, ' two': -2.9892228}
{' #': -5.7375855, ' 1': -1.9722582, ' 2': -0.22564945, ' one': -5.6229076, ' two': -2.9429362}
{' 2': -0.17278796, ' 1': -2.34291, ' two': -2.9144964, ' one': -5.874532, ' #': -5.898877}
{' 2': -0.16225037, ' 1': -2.4680383, ' two': -2.8808382, ' #': -5.722779, ' number': -5.8257756}
{' #': -5.789726, ' 1': -2.1892827, ' 2': -0.19203684, ' one': -5.78665, ' two': -2.9229994}
{' 2': -0.15394272, ' 1': -2.5567765, ' two': -2.8748403, ' #': -5.741494, ' number': -5.822405}
{' 2': -0.19107808, ' 1': -2.2544231, ' two': -2.8333414, ' #': -5.656338, ' one': -5.744758}
{' number': -5.8928304, ' #': -5.745006, ' 1': -2.6473844, ' 2': -0.14731967, ' two': -2.8521438}
{' number': -5.918912, ' #': -5.7538924, ' 1': -2.4552994, ' 2': -0.16442122, ' two': -2.865114}
{' number': -5.902114, ' #': -5.838412, ' 1': -2.8530848, ' 2': -0.13087308, ' two': -2.8606894}
{' #': -5.830488, ' 1': -2.4447784, ' 2': -0.16423632, ' one': -5.917341, ' two': -2.879591}
{' 2': -0.13581458, ' 1': -2.7454584, ' two': -2.904358, ' #': -5.8019214, ' number': -5.899416}
{' number': -5.9477277, ' #': -5.888382, ' 1': -2.9690416, ' 2': -0.11903355, ' two': -2.9251554}
{' 2': -0.109249756, ' two': -2.8810294, ' 1': -3.2270267, ' number': -5.7762823, ' #': -5.778705}
{' #': -5.939132, ' 1': -1.7795266, ' 2': -0.24082069, ' one': -5.810407, ' two': -3.2954185}
{' number': -5.876051, ' 1': -2.1777165, ' 2': -0.20081644, ' one': -5.6654596, ' two': -2.821788}
{' 2': -0.17612031, ' 1': -2.3615966, ' two': -2.8380501, ' number': -5.869487, ' one': -5.8746243}
{' 2': -0.17995442, ' 1': -2.3296278, ' two': -2.8385942, ' number': -5.833077, ' #': -5.8625145}
{' #': -5.832543, ' 1': -2.3505807, ' 2': -0.1762376, ' one': -5.861652, ' two': -2.8578665}
{' number': -5.7416296, ' #': -5.8489647, ' 1': -2.786855, ' 2': -0.13757846, ' two': -2.8338711}
{' #': -5.9103427, ' 1': -1.84046, ' 2': -0.254219, ' one': -5.368546, ' two': -2.892206}
{' number': -5.7764826, ' 1': -2.1388886, ' 2': -0.20498602, ' one': -5.6914964, ' two': -2.8512087}
{' #': -5.708125, ' 1': -1.8832732, ' 2': -0.24883392, ' one': -5.400304, ' two': -2.8664315}
{' number': -5.732933, ' 1': -1.9570848, ' 2': -0.23522405, ' one': -5.4696546, ' two': -2.8583415}
{' #': -5.7674384, ' 1': -2.045804, ' 2': -0.21826664, ' one': -5.579049, ' two': -2.8695307}
{' #': -5.738512, ' 1': -1.6958863, ' 2': -0.2883144, ' one': -5.2320495, ' two': -2.8987994}
{' #': -5.746221, ' 1': -2.0982497, ' 2': -0.2143462, ' one': -5.5491667, ' two': -2.814762}
{' number': -5.7847233, ' #': -5.694648, ' 1': -2.4075744, ' 2': -0.17745657, ' two': -2.7654748}
{' 2': -0.20009106, ' 1': -2.1713357, ' two': -2.8600945, ' one': -5.6653996, ' #': -5.7575283}
{' number': -5.740673, ' #': -5.759055, ' 1': -2.5763447, ' 2': -0.15908554, ' two': -2.7809727}
{' #': -5.7944655, ' 1': -2.0155635, ' 2': -0.22393575, ' one': -5.552384, ' two': -2.8594317}
{' #': -5.670069, ' 1': -2.0627656, ' 2': -0.22039454, ' one': -5.570671, ' two': -2.8156857}
{' #': -5.752202, ' 1': -2.1036708, ' 2': -0.21316214, ' one': -5.598503, ' two': -2.8192394}
{' #': -5.697461, ' 1': -2.0494628, ' 2': -0.22004636, ' one': -5.555787, ' two': -2.8450043}
{' #': -5.7329483, ' 1': -1.9181123, ' 2': -0.23672917, ' one': -5.5059266, ' two': -2.9304242}
{' #': -5.7733793, ' 1': -1.9801692, ' 2': -0.23114216, ' one': -5.5022964, ' two': -2.850643}
{' #': -5.7075005, ' 1': -2.0269682, ' 2': -0.22009881, ' one': -5.580509, ' two': -2.8915255}
{' number': -5.7743006, ' #': -5.720513, ' 1': -2.340742, ' 2': -0.18039708, ' two': -2.826294}
{' number': -5.83178, ' #': -5.783288, ' 1': -2.358396, ' 2': -0.1782719, ' two': -2.820409}
{' 2': -0.15816365, ' 1': -2.5486817, ' two': -2.832911, ' #': -5.667032, ' number': -5.731698}
{' #': -5.8336296, ' 1': -2.4419596, ' 2': -0.17037585, ' one': -5.884989, ' two': -2.797548}
{' number': -5.781765, ' #': -5.722359, ' 1': -2.5749228, ' 2': -0.15622543, ' two': -2.8201046}
{' number': -5.73257, ' #': -5.6991415, ' 1': -2.3981264, ' 2': -0.17599273, ' two': -2.7999206}
{' number': -5.8262424, ' #': -5.7185936, ' 1': -2.6309264, ' 2': -0.15400904, ' two': -2.7817764}
{' number': -5.8176074, ' #': -5.704589, ' 1': -2.38973, ' 2': -0.17869721, ' two': -2.7735095}
{' number': -5.72846, ' #': -5.6740003, ' 1': -2.7785833, ' 2': -0.14373565, ' two': -2.767738}
{' number': -5.838103, ' #': -5.7170763, ' 1': -2.4022791, ' 2': -0.17564437, ' two': -2.7925913}
{' number': -5.7575297, ' #': -5.639678, ' 1': -2.6493208, ' 2': -0.15358181, ' two': -2.77322}
{' number': -5.8446383, ' #': -5.735011, ' 1': -2.7960117, ' 2': -0.13581362, ' two': -2.851855}
{' number': -5.7448344, ' #': -5.7400484, ' 1': -3.4372208, ' 2': -0.10470562, ' two': -2.820978}
{' #': -5.895357, ' 1': -1.8281785, ' 2': -0.23392121, ' one': -5.7673063, ' two': -3.2380884}
{' #': -5.824345, ' 1': -2.0574493, ' 2': -0.19593824, ' one': -6.0257797, ' two': -3.156416}
{' 2': -0.222963, ' 1': -1.899984, ' two': -3.171436, ' #': -5.7483993, ' one': -5.8798003}
{' 2': -0.20359948, ' 1': -2.018066, ' two': -3.1451123, ' #': -5.712393, ' one': -6.0016775}
{' #': -5.705519, ' 1': -2.0050702, ' 2': -0.20487854, ' one': -5.9682794, ' two': -3.1626916}
{' 2': -0.17183815, ' 1': -2.2004654, ' two': -3.2390285, ' #': -5.684753, ' number': -6.0965357}
{' #': -5.8938546, ' 1': -1.5456553, ' 2': -0.30078787, ' one': -5.5842366, ' two': -3.2758875}
{' #': -5.7559304, ' 1': -1.9032735, ' 2': -0.22096527, ' one': -5.9169245, ' two': -3.1939323}
{' #': -5.725102, ' 1': -1.8033053, ' 2': -0.24467148, ' one': -5.717094, ' two': -3.1378446}
{' #': -5.697938, ' 1': -1.798278, ' 2': -0.24421246, ' one': -5.7530985, ' two': -3.1664479}
{' #': -5.7417593, ' 1': -1.5331955, ' 2': -0.30519882, ' one': -5.6247, ' two': -3.27281}
{' #': -5.647466, ' 1': -1.4870979, ' 2': -0.3262988, ' one': -5.447124, ' two': -3.1716201}
{' #': -5.7108893, ' 1': -1.784914, ' 2': -0.2472897, ' one': -5.7220874, ' two': -3.1602361}
{' #': -5.606121, ' 1': -1.879778, ' 2': -0.23044989, ' one': -5.7944927, ' two': -3.1259823}
{' #': -5.6146054, ' 1': -1.9600334, ' 2': -0.2122421, ' one': -5.946149, ' two': -3.1848314}
{' #': -5.702521, ' 1': -1.947793, ' 2': -0.21545883, ' one': -5.8833127, ' two': -3.1561532}
{' 2': -0.1943549, ' 1': -2.0701673, ' two': -3.1562037, ' #': -5.8001637, ' one': -5.998022}
{' 2': -0.23498443, ' 1': -1.8460835, ' two': -3.1616008, ' #': -5.622056, ' one': -5.875772}
{' #': -5.738179, ' 1': -2.0794299, ' 2': -0.19505523, ' one': -5.9935813, ' two': -3.1233387}
{' #': -5.7000127, ' 1': -1.9264636, ' 2': -0.22054435, ' one': -5.856951, ' two': -3.1322303}
{' #': -5.696967, ' 1': -1.763023, ' 2': -0.25070333, ' one': -5.750946, ' two': -3.1871827}
{' #': -5.7439375, ' 1': -1.7520876, ' 2': -0.25379092, ' one': -5.720691, ' two': -3.1720016}
{' 2': -0.20813873, ' 1': -1.9843209, ' two': -3.1680326, ' #': -5.6890697, ' one': -5.941346}
{' #': -5.680818, ' 1': -2.2158036, ' 2': -0.17769292, ' one': -6.0856094, ' two': -3.0897238}
{' #': -5.7188683, ' 1': -2.1484563, ' 2': -0.18445544, ' one': -6.0865283, ' two': -3.1255794}
{' number': -5.9719396, ' #': -5.6234107, ' 1': -2.069363, ' 2': -0.19640401, ' two': -3.1400018}
{' 2': -0.13444805, ' 1': -2.553849, ' two': -3.1822097, ' #': -5.81762, ' number': -6.3726664}
{' number': -6.151037, ' #': -5.674332, ' 1': -2.3850377, ' 2': -0.15445085, ' two': -3.138097}
{' 2': -0.17109197, ' 1': -2.3004808, ' two': -3.0255077, ' #': -5.607801, ' number': -6.062276}
{' number': -6.0081825, ' #': -5.623985, ' 1': -2.236403, ' 2': -0.17665145, ' two': -3.0676217}
{' 2': -0.17502245, ' 1': -2.2519877, ' two': -3.0575447, ' #': -5.6382265, ' one': -6.055377}
{' #': -5.68015, ' 1': -2.2017736, ' 2': -0.17813586, ' one': -6.077603, ' two': -3.1135375}
{' #': -5.7034025, ' 1': -2.2078369, ' 2': -0.1751945, ' one': -6.1171646, ' two': -3.1451347}
{' number': -6.0329638, ' #': -5.534312, ' 1': -2.4872372, ' 2': -0.14955042, ' two': -3.0531645}
{' number': -6.184621, ' #': -5.719555, ' 1': -2.4837651, ' 2': -0.14204653, ' two': -3.177153}
{' number': -6.0667048, ' #': -5.783447, ' 1': -3.0894012, ' 2': -0.099588305, ' two': -3.1573865}
{' #': -6.065885, ' 1': -1.629422, ' 2': -0.2605351, ' one': -6.1120186, ' two': -3.622691}
{' #': -5.9066033, ' 1': -1.7270323, ' 2': -0.24812, ' one': -5.756093, ' two': -3.3932211}
{' 2': -0.2559074, ' 1': -1.680569, ' two': -3.4676747, ' one': -5.7878323, ' #': -5.8574944}
{' #': -5.8651924, ' 1': -1.5193349, ' 2': -0.29563153, ' one': -5.7496634, ' two': -3.552454}
{' #': -5.905719, ' 1': -1.5394422, ' 2': -0.289835, ' one': -5.758056, ' two': -3.5423012}
{' number': -6.058589, ' #': -5.80605, ' 1': -2.0234547, ' 2': -0.1891729, ' two': -3.4346316}
{' 2': -0.37940344, ' 1': -1.2790293, ' two': -3.570142, ' one': -5.4143763, ' #': -5.943973}
{' #': -5.932685, ' 1': -1.6011271, ' 2': -0.27196845, ' one': -5.8504014, ' two': -3.5527968}
{' #': -5.8872457, ' 1': -1.349016, ' 2': -0.35507375, ' one': -5.4509263, ' two': -3.509611}
{' #': -5.8477917, ' 1': -1.4765284, ' 2': -0.3117562, ' one': -5.5868645, ' two': -3.4967573}
{' #': -5.8714466, ' 1': -1.3904002, ' 2': -0.33975443, ' one': -5.523386, ' two': -3.5110993}
{' #': -5.8392396, ' 1': -1.3319337, ' 2': -0.36497474, ' one': -5.3310533, ' two': -3.453067}
{' #': -5.8355026, ' 1': -1.6568307, ' 2': -0.26300514, ' one': -5.7077427, ' two': -3.4439151}
{' #': -5.7443542, ' 1': -1.7950181, ' 2': -0.2328995, ' one': -5.850412, ' two': -3.4110932}
{' #': -5.8036995, ' 1': -1.5873449, ' 2': -0.2784098, ' one': -5.72899, ' two': -3.5120733}
{' #': -5.818316, ' 1': -1.8932011, ' 2': -0.212287, ' one': -5.937926, ' two': -3.4253855}
{' #': -5.7584734, ' 1': -1.9412122, ' 2': -0.21021695, ' one': -5.7899923, ' two': -3.2870736}
{' #': -5.746358, ' 1': -1.830208, ' 2': -0.22467436, ' one': -5.916991, ' two': -3.431988}
{' 2': -0.2790311, ' 1': -1.5866807, ' two': -3.4887764, ' one': -5.7469893, ' #': -5.909276}
{' #': -5.840588, ' 1': -1.367368, ' 2': -0.34875986, ' one': -5.469466, ' two': -3.5027666}
{' #': -5.8928504, ' 1': -1.4092456, ' 2': -0.32994947, ' one': -5.603173, ' two': -3.578469}
{' 2': -0.30448985, ' 1': -1.4996439, ' two': -3.4909618, ' one': -5.6084876, ' #': -5.874598}
{' #': -5.8616157, ' 1': -1.647226, ' 2': -0.26267785, ' one': -5.7913857, ' two': -3.499004}
{' #': -5.800087, ' 1': -1.7216647, ' 2': -0.2477382, ' one': -5.8152976, ' two': -3.438242}
{' #': -5.851119, ' 1': -1.9740218, ' 2': -0.19888674, ' one': -6.006077, ' two': -3.3881967}
{' 2': -0.20613976, ' 1': -1.9182047, ' two': -3.4532368, ' #': -5.854937, ' one': -6.023911}
{' #': -5.8558064, ' 1': -2.0065167, ' 2': -0.19247374, ' one': -6.0128565, ' two': -3.4114676}
{' 2': -0.19951166, ' 1': -1.9667846, ' two': -3.4110496, ' #': -5.7977743, ' one': -6.0270123}
{' 2': -0.23572046, ' 1': -1.7979742, ' two': -3.3390377, ' #': -5.7602677, ' one': -5.7772317}
{' #': -5.8281317, ' 1': -1.9332286, ' 2': -0.2084706, ' one': -5.8783913, ' two': -3.3448381}
{' #': -5.7883477, ' 1': -1.8669327, ' 2': -0.21909417, ' one': -5.8521914, ' two': -3.3876998}
{' #': -5.7129045, ' 1': -2.1658623, ' 2': -0.17426807, ' one': -6.0404778, ' two': -3.295825}
{' 2': -0.18055378, ' 1': -2.0921595, ' two': -3.3861256, ' #': -5.7302084, ' one': -6.0710692}
{' #': -5.7118835, ' 1': -2.042086, ' 2': -0.19111097, ' one': -5.965157, ' two': -3.331883}
{' number': -6.1761947, ' #': -5.820064, ' 1': -2.3183444, ' 2': -0.14805059, ' two': -3.4421005}
{' number': -6.044409, ' #': -5.754089, ' 1': -2.4525812, ' 2': -0.13717636, ' two': -3.3663177}
{' 2': -0.14311382, ' 1': -2.3554342, ' two': -3.436094, ' #': -6.0340075, ' number': -6.2967153}
{' #': -5.5956497, ' 1': -1.444146, ' 2': -0.33054253, ' one': -5.420539, ' two': -3.3536386}
{' #': -5.4647737, ' 1': -1.637156, ' 2': -0.27627236, ' one': -5.621387, ' two': -3.3101258}
{' #': -5.494069, ' 1': -1.5316771, ' 2': -0.3041744, ' one': -5.5569077, ' two': -3.3380735}
{' #': -5.5644217, ' 1': -1.285625, ' 2': -0.38400793, ' one': -5.386419, ' two': -3.4562068}
{' 2': -0.20907877, ' 1': -1.9354504, ' two': -3.337714, ' #': -5.6755247, ' number': -5.9690905}
{' #': -5.615295, ' 1': -1.2710494, ' 2': -0.39142418, ' one': -5.2705956, ' two': -3.4327657}
{' 2': -0.3015154, ' 1': -1.5318371, ' two': -3.378721, ' #': -5.5790534, ' one': -5.597927}
{' #': -5.5847564, ' 1': -1.2772484, ' 2': -0.3893737, ' one': -5.304323, ' two': -3.42621}
{' #': -5.475118, ' 1': -1.403183, ' 2': -0.34621227, ' one': -5.368536, ' two': -3.3438601}
{' #': -5.5378227, ' 1': -1.3118782, ' 2': -0.37606043, ' one': -5.341522, ' two': -3.4154835}
{' #': -5.4980955, ' 1': -1.3016387, ' 2': -0.38538855, ' one': -5.201887, ' two': -3.33529}
{' #': -5.561824, ' 1': -1.5668842, ' 2': -0.29505092, ' one': -5.5028954, ' two': -3.3123372}
{' #': -5.4543633, ' 1': -1.736675, ' 2': -0.25513425, ' one': -5.661198, ' two': -3.2550423}
{' #': -5.461777, ' 1': -1.7565029, ' 2': -0.24777867, ' one': -5.6935253, ' two': -3.3096242}
{' 2': -0.27871937, ' 1': -1.621323, ' two': -3.3484077, ' #': -5.485691, ' one': -5.6219635}
{' #': -5.452361, ' 1': -1.9043344, ' 2': -0.22122528, ' one': -5.6969476, ' two': -3.2324593}
{' #': -5.467117, ' 1': -1.5728174, ' 2': -0.2919318, ' one': -5.599543, ' two': -3.3511243}
{' #': -5.5298204, ' 1': -1.5969474, ' 2': -0.2874994, ' one': -5.5594373, ' two': -3.3027868}
{' 2': -0.36549667, ' 1': -1.3425723, ' two': -3.388354, ' one': -5.3537908, ' #': -5.5346546}
{' 2': -0.43984288, ' 1': -1.1575612, ' two': -3.5134587, ' one': -5.2319665, ' #': -5.5369983}
{' 2': -0.3376422, ' 1': -1.4345735, ' two': -3.30331, ' one': -5.372244, ' #': -5.467622}
{' #': -5.465703, ' 1': -1.6904591, ' 2': -0.26725873, ' one': -5.5565534, ' two': -3.2368228}
{' 2': -0.30446213, ' 1': -1.5260177, ' two': -3.36399, ' #': -5.528255, ' one': -5.560411}
{' #': -5.497372, ' 1': -1.5861342, ' 2': -0.28927067, ' one': -5.5759835, ' two': -3.3249896}
{' 2': -0.23707783, ' 1': -1.8008176, ' two': -3.3166735, ' #': -5.553549, ' one': -5.7916894}
{' #': -5.504051, ' 1': -1.8990582, ' 2': -0.21822245, ' one': -5.8108077, ' two': -3.3003623}
{' #': -5.5186205, ' 1': -1.910185, ' 2': -0.216053, ' one': -5.889261, ' two': -3.301109}
{' 2': -0.2636825, ' 1': -1.7020618, ' two': -3.24981, ' #': -5.4697666, ' one': -5.5979853}
{' #': -5.4875674, ' 1': -2.0981615, ' 2': -0.18858492, ' one': -5.9322157, ' two': -3.22471}
{' #': -5.36446, ' 1': -2.0099497, ' 2': -0.20769216, ' one': -5.797843, ' two': -3.143117}
{' #': -5.336671, ' 1': -2.1250396, ' 2': -0.18907878, ' one': -5.8931623, ' two': -3.1594286}
{' #': -5.4580054, ' 1': -1.9599279, ' 2': -0.20912498, ' one': -5.840001, ' two': -3.2655766}
{' #': -5.3993897, ' 1': -1.964895, ' 2': -0.21041077, ' one': -5.827934, ' two': -3.236986}
{' number': -6.0818076, ' #': -5.5104885, ' 1': -2.2226372, ' 2': -0.16843419, ' two': -3.2757397}
{' number': -5.990033, ' #': -5.4187603, ' 1': -2.4097207, ' 2': -0.14828041, ' two': -3.25036}
{' 2': -0.15440008, ' 1': -2.273102, ' two': -3.4168265, ' #': -5.718524, ' one': -6.2890935}
{' 2': -0.27195382, ' 1': -1.6157097, ' two': -3.4482558, ' one': -5.7158813, ' #': -5.960733}
{' #': -6.109702, ' 1': -1.3449833, ' 2': -0.34767455, ' one': -5.694851, ' two': -3.6557667}
{' #': -5.7871213, ' 1': -1.286084, ' 2': -0.3745622, ' one': -5.617744, ' two': -3.5934}
{' #': -5.917598, ' 1': -1.4453526, ' 2': -0.31492054, ' one': -5.754051, ' two': -3.613371}
{' #': -6.0334873, ' 1': -1.8519175, ' 2': -0.21310829, ' one': -6.145742, ' two': -3.5581534}
{' 2': -0.48792326, ' 1': -1.0487448, ' two': -3.6254487, ' one': -5.331635, ' #': -6.0221353}
{' #': -5.936711, ' 1': -1.4207921, ' 2': -0.3231301, ' one': -5.761143, ' two': -3.6070597}
{' #': -5.8014655, ' 1': -0.9872801, ' 2': -0.5239563, ' one': -5.254813, ' two': -3.682289}
{' #': -5.6880856, ' 1': -0.96095055, ' 2': -0.5380798, ' one': -5.3084555, ' two': -3.7570796}
{' #': -5.767088, ' 1': -0.9806716, ' 2': -0.52377385, ' one': -5.383777, ' two': -3.766545}
{' #': -5.857124, ' 1': -1.1320484, ' 2': -0.44539148, ' one': -5.318361, ' two': -3.5905635}
{' #': -5.8294787, ' 1': -1.4147545, ' 2': -0.32624406, ' one': -5.664812, ' two': -3.6020675}
{' 2': -0.2667001, ' 1': -1.6346352, ' two': -3.4736185, ' #': -5.768689, ' one': -5.790999}
{' 2': -0.38363844, ' 1': -1.2660466, ' two': -3.591272, ' one': -5.5732627, ' #': -5.6935625}
{' 2': -0.2610481, ' 1': -1.6468016, ' two': -3.514172, ' one': -5.8783526, ' #': -6.0041637}
{' 2': -0.33903417, ' 1': -1.3921596, ' two': -3.4960184, ' one': -5.5935335, ' #': -5.7490516}
{' #': -5.779314, ' 1': -1.3865113, ' 2': -0.3377348, ' one': -5.6508408, ' two': -3.5695784}
{' #': -5.733049, ' 1': -1.2293353, ' 2': -0.40031192, ' one': -5.5436625, ' two': -3.5645688}
{' 2': -0.4754754, ' 1': -1.0719681, ' two': -3.6356928, ' one': -5.367532, ' #': -5.7423673}
{' #': -5.88453, ' 1': -1.2202343, ' 2': -0.39921978, ' one': -5.5146, ' two': -3.6705287}
{' #': -5.8028812, ' 1': -1.0947412, ' 2': -0.46440446, ' one': -5.33989, ' two': -3.6026375}
{' 2': -0.32489094, ' 1': -1.427943, ' two': -3.5355728, ' one': -5.6261497, ' #': -5.7969003}
{' #': -5.734297, ' 1': -1.3370366, ' 2': -0.35648385, ' one': -5.652875, ' two': -3.5541062}
{' #': -5.8029084, ' 1': -1.8619145, ' 2': -0.2163096, ' one': -6.012855, ' two': -3.4445276}
{' #': -5.9864993, ' 1': -1.7747681, ' 2': -0.23031546, ' one': -6.0557714, ' two': -3.526582}
{' #': -6.05105, ' 1': -1.958255, ' 2': -0.19733548, ' one': -6.04697, ' two': -3.456338}
{' #': -5.981205, ' 1': -1.8653661, ' 2': -0.2129194, ' one': -6.0981054, ' two': -3.496042}
