{' number': -6.164637, ' 1': -1.2105025, ' 2': -0.41595247, ' one': -5.496359, ' two': -3.3839087}
{' #': -6.3838477, ' 1': -0.6038446, ' 2': -0.85264486, ' one': -5.2904234, ' two': -3.9844787}
{' 1': -0.6392628, ' 2': -0.81050646, ' two': -3.9312377, ' one': -5.3538585, ' #': -6.4223742}
{' #': -6.437559, ' 1': -2.014502, ' 2': -0.18723913, ' one': -6.487094, ' two': -3.4193785}
{' number': -6.6258473, ' #': -6.5794353, ' 1': -2.831751, ' 2': -0.10257594, ' two': -3.3526273}
{' #': -6.306977, ' 1': -0.7722297, ' 2': -0.67679363, ' one': -5.413963, ' two': -3.8298275}
{' number': -6.610198, ' #': -6.601583, ' 1': -2.6103833, ' 2': -0.119500555, ' two': -3.3405523}
{' number': -6.4661417, ' 1': -1.9617684, ' 2': -0.19375552, ' one': -6.4786625, ' two': -3.4777482}
{' number': -6.6501193, ' #': -6.604654, ' 1': -2.4396925, ' 2': -0.13013546, ' two': -3.4718559}
{' number': -6.4708166, ' #': -6.5048075, ' 1': -2.6958518, ' 2': -0.10898352, ' two': -3.4486194}
{' number': -6.511299, ' #': -6.607251, ' 1': -2.3811805, ' 2': -0.13986844, ' two': -3.3790348}
{' number': -6.5883865, ' #': -6.5895867, ' 1': -2.319081, ' 2': -0.14712037, ' two': -3.3714437}
{' number': -6.442941, ' #': -6.5079865, ' 1': -2.3481448, ' 2': -0.14952494, ' two': -3.2480278}
{' number': -6.6243343, ' #': -6.637437, ' 1': -3.8866873, ' 2': -0.059165042, ' two': -3.3840833}
{' number': -6.636979, ' #': -6.744892, ' 1': -4.4409666, ' 2': -0.05239986, ' two': -3.3109562}
{' number': -6.6226506, ' #': -6.7974896, ' 1': -3.848822, ' 2': -0.06217058, ' two': -3.3205283}
{' 2': -0.08018057, ' two': -3.286964, ' 1': -3.311044, ' number': -6.559036, ' #': -6.737549}
{' 2': -0.090099744, ' 1': -2.9980416, ' two': -3.416571, ' number': -6.5198026, ' #': -6.6953454}
{' number': -6.813271, ' #': -6.835412, ' 1': -4.530275, ' 2': -0.04477251, ' two': -3.4873402}
{' 2': -0.04044107, ' two': -3.5504088, ' 1': -4.791379, ' number': -6.612787, ' #': -6.851878}
{' number': -6.547321, ' #': -6.7698736, ' 1': -4.134459, ' 2': -0.059509497, ' two': -3.24868}
{' number': -6.5687366, ' #': -6.6525407, ' 1': -2.6082342, ' 2': -0.120828465, ' two': -3.3124118}
{' 2': -0.124808006, ' 1': -2.5843017, ' two': -3.2748153, ' number': -6.4499884, ' #': -6.5882354}
{' number': -6.537267, ' #': -6.563026, ' 1': -2.5126846, ' 2': -0.1296147, ' two': -3.3125958}
{' number': -6.765385, ' #': -6.816821, ' 1': -5.088569, ' 2': -0.045776155, ' two': -3.3210561}
{' number': -6.475817, ' #': -6.587787, ' 1': -3.2466948, ' 2': -0.0848489, ' two': -3.246504}
{' 2': -0.048755858, ' two': -3.2934685, ' 1': -4.87105, ' number': -6.555324, ' #': -6.77594}
{' number': -6.4836464, ' #': -6.6947327, ' 1': -3.5693386, ' 2': -0.06759748, ' two': -3.383235}
{' number': -6.6303577, ' #': -6.622584, ' 1': -2.9500163, ' 2': -0.0947023, ' two': -3.3643878}
{' number': -6.394857, ' #': -6.539779, ' 1': -2.178894, ' 2': -0.16416375, ' two': -3.3919544}
{' number': -6.582656, ' #': -6.656565, ' 1': -3.0980144, ' 2': -0.08912622, ' two': -3.3034244}
{' number': -6.4671683, ' 1': -1.2321622, ' 2': -0.3927705, ' one': -5.9066725, ' two': -3.6025195}
{' number': -6.496433, ' 1': -0.3340763, ' 2': -1.3474411, ' one': -4.8442903, ' two': -4.3385677}
{' number': -6.779525, ' #': -6.717701, ' 1': -2.6573148, ' 2': -0.11872147, ' two': -3.2614026}
{' #': -6.503701, ' 1': -1.8156304, ' 2': -0.22392307, ' one': -6.209853, ' two': -3.4155335}
{' 2': -0.5107705, ' 1': -0.9940411, ' two': -3.7660635, ' one': -5.6024966, ' number': -6.525483}
{' number': -6.4320717, ' 1': -1.0533682, ' 2': -0.48661858, ' one': -5.4802365, ' two': -3.5366938}
{' number': -6.503678, ' 1': -1.3618977, ' 2': -0.34507298, ' one': -5.86915, ' two': -3.5140657}
{' 2': -0.27301672, ' 1': -1.5941378, ' two': -3.4806201, ' one': -6.139289, ' number': -6.5272717}
{' 2': -0.08614871, ' 1': -3.1080601, ' two': -3.3614707, ' #': -6.6707067, ' number': -6.7649956}
{' number': -6.8262367, ' #': -6.824183, ' 1': -4.256026, ' 2': -0.05449531, ' two': -3.3155844}
{' #': -6.465942, ' 1': -1.5612047, ' 2': -0.28234652, ' one': -6.0321856, ' two': -3.4900815}
{' number': -6.7829185, ' #': -6.848275, ' 1': -4.0269737, ' 2': -0.05885883, ' two': -3.3038597}
{' number': -6.6476073, ' #': -6.8060646, ' 1': -3.1518655, ' 2': -0.081280075, ' two': -3.4364126}
{' 2': -0.0533648, ' two': -3.4694757, ' 1': -3.9902887, ' number': -6.9260707, ' #': -6.937709}
{' number': -6.6902637, ' #': -6.78713, ' 1': -3.9131646, ' 2': -0.056048166, ' two': -3.45011}
{' number': -6.758857, ' #': -6.849304, ' 1': -3.694775, ' 2': -0.06743493, ' two': -3.279284}
{' number': -6.8162947, ' #': -6.8905854, ' 1': -3.848452, ' 2': -0.060772453, ' two': -3.3497815}
{' number': -6.6645484, ' #': -6.805979, ' 1': -3.4696152, ' 2': -0.07607382, ' two': -3.2408764}
{' number': -6.782968, ' #': -6.8390384, ' 1': -5.0089893, ' 2': -0.043445732, ' two': -3.39962}
{' number': -6.7553735, ' #': -6.9402833, ' 1': -5.8391643, ' 2': -0.04063647, ' two': -3.3636017}
{' number': -6.813026, ' #': -7.053936, ' 1': -5.587381, ' 2': -0.040778946, ' two': -3.3793864}
{' number': -6.7484603, ' #': -7.0218215, ' 1': -5.396172, ' 2': -0.04468188, ' two': -3.299616}
{' 2': -0.046200473, ' two': -3.466862, ' 1': -4.469527, ' number': -6.701348, ' #': -6.96048}
{' number': -6.933308, ' #': -7.0538964, ' 1': -5.983385, ' 2': -0.033697825, ' two': -3.5533452}
{' number': -6.7134104, ' #': -7.0722113, ' 1': -6.3519087, ' 2': -0.032662757, ' two': -3.5684848}
{' number': -6.6906033, ' #': -7.0164356, ' 1': -5.8322053, ' 2': -0.043509603, ' two': -3.2878578}
{' number': -6.7799907, ' #': -6.9738317, ' 1': -4.4455056, ' 2': -0.053236738, ' two': -3.2774644}
{' 2': -0.056765098, ' two': -3.2517743, ' 1': -4.2750072, ' number': -6.701315, ' #': -6.924777}
{' number': -6.7565928, ' #': -6.83573, ' 1': -3.7751443, ' 2': -0.06532671, ' two': -3.2815568}
{' number': -6.9207473, ' #': -7.065223, ' 1': -6.5664296, ' 2': -0.036821753, ' two': -3.4179995}
{' number': -6.6896386, ' #': -6.881666, ' 1': -4.8907557, ' 2': -0.048820004, ' two': -3.28054}
{' 2': -0.04292613, ' two': -3.2862082, ' 1': -6.085004, ' number': -6.674124, ' #': -6.978878}
{' 2': -0.042931728, ' two': -3.425237, ' 1': -4.95267, ' number': -6.704881, ' #': -6.965778}
{' number': -6.864452, ' #': -6.9143767, ' 1': -4.550951, ' 2': -0.046960883, ' two': -3.4117296}
{' number': -6.601368, ' #': -6.8030415, ' 1': -3.4438424, ' 2': -0.07215369, ' two': -3.3627474}
{' number': -6.839433, ' #': -6.9509215, ' 1': -4.7594047, ' 2': -0.04898813, ' two': -3.2986598}
{' number': -6.6211514, ' 1': -2.2225463, ' 2': -0.15782419, ' one': -6.5839696, ' two': -3.3912513}
{' number': -6.4541087, ' 1': -0.82977074, ' 2': -0.6327436, ' one': -5.3220115, ' two': -3.701273}
{' number': -7.0069933, ' #': -6.982442, ' 1': -3.9275484, ' 2': -0.06163317, ' two': -3.275628}
{' #': -6.2680206, ' 1': -0.8711995, ' 2': -0.6069896, ' one': -5.2681236, ' two': -3.5943727}
{' number': -6.3315606, ' 1': -0.50226855, ' 2': -1.0041548, ' one': -4.931956, ' two': -4.032452}
{' number': -6.293674, ' 1': -0.41426626, ' 2': -1.1743944, ' one': -4.7136765, ' two': -4.040836}
{' number': -6.3016925, ' 1': -0.5536982, ' 2': -0.9294287, ' one': -4.997536, ' two': -3.9126651}
{' number': -6.253635, ' 1': -0.5994585, ' 2': -0.86922246, ' one': -5.0657077, ' two': -3.8331583}
{' 2': -0.20949093, ' 1': -1.9314891, ' two': -3.2616396, ' one': -6.1585608, ' number': -6.3342147}
{' number': -6.436459, ' #': -6.5994716, ' 1': -3.2041025, ' 2': -0.09180007, ' two': -3.1382537}
{' 2': -0.64683455, ' 1': -0.82000655, ' two': -3.6381829, ' one': -5.2096477, ' number': -6.1881504}
{' 2': -0.13287912, ' 1': -2.5667512, ' two': -3.14027, ' number': -6.3725047, ' #': -6.600552}
{' number': -6.2032804, ' 1': -1.7995507, ' 2': -0.23188758, ' one': -6.088256, ' two': -3.334184}
{' number': -6.4839106, ' #': -6.578417, ' 1': -2.5000794, ' 2': -0.1331742, ' two': -3.260833}
{' 2': -0.13552037, ' 1': -2.4767907, ' two': -3.2702496, ' number': -6.273856, ' #': -6.5148315}
{' number': -6.312215, ' 1': -2.2220793, ' 2': -0.17082885, ' one': -6.4242406, ' two': -3.131169}
{' 2': -0.14620496, ' 1': -2.4026804, ' two': -3.196715, ' number': -6.372406, ' one': -6.55971}
{' number': -6.2687073, ' #': -6.545649, ' 1': -2.529281, ' 2': -0.1393634, ' two': -3.0879335}
{' number': -6.396476, ' #': -6.590676, ' 1': -3.5401998, ' 2': -0.075987644, ' two': -3.2050846}
{' number': -6.482138, ' #': -6.795855, ' 1': -4.787093, ' 2': -0.055613603, ' two': -3.1505306}
{' 2': -0.06528078, ' two': -3.1524637, ' 1': -4.0535274, ' number': -6.4347954, ' #': -6.8362975}
{' number': -6.3969674, ' #': -6.797473, ' 1': -3.9638805, ' 2': -0.06816324, ' two': -3.1309302}
{' number': -6.2609396, ' #': -6.5953927, ' 1': -2.7063677, ' 2': -0.1163351, ' two': -3.253336}
{' 2': -0.059872482, ' two': -3.2107472, ' 1': -4.209386, ' number': -6.5431485, ' #': -6.788188}
{' number': -6.4204526, ' #': -6.8902984, ' 1': -5.082387, ' 2': -0.045457106, ' two': -3.3419867}
{' number': -6.3687863, ' #': -6.795257, ' 1': -4.121167, ' 2': -0.06839451, ' two': -3.0655773}
{' number': -6.3444476, ' #': -6.6568494, ' 1': -2.6978831, ' 2': -0.1251978, ' two': -3.0773728}
{' number': -6.2621484, ' #': -6.60735, ' 1': -2.5671396, ' 2': -0.13539205, ' two': -3.0956619}
{' number': -6.303731, ' 1': -2.2707102, ' 2': -0.16280401, ' one': -6.387016, ' two': -3.173872}
{' 2': -0.05212685, ' two': -3.1662319, ' 1': -5.1286244, ' number': -6.575424, ' #': -6.835482}
{' number': -6.24712, ' #': -6.571879, ' 1': -3.063598, ' 2': -0.10151986, ' two': -3.0870981}
{' number': -6.320054, ' #': -6.7583203, ' 1': -4.74158, ' 2': -0.05948185, ' two': -3.0841856}
{' number': -6.3006372, ' #': -6.681537, ' 1': -3.2205129, ' 2': -0.0889763, ' two': -3.1858103}
{' 2': -0.11674859, ' 1': -2.7623553, ' two': -3.1513648, ' number': -6.362317, ' #': -6.5825}
{' 2': -0.16881756, ' 1': -2.2017727, ' two': -3.232603, ' number': -6.208215, ' one': -6.4296255}
{' number': -6.354875, ' #': -6.650584, ' 1': -3.1310847, ' 2': -0.09670466, ' two': -3.1090968}
{' 2': -0.4858607, ' 1': -1.0593852, ' two': -3.496662, ' one': -5.472033, ' number': -6.2187467}
{' number': -6.287033, ' 1': -0.3038456, ' 2': -1.4531052, ' one': -4.541316, ' two': -4.2662497}
{' number': -6.5488396, ' 1': -2.3228464, ' 2': -0.15844828, ' one': -6.4162335, ' two': -3.122178}
{' 2': -0.51281995, ' 1': -0.9750716, ' two': -3.9852111, ' one': -6.11895, ' #': -6.222838}
{' #': -6.289748, ' 1': -0.43404126, ' 2': -1.0934289, ' one': -5.5922995, ' two': -4.583047}
{' #': -6.2463737, ' 1': -0.44795546, ' 2': -1.0752939, ' one': -5.4635267, ' two': -4.3953295}
{' #': -6.2283382, ' 1': -0.62068146, ' 2': -0.8167455, ' one': -5.771812, ' two': -4.2576995}
{' #': -6.2662635, ' 1': -0.6105582, ' 2': -0.82911366, ' one': -5.819552, ' two': -4.250968}
{' #': -6.3970237, ' 1': -1.790753, ' 2': -0.21421121, ' one': -6.839252, ' two': -3.8114593}
{' number': -6.8881125, ' #': -6.4465003, ' 1': -2.775817, ' 2': -0.09146777, ' two': -3.820237}
{' 2': -0.5834976, ' 1': -0.87137765, ' two': -4.0381236, ' one': -5.9671893, ' #': -6.1534944}
{' number': -6.919076, ' #': -6.529098, ' 1': -2.7243764, ' 2': -0.098890185, ' two': -3.6698549}
{' number': -6.746722, ' #': -6.416373, ' 1': -2.079483, ' 2': -0.1626854, ' two': -3.8467827}
{' number': -7.0854735, ' #': -6.6346087, ' 1': -2.7087252, ' 2': -0.09394092, ' two': -3.8959713}
{' number': -6.752221, ' #': -6.4585614, ' 1': -2.4663877, ' 2': -0.11580578, ' two': -3.8633528}
{' number': -6.829748, ' #': -6.5373387, ' 1': -2.4843183, ' 2': -0.117310084, ' two': -3.728224}
{' number': -6.87123, ' #': -6.551434, ' 1': -2.517163, ' 2': -0.11282419, ' two': -3.7808042}
{' number': -6.702939, ' #': -6.3524547, ' 1': -2.358983, ' 2': -0.13463707, ' two': -3.5913594}
{' number': -6.9210196, ' #': -6.455992, ' 1': -3.6161828, ' 2': -0.05310731, ' two': -3.8189514}
{' number': -6.9135685, ' #': -6.4807644, ' 1': -4.1760197, ' 2': -0.044164687, ' two': -3.6867826}
{' 2': -0.04518437, ' two': -3.755597, ' 1': -4.0029593, ' #': -6.6307654, ' number': -6.95792}
{' 2': -0.06514813, ' 1': -3.3481607, ' two': -3.6906517, ' #': -6.4976096, ' number': -6.8601804}
{' 2': -0.077672824, ' 1': -3.0007226, ' two': -3.8283422, ' #': -6.4323897, ' number': -6.783211}
{' number': -7.202256, ' #': -6.794384, ' 1': -4.5791817, ' 2': -0.031906012, ' two': -3.9583585}
{' 2': -0.03182177, ' two': -3.9040294, ' 1': -4.7262087, ' #': -6.8082676, ' number': -6.895249}
{' number': -6.899905, ' #': -6.784359, ' 1': -4.2177787, ' 2': -0.04407841, ' two': -3.649585}
{' 2': -0.07562841, ' 1': -3.100254, ' two': -3.6854455, ' #': -6.7173295, ' number': -6.877098}
{' number': -6.822344, ' #': -6.533896, ' 1': -2.7542338, ' 2': -0.09745922, ' two': -3.648666}
{' number': -6.9423513, ' #': -6.6520276, ' 1': -2.4246135, ' 2': -0.12441023, ' two': -3.674207}
{' number': -7.034886, ' #': -6.8198414, ' 1': -4.8131557, ' 2': -0.033536322, ' two': -3.7854414}
{' 2': -0.08313538, ' 1': -2.9776492, ' two': -3.6676328, ' #': -6.462972, ' number': -6.683601}
{' 2': -0.036303416, ' two': -3.713132, ' 1': -4.7281427, ' #': -6.7372518, ' number': -6.878648}
{' number': -6.7352033, ' #': -6.447092, ' 1': -3.2721279, ' 2': -0.066641964, ' two': -3.7577982}
{' 2': -0.056185544, ' 1': -3.4693322, ' two': -3.861266, ' #': -6.7123303, ' number': -7.015962}
{' 2': -0.14346531, ' 1': -2.2395918, ' two': -3.7623844, ' #': -6.348904, ' number': -6.662194}
{' number': -6.788438, ' #': -6.501211, ' 1': -2.8956983, ' 2': -0.08885917, ' two': -3.6293442}
{' #': -6.429301, ' 1': -1.4819353, ' 2': -0.29129198, ' one': -6.579391, ' two': -3.8549569}
{' #': -6.2420597, ' 1': -0.49040356, ' 2': -1.0037473, ' one': -5.4857264, ' two': -4.303193}
{' number': -7.147341, ' #': -6.7126255, ' 1': -2.878803, ' 2': -0.08901781, ' two': -3.6369245}
{' #': -6.4215007, ' 1': -1.7893739, ' 2': -0.21650356, ' one': -6.6110983, ' two': -3.7589228}
{' #': -6.3399663, ' 1': -0.8904217, ' 2': -0.5653828, ' one': -5.912083, ' two': -4.172883}
{' #': -6.4094553, ' 1': -0.9056037, ' 2': -0.5602172, ' one': -5.8039885, ' two': -3.99395}
{' #': -6.4537525, ' 1': -1.2103087, ' 2': -0.3901735, ' one': -6.167441, ' two': -3.9203172}
{' 2': -0.33025247, ' 1': -1.3613365, ' two': -3.8902633, ' one': -6.4112206, ' #': -6.5113077}
{' 2': -0.07377521, ' 1': -3.171515, ' two': -3.6383004, ' #': -6.6514115, ' number': -6.8904347}
{' 2': -0.04052523, ' two': -3.6995578, ' 1': -4.380054, ' #': -6.7126694, ' number': -6.959115}
{' #': -6.340718, ' 1': -1.6524391, ' 2': -0.24827781, ' one': -6.4946237, ' two': -3.749796}
{' number': -6.966692, ' #': -6.787043, ' 1': -4.193515, ' 2': -0.043711834, ' two': -3.6768486}
{' number': -6.8066926, ' #': -6.711135, ' 1': -3.3080895, ' 2': -0.064452425, ' two': -3.772012}
{' number': -7.0717115, ' #': -6.8855286, ' 1': -4.123417, ' 2': -0.041795805, ' two': -3.7912827}
{' number': -6.778363, ' #': -6.6742864, ' 1': -3.8364027, ' 2': -0.049609676, ' two': -3.7275689}
{' number': -6.8574038, ' #': -6.7783475, ' 1': -3.7121294, ' 2': -0.053958807, ' two': -3.6685143}
{' number': -6.8823066, ' #': -6.7647767, ' 1': -3.5431268, ' 2': -0.056537516, ' two': -3.7537289}
{' number': -6.7190614, ' #': -6.56669, ' 1': -3.2349873, ' 2': -0.072870426, ' two': -3.5857315}
{' number': -6.890308, ' #': -6.7950706, ' 1': -5.251685, ' 2': -0.03263018, ' two': -3.708085}
{' number': -6.842959, ' #': -6.8154187, ' 1': -5.8589945, ' 2': -0.032608937, ' two': -3.61555}
{' 2': -0.032211643, ' two': -3.645096, ' 1': -5.678982, ' number': -6.901258, ' #': -6.9186525}
{' number': -6.8771005, ' #': -6.8399053, ' 1': -5.1104584, ' 2': -0.0346722, ' two': -3.6596303}
{' number': -6.810757, ' #': -6.746288, ' 1': -4.880679, ' 2': -0.033377435, ' two': -3.7838845}
{' number': -7.0609536, ' #': -7.046436, ' 1': -6.230787, ' 2': -0.026048083, ' two': -3.8222818}
{' number': -6.7975993, ' #': -7.032932, ' 1': -6.828365, ' 2': -0.024335796, ' two': -3.8706474}
{' number': -6.8207917, ' #': -6.9759054, ' 1': -5.85477, ' 2': -0.03267631, ' two': -3.6083064}
{' number': -6.903447, ' #': -6.891919, ' 1': -4.6015587, ' 2': -0.041107744, ' two': -3.5770152}
{' 2': -0.039478187, ' two': -3.610788, ' 1': -4.6745124, ' #': -6.837811, ' number': -6.8815966}
{' number': -6.941677, ' #': -6.8595753, ' 1': -4.085686, ' 2': -0.047398075, ' two': -3.607924}
{' number': -6.978178, ' #': -6.938294, ' 1': -6.7096767, ' 2': -0.028778479, ' two': -3.683964}
{' number': -6.827359, ' #': -6.77204, ' 1': -4.972955, ' 2': -0.03873564, ' two': -3.5536892}
{' number': -6.8190207, ' #': -6.896589, ' 1': -6.16176, ' 2': -0.03155133, ' two': -3.6229265}
{' number': -6.835176, ' #': -6.886682, ' 1': -5.124965, ' 2': -0.032750763, ' two': -3.7310827}
{' number': -7.06554, ' #': -7.015407, ' 1': -5.1700783, ' 2': -0.029531458, ' two': -3.841301}
{' 2': -0.05161646, ' two': -3.71084, ' 1': -3.7698474, ' #': -6.7063365, ' number': -6.7345266}
{' number': -6.8784885, ' #': -6.7783422, ' 1': -4.4590416, ' 2': -0.04148691, ' two': -3.6264267}
{' 2': -0.09599701, ' 1': -2.7448978, ' two': -3.7175443, ' #': -6.702757, ' number': -6.858435}
{' #': -6.4242873, ' 1': -0.8620622, ' 2': -0.5913217, ' one': -5.7448573, ' two': -4.0357876}
{' number': -7.1497717, ' #': -6.9711075, ' 1': -4.462635, ' 2': -0.042824097, ' two': -3.5626488}
{' #': -6.2431006, ' 1': -2.1206415, ' 2': -0.1626929, ' one': -6.8420677, ' two': -3.6498032}
{' #': -6.274796, ' 1': -1.3025887, ' 2': -0.3528988, ' one': -6.2261443, ' two': -3.8983927}
{' #': -6.1926985, ' 1': -1.0151956, ' 2': -0.4932744, ' one': -5.8818917, ' two': -3.8745854}
{' #': -6.2441893, ' 1': -1.3732877, ' 2': -0.32832196, ' one': -6.323263, ' two': -3.836886}
{' #': -6.2759047, ' 1': -1.4988824, ' 2': -0.2875845, ' one': -6.4930434, ' two': -3.8243332}
{' number': -7.0222697, ' #': -6.4491754, ' 1': -3.4413857, ' 2': -0.06423242, ' two': -3.6023772}
{' 2': -0.04091858, ' two': -3.6356947, ' 1': -4.501053, ' #': -6.5173774, ' number': -7.03312}
{' #': -6.1954784, ' 1': -1.9292114, ' 2': -0.19191997, ' one': -6.714117, ' two': -3.697619}
{' number': -7.0631933, ' #': -6.572026, ' 1': -4.0187197, ' 2': -0.048262943, ' two': -3.6281922}
{' number': -6.8832664, ' #': -6.526641, ' 1': -3.4510999, ' 2': -0.060913708, ' two': -3.711722}
{' number': -7.211196, ' #': -6.6855435, ' 1': -4.6406054, ' 2': -0.035051282, ' two': -3.7908857}
{' 2': -0.04009741, ' two': -3.7341185, ' 1': -4.364694, ' #': -6.531213, ' number': -6.9469123}
{' number': -6.9568334, ' #': -6.6065884, ' 1': -3.9592438, ' 2': -0.049297728, ' two': -3.6349015}
{' number': -6.9768124, ' #': -6.5285864, ' 1': -3.5877457, ' 2': -0.058578685, ' two': -3.6337397}
{' number': -6.875193, ' #': -6.429826, ' 1': -3.4991484, ' 2': -0.06520946, ' two': -3.5138102}
{' number': -7.005943, ' #': -6.5405607, ' 1': -5.493166, ' 2': -0.03204737, ' two': -3.6929455}
{' 2': -0.032897845, ' two': -3.5996246, ' 1': -5.9923, ' #': -6.572686, ' number': -6.919519}
{' number': -7.0162053, ' #': -6.7641273, ' 1': -5.8083806, ' 2': -0.03314673, ' two': -3.597293}
{' number': -6.969447, ' #': -6.64316, ' 1': -5.227271, ' 2': -0.035592258, ' two': -3.605651}
{' number': -6.946534, ' #': -6.5983114, ' 1': -4.9100757, ' 2': -0.033574603, ' two': -3.7673867}
{' 2': -0.026293125, ' two': -3.7913744, ' 1': -6.523663, ' #': -6.8625593, ' number': -7.19001}
{' 2': -0.025540074, ' two': -3.8303628, ' 1': -6.600102, ' #': -6.8501163, ' number': -6.9252863}
{' number': -6.9420238, ' #': -6.768546, ' 1': -5.943479, ' 2': -0.03409386, ' two': -3.5531633}
{' number': -7.036543, ' #': -6.730692, ' 1': -4.938196, ' 2': -0.039646234, ' two': -3.5262566}
{' number': -7.0010653, ' #': -6.6492443, ' 1': -4.7616854, ' 2': -0.04026724, ' two': -3.5586312}
{' number': -7.051019, ' #': -6.653933, ' 1': -4.2642393, ' 2': -0.04667987, ' two': -3.5381062}
{' number': -7.0866284, ' #': -6.7674136, ' 1': -6.9505363, ' 2': -0.029760348, ' two': -3.6393697}
{' 2': -0.03888987, ' two': -3.4958255, ' 1': -5.239024, ' #': -6.5963683, ' number': -6.94848}
{' 2': -0.032507394, ' two': -3.5863369, ' 1': -6.2399755, ' #': -6.7202644, ' number': -6.906168}
{' number': -6.9268255, ' #': -6.6940937, ' 1': -5.5967293, ' 2': -0.03162435, ' two': -3.6875618}
{' 2': -0.031540383, ' two': -3.759766, ' 1': -5.18673, ' #': -6.7662954, ' number': -7.0994606}
{' 2': -0.06822463, ' 1': -3.298592, ' two': -3.6565998, ' #': -6.469626, ' number': -6.7777047}
{' number': -7.0341687, ' #': -6.6717143, ' 1': -4.9825993, ' 2': -0.03794888, ' two': -3.575003}
{' 2': -0.09159736, ' 1': -2.8310401, ' two': -3.665736, ' #': -6.6003885, ' number': -6.936251}
{' 2': -0.32402602, ' 1': -1.402441, ' two': -3.6751096, ' one': -6.160625, ' #': -6.283198}
{' number': -7.2822485, ' #': -6.7731504, ' 1': -4.6227937, ' 2': -0.042538576, ' two': -3.5158088}
{' #': -6.313364, ' 1': -0.7417912, ' 2': -0.6912008, ' one': -5.761969, ' two': -4.091885}
{' #': -6.48846, ' 1': -0.35276452, ' 2': -1.2680229, ' one': -5.40781, ' two': -4.7247643}
{' 1': -0.30215043, ' 2': -1.4125402, ' two': -4.6864905, ' one': -5.207109, ' #': -6.4955187}
{' #': -6.428091, ' 1': -0.45340186, ' 2': -1.0603222, ' one': -5.498499, ' two': -4.469509}
{' 1': -0.38249305, ' 2': -1.2015258, ' two': -4.574744, ' one': -5.462487, ' #': -6.4857135}
{' #': -6.5333776, ' 1': -1.9822726, ' 2': -0.179487, ' one': -6.9178576, ' two': -3.765777}
{' number': -7.0619016, ' #': -6.618957, ' 1': -2.75171, ' 2': -0.093306474, ' two': -3.7959983}
{' #': -6.3527646, ' 1': -0.6685031, ' 2': -0.7610974, ' one': -5.7696385, ' two': -4.239083}
{' #': -6.5772796, ' 1': -2.0215232, ' 2': -0.17420663, ' one': -6.9360814, ' two': -3.7275894}
{' #': -6.553776, ' 1': -1.7622343, ' 2': -0.21934004, ' one': -6.728173, ' two': -3.8377385}
{' number': -7.229706, ' #': -6.781137, ' 1': -2.8890793, ' 2': -0.08405622, ' two': -3.7901928}
{' number': -6.9423084, ' #': -6.560103, ' 1': -2.394886, ' 2': -0.12475784, ' two': -3.7762737}
{' number': -7.012943, ' #': -6.704373, ' 1': -2.3407588, ' 2': -0.13233909, ' two': -3.6994987}
{' #': -6.6811724, ' 1': -2.067238, ' 2': -0.16583669, ' one': -6.9358625, ' two': -3.7692032}
{' 2': -0.19287275, ' 1': -1.934385, ' two': -3.6098878, ' #': -6.5050597, ' one': -6.727127}
{' number': -7.207321, ' #': -6.7528563, ' 1': -4.031131, ' 2': -0.043647263, ' two': -3.7816997}
{' number': -7.1359673, ' #': -6.7357225, ' 1': -4.664691, ' 2': -0.037310537, ' two': -3.6878939}
{' number': -7.1532803, ' #': -6.8551054, ' 1': -4.0722117, ' 2': -0.044374272, ' two': -3.718124}
{' number': -7.0811667, ' #': -6.7681727, ' 1': -3.5986483, ' 2': -0.05701091, ' two': -3.6604195}
{' number': -7.04638, ' #': -6.7437253, ' 1': -3.3899012, ' 2': -0.06055161, ' two': -3.7892404}
{' number': -7.370126, ' #': -7.044217, ' 1': -5.013582, ' 2': -0.029341044, ' two': -3.8817294}
{' number': -7.145996, ' #': -7.0629725, ' 1': -5.3209424, ' 2': -0.027065916, ' two': -3.9100442}
{' 2': -0.044037797, ' two': -3.6090188, ' 1': -4.271233, ' #': -6.934333, ' number': -7.0963674}
{' number': -7.047315, ' #': -6.750475, ' 1': -2.7195473, ' 2': -0.101305075, ' two': -3.5853841}
{' 2': -0.102913484, ' 1': -2.6888967, ' two': -3.611836, ' #': -6.6877694, ' number': -7.0159316}
{' number': -7.0935388, ' #': -6.705244, ' 1': -2.759466, ' 2': -0.09828377, ' two': -3.5928745}
{' 2': -0.033071075, ' two': -3.7005572, ' 1': -5.1236854, ' #': -6.898046, ' number': -7.267769}
{' number': -7.0025635, ' #': -6.7664256, ' 1': -3.7537327, ' 2': -0.05256111, ' two': -3.6722603}
{' number': -7.056964, ' #': -6.873058, ' 1': -4.824586, ' 2': -0.037518512, ' two': -3.62242}
{' number': -7.026774, ' #': -6.667259, ' 1': -3.663725, ' 2': -0.052479003, ' two': -3.7726786}
{' number': -7.1352415, ' #': -6.8407116, ' 1': -3.4630046, ' 2': -0.058526672, ' two': -3.7602706}
{' number': -6.81592, ' #': -6.478067, ' 1': -1.9348662, ' 2': -0.18819655, ' two': -3.7590907}
{' number': -7.0199933, ' #': -6.7157655, ' 1': -2.9107847, ' 2': -0.08805777, ' two': -3.606046}
{' #': -6.553246, ' 1': -1.3257524, ' 2': -0.34301952, ' one': -6.383023, ' two': -3.883606}
