{' No': -1.7681766, '\n': -6.35613, 'No': -5.675157, ' Yes': -0.20745045, 'Yes': -4.486917}
{' No': -0.033670824, '\n': -5.3659496, 'No': -3.868328, ' Yes': -4.926213, 'Yes': -8.883591}
{' No': -0.41821116, ' Yes': -1.1473869, 'No': -4.1009655, 'Yes': -5.2366085, '\n': -6.122923}
{' No': -0.021288779, '\n': -6.602456, ' ': -9.132197, 'No': -4.130263, ' Yes': -5.6713495}
{' No': -0.04500423, 'No': -3.6684895, ' Yes': -4.3569736, '\n': -5.2899036, 'Yes': -8.096752}
{' No': -0.036895163, '\n': -6.249446, ' ': -9.046405, 'No': -3.5432277, ' Yes': -5.298385}
{' Yes': -0.2474258, ' No': -1.6548278, 'Yes': -3.9691358, 'No': -5.002745, '\n': -6.1368866}
{' No': -1.5409398, '\n': -4.372792, 'No': -5.222231, ' Yes': -0.28148305, 'Yes': -4.3672185}
{' No': -4.8521914, '\n': -5.8683867, ' Yes': -0.024230635, ' yes': -8.613078, 'Yes': -4.356626}
{' No': -0.26732507, ' Yes': -1.5740896, 'No': -4.1816945, '\n': -4.685948, 'Yes': -6.0794806}
{' No': -0.27446654, '\n': -3.8670797, 'No': -4.1953363, ' Yes': -1.6124773, 'Yes': -5.5383477}
{' No': -0.031285565, 'No': -4.1673594, ' Yes': -4.623233, '\n': -5.343374, ' ': -8.455684}
{' No': -3.5158193, '\n': -6.5901766, 'No': -7.4038954, ' Yes': -0.04680035, 'Yes': -4.282541}
{' No': -3.1576104, '\n': -3.6590257, 'No': -5.892142, ' Yes': -0.10649159, 'Yes': -3.5367606}
{' No': -3.7974327, '\n': -3.3681877, 'No': -6.5573945, ' Yes': -0.09384043, 'Yes': -3.4973054}
{' Yes': -0.6388687, ' No': -1.0645165, '\n': -2.4853597, 'No': -3.7340698, 'Yes': -4.0164814}
{' Yes': -0.13781957, '\n': -3.0044425, 'Yes': -3.2371485, ' No': -3.3111498, 'No': -6.093569}
{' No': -0.16303971, '\n': -3.0114303, 'No': -2.3333373, ' Yes': -6.456626, ' Unfortunately': -6.6833086}
{' No': -0.33861914, '\n': -2.8948, 'No': -2.9546793, ' Yes': -1.772478, 'Yes': -4.8188434}
{' No': -6.3100524, '\n': -4.2842555, ' ': -7.6587653, ' Yes': -0.04781876, 'Yes': -3.5040374}
{' No': -4.8824315, '\n': -4.0324845, 'No': -7.1340566, ' Yes': -0.06346778, 'Yes': -3.3711975}
{' No': -4.0033903, '\n': -3.2848191, 'No': -6.2457647, ' Yes': -0.09654113, 'Yes': -3.4184368}
{' No': -6.7779627, '\n': -2.8332286, ' ': -6.8937464, ' Yes': -0.1189019, 'Yes': -2.984773}
{' No': -0.7717636, ' Yes': -1.0737389, '\n': -2.1833007, 'No': -2.9712226, 'Yes': -4.1358976}
{' No': -3.191221, '\n': -3.685163, 'No': -5.4991584, ' Yes': -0.11789109, 'Yes': -3.2369783}
{' Yes': -0.14440827, ' No': -2.681285, 'Yes': -3.3650386, '\n': -3.7562988, 'No': -5.021373}
{' Yes': -0.17109658, ' No': -2.3351912, '\n': -3.39961, 'Yes': -3.9645247, 'No': -5.0347342}
{' No': -0.6846426, ' Yes': -1.083719, '\n': -2.5790594, 'No': -2.8429697, 'Yes': -3.8229194}
{' No': -0.8737489, '\n': -2.62319, 'No': -3.6360018, ' Yes': -0.76324284, 'Yes': -4.2895336}
{' No': -2.7302296, '\n': -4.357827, 'No': -5.662175, ' Yes': -0.10897773, 'Yes': -3.8996136}
{' Yes': -0.34432384, ' No': -1.6470256, '\n': -2.6535013, 'Yes': -4.156717, 'No': -4.62248}
{' No': -1.3904489, '\n': -1.8983129, 'No': -4.470714, ' Yes': -0.5548949, 'Yes': -4.456653}
{' Yes': -0.0999104, '\n': -2.7259786, 'Yes': -3.6154783, ' No': -6.5625553, ' ': -7.3918476}
{' No': -0.343233, '\n': -2.5320015, 'No': -3.4863434, ' Yes': -1.8239609, ' Unfortunately': -4.645817}
{' Yes': -0.73406315, ' No': -0.8561658, '\n': -2.989022, 'No': -3.7107131, 'Yes': -4.1992655}
{' Yes': -0.018993957, 'Yes': -4.0175138, '\n': -7.456806, ' yes': -8.900461, ' ': -10.094645}
{' Yes': -0.020856207, 'Yes': -3.9698114, '\n': -6.786769, ' yes': -8.104124, ' No': -8.664316}
{'\n': -6.404781, ' ': -9.292387, ' Yes': -0.021766914, ' yes': -8.477602, 'Yes': -3.944286}
{' Yes': -0.043731388, 'Yes': -3.849811, ' No': -4.091163, '\n': -5.6063166, 'No': -7.226312}
{' No': -9.510447, '\n': -8.26783, ' Yes': -0.014198946, ' yes': -8.879486, 'Yes': -4.300923}
{' No': -0.06303123, '\n': -4.9786844, 'No': -3.5308619, ' Yes': -3.7346087, 'Yes': -7.630898}
{' No': -0.13364875, ' Yes': -2.6731248, 'No': -3.3113124, '\n': -4.1042047, 'Yes': -6.4260716}
{' No': -0.23328036, ' Yes': -1.8671628, 'No': -3.5606346, '\n': -3.8573895, 'Yes': -5.867252}
{' Yes': -0.1940776, ' No': -1.9459257, '\n': -4.1293607, 'Yes': -4.3713655, 'No': -5.5408964}
{' Yes': -0.12325187, ' No': -2.5684729, 'Yes': -4.0102434, '\n': -4.0612874, 'No': -5.838599}
{' No': -0.5396982, '\n': -3.8466992, 'No': -4.308377, ' Yes': -0.98357445, 'Yes': -4.9033074}
{' Yes': -0.70465857, ' No': -0.7523919, '\n': -4.2455845, 'No': -4.524145, 'Yes': -4.8717747}
{' No': -0.13686377, ' Yes': -2.287815, 'No': -3.9745996, '\n': -5.152502, 'Yes': -6.7954574}
{' Yes': -0.40971452, ' No': -1.1991242, ' Sur': -4.463156, '\n': -4.6037874, 'Yes': -4.9481306}
{' No': -0.24537316, '\n': -4.921841, 'No': -3.9509318, ' Yes': -1.675812, 'Yes': -5.6697235}
{' No': -8.453718, '\n': -3.9299057, ' ': -7.7370305, ' Yes': -0.038336642, 'Yes': -4.0758386}
{' Yes': -0.10452613, '\n': -2.9312186, 'Yes': -3.8428743, ' No': -3.8850436, ' The': -6.7356677}
{' Yes': -0.14624028, '\n': -2.6827717, ' No': -3.0219631, 'Yes': -4.2132015, 'No': -6.1444907}
{' No': -6.901567, '\n': -2.4351768, ' ': -7.0722804, ' Yes': -0.1361905, 'Yes': -3.2953415}
{' No': -1.0146421, '\n': -2.0045178, 'No': -4.002406, ' Yes': -0.770366, 'Yes': -4.3964095}
{' No': -0.36708176, '\n': -4.6513033, 'No': -4.1256804, ' Yes': -1.2870322, 'Yes': -5.3147764}
{' No': -0.056405082, '\n': -4.9143834, ' ': -8.117648, 'No': -3.2336357, ' Yes': -4.9112673}
{' No': -0.11582453, 'No': -3.158387, '\n': -3.2419443, ' Yes': -3.6653392, ' ': -6.753176}
{' No': -0.6210222, ' Yes': -0.96556383, '\n': -3.0452127, 'No': -3.894681, 'Yes': -4.476035}
{' No': -0.048749287, '\n': -4.3334327, ' ': -7.9619017, 'No': -3.4501066, ' Yes': -6.303719}
{' No': -0.11401673, ' Yes': -2.6151593, 'No': -3.9469137, '\n': -4.3318605, 'Yes': -6.442982}
{' No': -1.170081, '\n': -4.149779, 'No': -4.866418, ' Yes': -0.42301062, 'Yes': -4.5545583}
{' No': -3.5071332, '\n': -5.417608, 'No': -7.3781276, ' Yes': -0.04817575, 'Yes': -4.470478}
{' No': -0.27463794, '\n': -2.9727104, 'No': -4.22794, ' Yes': -1.7695358, 'Yes': -6.264872}
{' Yes': -0.13079998, '\n': -2.8516822, ' No': -3.5732875, 'Yes': -3.956945, ' Sur': -4.206754}
{' No': -0.02195608, 'No': -4.139954, '\n': -5.538735, ' Yes': -6.4866486, ' Not': -8.924944}
{' No': -0.034029108, ' Yes': -4.2032604, 'No': -4.23604, '\n': -5.7680507, ' Not': -8.129557}
{' No': -0.030845154, '\n': -5.5916967, ' ': -8.715762, 'No': -3.7164948, ' Yes': -6.17645}
{' No': -0.046442077, 'No': -3.3898866, ' Yes': -4.643377, '\n': -6.411554, 'Yes': -8.386061}
{' No': -0.03326633, 'No': -3.6835902, '\n': -5.0587826, ' ': -7.4915442, ' Yes': -7.608284}
{' No': -0.051036634, 'No': -3.4136121, '\n': -4.187145, ' Yes': -6.784101, ' ': -8.018952}
{' No': -0.031651113, 'No': -3.6210065, '\n': -5.6802583, ' Yes': -7.4612865, ' ': -8.364042}
{' No': -0.12461201, '\n': -4.595263, 'No': -3.4515467, ' Yes': -2.6204388, 'Yes': -6.155631}
{' Yes': -0.33045742, ' No': -1.3716276, '\n': -4.3268294, 'Yes': -4.70421, 'No': -5.348058}
{' Yes': -0.11073552, ' No': -2.505097, 'Yes': -4.3573956, '\n': -4.8402905, 'No': -6.2977486}
{' No': -0.04309625, '\n': -4.4973373, ' ': -7.5481443, 'No': -4.099588, ' Yes': -4.293672}
{' No': -0.2325804, '\n': -2.6311703, 'No': -4.370838, ' Yes': -2.170624, ' Sur': -5.3155503}
{' No': -0.021130912, '\n': -5.148555, ' ': -8.142777, 'No': -4.3848715, ' Yes': -6.1252737}
{' No': -0.8912712, '\n': -4.958406, 'No': -4.963466, ' Yes': -0.57019764, 'Yes': -4.623388}
{' Yes': -0.13569914, ' No': -2.8889453, 'Yes': -3.379378, '\n': -3.4753041, 'No': -5.361153}
{' No': -2.0454922, '\n': -2.7105882, 'No': -4.484384, ' Yes': -0.278717, 'Yes': -3.3972623}
{' No': -0.45168656, '\n': -1.9173676, ' Yes': -1.9257847, 'No': -2.8251586, 'Yes': -4.9591823}
{' Yes': -0.26362896, '\n': -2.2219648, ' No': -2.768405, 'Yes': -2.9652357, 'No': -5.126437}
{' No': -0.1543916, 'No': -2.4283004, '\n': -3.0018244, ' Yes': -6.2955923, ' ': -6.515305}
{' No': -0.41609362, ' Yes': -1.5429513, '\n': -2.8672369, 'No': -2.8898866, 'Yes': -4.497835}
{' Yes': -0.061294068, 'Yes': -3.2796187, '\n': -3.977689, ' No': -6.531873, ' ': -7.0115595}
{' Yes': -0.07291779, 'Yes': -3.111753, '\n': -3.8378103, ' No': -6.00548, ' ': -7.0692916}
{' Yes': -0.15706295, '\n': -2.4014418, 'Yes': -3.201819, ' No': -4.6412263, ' ': -6.1520486}
{' Yes': -0.1862709, '\n': -2.1617444, 'Yes': -2.9700632, ' ': -6.187154, ' No': -7.2001295}
{' No': -0.9130518, ' Yes': -1.3378164, '\n': -1.4205, 'No': -2.8803902, 'Yes': -4.200388}
{' Yes': -0.21760678, ' No': -2.5661116, '\n': -2.7691357, 'Yes': -3.153848, 'No': -4.7236853}
{' Yes': -0.6939517, ' No': -0.94566834, '\n': -2.9103823, 'No': -3.3784668, 'Yes': -3.8627408}
{' Yes': -0.12268899, ' No': -2.7583814, '\n': -3.5760312, 'Yes': -4.017415, 'No': -5.509703}
{' No': -0.23563084, '\n': -2.7067897, 'No': -2.7561347, ' Yes': -2.5987613, 'Yes': -5.5257897}
{' No': -0.5925004, '\n': -2.7596128, 'No': -3.4869363, ' Yes': -1.0825745, 'Yes': -4.5800433}
{' No': -1.4300276, '\n': -3.4651153, 'No': -4.2400746, ' Yes': -0.36992526, 'Yes': -3.8475137}
{' No': -1.3127277, '\n': -2.9113338, 'No': -4.2188554, ' Yes': -0.44175974, 'Yes': -4.131684}
{' No': -1.1703207, '\n': -1.7636261, 'No': -4.0545177, ' Yes': -0.7271139, 'Yes': -4.489462}
{' Yes': -0.09972876, '\n': -2.7104065, 'Yes': -3.6187449, ' ': -7.180003, ' yes': -8.116911}
{' No': -0.6131857, '\n': -1.5125253, 'No': -3.5457227, ' Yes': -1.6480653, 'Yes': -5.0819163}
{' No': -0.26580662, '\n': -2.3678422, ' Yes': -2.3732362, 'No': -3.316744, ' The': -5.8612857}
{'\n': -8.0284, ' ': -10.167093, ' Yes': -0.013211324, ' yes': -9.226732, 'Yes': -4.3720083}
{' No': -8.108444, '\n': -6.6634617, ' Yes': -0.01757857, ' yes': -8.1694355, 'Yes': -4.173147}
{' Yes': -0.015039706, 'Yes': -4.382105, '\n': -6.326177, ' yes': -8.565578, ' ': -8.82369}
{' No': -3.1771252, '\n': -6.706849, 'No': -6.94457, ' Yes': -0.06145055, 'Yes': -4.212404}
{' No': -8.986543, '\n': -8.198967, ' Yes': -0.011489845, ' yes': -8.808931, 'Yes': -4.5285816}
{' No': -0.054886386, '\n': -5.071303, 'No': -3.6973975, ' Yes': -3.8406968, 'Yes': -7.833666}
{' No': -0.09459629, '\n': -3.8118546, 'No': -3.067077, ' Yes': -3.9342608, 'Yes': -7.447639}
{' No': -0.22361994, ' Yes': -1.9273154, '\n': -3.5837674, 'No': -3.799683, 'Yes': -6.152342}
{' No': -1.9287605, '\n': -5.0760117, 'No': -5.79503, ' Yes': -0.18341084, 'Yes': -4.409113}
{' No': -2.1591353, '\n': -5.657567, 'No': -6.2251196, ' Yes': -0.14050056, 'Yes': -4.7008243}
{' No': -0.07059484, ' Yes': -3.2537153, 'No': -4.022043, '\n': -4.5684466, 'Yes': -7.257271}
{' No': -0.5672845, ' Yes': -0.95106405, '\n': -3.8938246, 'No': -4.075551, 'Yes': -4.85546}
{' No': -0.08644968, '\n': -4.4214106, ' ': -6.9873757, 'No': -3.9928505, ' Yes': -3.0004187}
{' No': -1.0478873, '\n': -4.4010344, ' Yes': -0.53568786, ' Sur': -3.3970654, 'Yes': -4.743509}
{' No': -0.105875716, ' Yes': -2.6098049, 'No': -4.1091313, '\n': -4.7984014, 'Yes': -6.637952}
{' No': -6.588108, '\n': -3.8165421, ' ': -7.5279675, ' Yes': -0.04764978, 'Yes': -3.823897}
{' Yes': -0.081918746, '\n': -3.4855995, 'Yes': -3.7509477, ' No': -3.8915212, ' The': -6.463489}
{' Yes': -0.09847166, '\n': -2.9538581, 'Yes': -3.5851068, ' No': -4.622514, ' ': -6.6269975}
{' Yes': -0.15500303, '\n': -2.4749398, 'Yes': -2.8858206, ' ': -6.2629495, ' yes': -7.28191}
{' No': -1.906361, '\n': -1.5854247, 'No': -4.4847565, ' Yes': -0.50823444, 'Yes': -3.8430524}
{' No': -0.17253599, '\n': -5.220319, 'No': -3.79345, ' Yes': -2.061988, 'Yes': -5.7782807}
{' No': -0.046072952, 'No': -3.3872404, ' Yes': -4.788268, '\n': -5.9835305, 'Yes': -8.461318}
{' No': -0.054620452, 'No': -3.399501, ' Yes': -4.4997783, '\n': -4.8218036, ' ': -8.262339}
{' No': -0.1459998, '\n': -3.8789823, 'No': -3.8839757, ' Yes': -2.3925648, 'Yes': -6.13118}
{' No': -0.05259051, 'No': -3.2860632, '\n': -4.4530096, ' Yes': -6.3986864, ' ': -8.226155}
{' No': -0.044480078, '\n': -6.8233323, 'No': -3.9441493, ' Yes': -3.7957902, 'Yes': -7.688299}
{' Yes': -0.30338082, ' No': -1.4622247, 'Yes': -4.1558375, '\n': -4.8910084, 'No': -5.0535088}
{' No': -4.3238773, '\n': -6.8437386, 'No': -8.11018, ' Yes': -0.027838144, 'Yes': -4.373457}
{' No': -0.46296835, '\n': -4.66876, 'No': -4.4466605, ' Yes': -1.0636479, 'Yes': -5.6521273}
{' No': -4.097215, '\n': -4.344187, ' Yes': -0.050859258, ' Sur': -7.3299875, 'Yes': -3.99036}
{' No': -0.039596185, '\n': -5.0723834, ' ': -8.454205, 'No': -3.6068642, ' Yes': -5.3320556}
{' No': -0.039532937, '\n': -7.1573267, 'No': -4.6068926, ' Yes': -3.5950367, 'Yes': -8.03206}
{' No': -0.027896674, '\n': -5.9925494, ' ': -8.931532, 'No': -3.8199973, ' Yes': -5.8550715}
{' No': -0.0800416, '\n': -6.44751, 'No': -3.5651758, ' Yes': -3.0829864, 'Yes': -6.8770995}
{' No': -0.0368635, 'No': -3.4424207, '\n': -5.6014004, ' Yes': -8.313944, ' ': -8.53734}
{' No': -0.03278673, '\n': -5.916944, ' ': -9.339723, 'No': -3.5574543, ' Yes': -7.0473075}
{' No': -0.037294954, 'No': -3.4399972, '\n': -5.838774, ' Yes': -6.6408367, ' ': -8.658606}
{' No': -0.15724924, ' Yes': -2.148525, 'No': -3.715736, 'Yes': -5.892209, '\n': -6.4537325}
{' Yes': -0.3011011, ' No': -1.4392979, 'Yes': -4.4859476, '\n': -5.078761, 'No': -5.2991977}
{' No': -4.7723713, '\n': -6.9368625, ' Yes': -0.019670734, ' yes': -8.785534, 'Yes': -4.638794}
{' No': -0.050737973, ' Yes': -3.3165514, 'No': -4.520966, '\n': -6.3336334, 'Yes': -8.188376}
{' No': -0.10225528, '\n': -3.7202609, 'No': -4.376034, ' Yes': -2.840016, 'Yes': -7.045891}
{' No': -0.022290748, '\n': -5.7653475, ' ': -8.418081, 'No': -4.0534353, ' Yes': -6.797858}
{' Yes': -0.16232197, ' No': -2.023505, 'Yes': -4.342688, 'No': -6.0675664, '\n': -6.2276654}
{' No': -2.277807, '\n': -3.551986, 'No': -4.8451285, ' Yes': -0.18993153, 'Yes': -3.4151702}
{' No': -4.163374, '\n': -4.0538692, 'No': -6.942686, ' Yes': -0.06753377, 'Yes': -3.4874704}
{' No': -0.7193922, '\n': -2.3901381, 'No': -3.246444, ' Yes': -1.009189, 'Yes': -4.1679125}
{' No': -2.7533457, '\n': -2.7178383, 'No': -5.332756, ' Yes': -0.19850735, 'Yes': -3.126194}
{' No': -0.12534365, '\n': -3.4458146, ' ': -7.016735, 'No': -2.5078797, ' Yes': -5.893591}
{' No': -0.6278904, '\n': -3.3777473, 'No': -3.4000192, ' Yes': -0.9643753, 'Yes': -4.1510572}
{' Yes': -0.04323304, 'Yes': -3.6004436, '\n': -4.314515, ' No': -7.3047705, ' ': -7.6437726}
{' Yes': -0.036504935, 'Yes': -3.5547276, '\n': -5.1039124, ' No': -7.6085486, ' ': -8.246186}
{' Yes': -0.08743484, '\n': -3.1515102, 'Yes': -3.4495792, ' No': -4.9731884, ' ': -6.9384627}
{' Yes': -0.07168127, 'Yes': -3.2591584, '\n': -3.5261395, ' ': -7.3283124, ' yes': -8.0086775}
{' Yes': -0.94844186, ' No': -0.9716581, '\n': -1.8028024, 'No': -3.1994777, 'Yes': -4.0565233}
{' No': -3.4026592, '\n': -3.5859761, 'No': -5.7017255, ' Yes': -0.11033909, 'Yes': -3.2588105}
{' No': -1.6252328, '\n': -3.4431095, 'No': -4.29315, ' Yes': -0.31143972, 'Yes': -3.7484798}
{' No': -2.4487703, '\n': -3.5225348, 'No': -5.233049, ' Yes': -0.15071253, 'Yes': -4.100766}
{' No': -1.2465202, '\n': -3.1749125, 'No': -3.736777, ' Yes': -0.4842978, 'Yes': -3.526633}
{' No': -0.3012033, ' Yes': -1.6671737, '\n': -3.3598332, 'No': -3.5251853, 'Yes': -5.4940267}
{' Yes': -0.34946138, ' No': -1.3953655, '\n': -4.0822873, 'Yes': -4.113024, 'No': -4.4266114}
{' Yes': -0.65491366, ' No': -0.96349597, '\n': -2.766837, 'No': -3.915909, 'Yes': -4.3819547}
{' Yes': -0.5132744, ' No': -1.5079663, '\n': -1.8920909, 'Yes': -4.337114, 'No': -4.5128393}
{' Yes': -0.10953827, '\n': -2.6266453, 'Yes': -3.6682386, ' No': -5.4998236, ' ': -7.153455}
{' No': -0.68361175, '\n': -2.1708288, 'No': -3.4372776, ' Yes': -1.1309764, 'Yes': -4.3875647}
{' No': -0.2562491, '\n': -2.988999, 'No': -3.1673417, ' Yes': -2.1102853, 'Yes': -5.5372663}
{' No': -9.820564, '\n': -8.3017845, ' Yes': -0.012306553, ' yes': -8.879038, 'Yes': -4.4471517}
{' No': -8.954185, '\n': -8.256049, ' Yes': -0.0126376515, ' yes': -8.515182, 'Yes': -4.431207}
{' No': -9.579918, '\n': -7.996702, ' Yes': -0.011659768, ' yes': -8.564252, 'Yes': -4.5282574}
{' Yes': -0.032605365, ' No': -4.01612, 'Yes': -4.364051, '\n': -7.7812085, 'No': -7.7922144}
{' No': -8.638233, '\n': -9.320949, ' Yes': -0.0091810385, ' yes': -8.748593, 'Yes': -4.7496495}
{' No': -0.026380757, '\n': -6.4227867, ' ': -8.660988, 'No': -4.117489, ' Yes': -4.855953}
{' No': -0.065167025, ' Yes': -3.531323, 'No': -3.6067398, '\n': -5.163298, 'Yes': -7.4802227}
{' No': -0.07347142, '\n': -4.985941, 'No': -3.710686, ' Yes': -3.2595196, 'Yes': -7.5028453}
{' No': -0.50462735, '\n': -4.21772, 'No': -4.178459, ' Yes': -1.0234433, 'Yes': -5.1151905}
{' No': -2.2057064, '\n': -6.382767, 'No': -6.088968, ' Yes': -0.13385649, 'Yes': -4.5478578}
{' No': -0.14356238, '\n': -4.7789135, 'No': -4.005453, ' Yes': -2.2567616, 'Yes': -6.2592506}
{' No': -0.42460805, ' Yes': -1.1189193, 'No': -4.4785743, 'Yes': -5.5760894, '\n': -5.685695}
{' No': -0.040658817, '\n': -6.0143256, ' ': -8.274088, 'No': -4.0145545, ' Yes': -3.9829745}
{' No': -0.50143623, ' Yes': -1.0260525, 'No': -4.4129157, ' Sur': -4.5151305, '\n': -4.9871063}
{' No': -0.07172136, ' Yes': -3.122325, 'No': -3.8634408, '\n': -5.883063, 'Yes': -6.9501314}
{' Yes': -0.038669348, 'Yes': -3.972631, '\n': -4.08428, ' No': -6.7466354, ' ': -7.6172314}
{' No': -3.8157055, '\n': -3.4668398, 'No': -7.072402, ' Yes': -0.07408467, 'Yes': -4.147062}
{' No': -3.5750616, '\n': -3.136331, 'No': -6.2768106, ' Yes': -0.103504024, 'Yes': -3.806724}
{' No': -7.1546035, '\n': -2.6708758, ' ': -6.99708, ' Yes': -0.11730613, 'Yes': -3.2540991}
{' No': -1.9637055, '\n': -1.894221, 'No': -4.544413, ' Yes': -0.4142022, 'Yes': -3.625548}
{' No': -0.23604918, '\n': -4.1083064, 'No': -3.785524, ' Yes': -1.790401, 'Yes': -5.6105475}
{' No': -0.04763622, 'No': -3.6931498, ' Yes': -4.0439014, '\n': -5.645235, 'Yes': -8.075783}
{' No': -0.11905101, '\n': -3.3311958, ' ': -6.8528647, 'No': -3.619476, ' Yes': -3.0459766}
{' No': -1.1290258, '\n': -2.6216576, 'No': -4.505237, ' Yes': -0.5585168, 'Yes': -4.1034956}
{' No': -0.031168481, '\n': -5.1063023, ' ': -8.473966, 'No': -3.7618778, ' Yes': -6.8974676}
{' No': -0.09659647, '\n': -5.2078137, 'No': -4.068129, ' Yes': -2.6896217, 'Yes': -6.665982}
{' Yes': -0.09530605, ' No': -2.8256316, 'Yes': -3.967094, '\n': -4.5570903, 'No': -6.322259}
{' No': -6.2537184, '\n': -6.491269, ' Yes': -0.015090777, ' yes': -8.477595, 'Yes': -4.492943}
{' No': -0.5988874, '\n': -4.5945992, 'No': -4.925534, ' Yes': -0.845931, 'Yes': -5.7999425}
{' No': -4.0212746, '\n': -3.3779054, ' Yes': -0.106411636, ' Sur': -3.4181485, 'Yes': -4.269091}
{' No': -0.021778429, '\n': -5.9597564, ' ': -9.080058, 'No': -4.060915, ' Yes': -6.5479865}
{' No': -0.23542994, '\n': -5.348959, 'No': -4.5324135, ' Yes': -1.6589376, 'Yes': -5.8286643}
{' No': -0.030271549, '\n': -5.7447357, ' ': -8.698818, 'No': -3.7040327, ' Yes': -6.346279}
{' No': -0.09953411, ' Yes': -2.8305311, 'No': -3.4536846, '\n': -6.00841, 'Yes': -6.5601816}
{' No': -0.022508599, 'No': -3.8704906, '\n': -7.025238, ' Yes': -7.9459853, ' ': -9.02084}
{' No': -0.028044026, '\n': -5.423229, ' ': -8.806929, 'No': -3.791626, ' Yes': -7.7406387}
{' No': -0.030791983, 'No': -3.610664, '\n': -6.143747, ' Yes': -7.0668936, ' ': -8.710605}
{' No': -0.29584602, '\n': -5.6272206, 'No': -3.8290145, ' Yes': -1.494235, 'Yes': -5.1197863}
{' Yes': -0.13037196, ' No': -2.3680964, 'Yes': -4.148688, '\n': -4.6384172, 'No': -5.9456697}
{' No': -5.281768, '\n': -6.190285, ' Yes': -0.017344626, ' yes': -8.142276, 'Yes': -4.6561937}
{' No': -0.111390986, '\n': -4.206234, ' ': -7.2959547, 'No': -4.3619366, ' Yes': -2.5776157}
{' No': -0.54434454, '\n': -3.0914671, 'No': -4.6790624, ' Yes': -1.1322752, ' Sur': -3.3329208}
{' No': -0.014964317, '\n': -5.998669, ' ': -8.907324, 'No': -4.4554853, ' Yes': -7.6406426}
{' No': -2.7310793, '\n': -5.3484006, 'No': -6.9160395, ' Yes': -0.08810106, 'Yes': -4.3826127}
{' No': -3.2772846, '\n': -3.9088671, 'No': -5.8711414, ' Yes': -0.099689774, 'Yes': -3.3991778}
{' Yes': -0.117509566, ' No': -3.2713525, '\n': -3.2979178, 'Yes': -3.4458404, 'No': -5.9726024}
{' No': -1.1748741, '\n': -2.2752063, 'No': -3.6731002, ' Yes': -0.62008345, 'Yes': -3.800959}
{' Yes': -0.11402575, '\n': -3.072024, 'Yes': -3.139786, ' No': -4.150101, 'No': -6.7390904}
{' No': -0.15021107, '\n': -3.0613458, ' ': -6.7864847, 'No': -2.4704187, ' Yes': -5.160379}
{' No': -0.9132353, '\n': -3.1013436, 'No': -3.5679154, ' Yes': -0.68824446, 'Yes': -3.8689005}
{' No': -7.2258244, '\n': -4.25519, ' ': -7.391174, ' Yes': -0.046146356, 'Yes': -3.538843}
{' No': -5.7856903, '\n': -4.292937, ' ': -7.823492, ' Yes': -0.056986365, 'Yes': -3.2872794}
{' Yes': -0.10630604, '\n': -2.9969654, 'Yes': -3.4597986, ' No': -4.2000256, ' ': -6.290474}
{' Yes': -0.09321455, 'Yes': -3.1159596, '\n': -3.159426, ' ': -6.7961373, ' yes': -7.80637}
{' No': -0.5279796, '\n': -1.6681849, 'No': -2.5507953, ' Yes': -2.1706378, ' Unfortunately': -4.3121195}
{' No': -3.395953, '\n': -3.411242, 'No': -5.604836, ' Yes': -0.11854832, 'Yes': -3.2362428}
{' Yes': -0.118427865, ' No': -2.8696043, 'Yes': -3.600327, '\n': -3.8186288, 'No': -5.4564157}
{' No': -2.895171, '\n': -3.6074817, 'No': -5.535537, ' Yes': -0.11262597, 'Yes': -4.0224175}
{' No': -0.5493953, ' Yes': -1.2077129, '\n': -2.5864246, 'No': -3.3241715, 'Yes': -4.530194}
{' No': -0.15052073, ' Yes': -2.5054193, 'No': -3.4298098, '\n': -3.8305514, 'Yes': -6.3593316}
{' No': -2.1859112, '\n': -4.2200584, 'No': -5.124605, ' Yes': -0.1692753, 'Yes': -3.8869631}
{' Yes': -0.112561874, ' No': -2.8306518, '\n': -3.7008076, 'Yes': -4.0209765, 'No': -5.8047}
{' Yes': -0.31350648, ' No': -1.9224617, '\n': -2.2820427, 'Yes': -4.4751067, 'No': -5.14706}
{'\n': -2.6990287, ' ': -6.9492555, ' Yes': -0.09528827, ' yes': -8.125029, 'Yes': -3.8289878}
{' No': -0.41858053, '\n': -1.8576006, 'No': -3.5532966, ' Yes': -1.9427868, 'Yes': -5.5327945}
{' No': -0.78765774, '\n': -1.9929857, 'No': -3.8249462, ' Yes': -0.9968787, 'Yes': -4.655349}
{'\n': -8.042828, ' ': -9.837232, ' Yes': -0.011731893, ' yes': -8.697202, 'Yes': -4.507131}
{' Yes': -0.01328827, 'Yes': -4.4102664, '\n': -7.7593417, ' yes': -8.007019, ' No': -8.736962}
{' Yes': -0.016118912, 'Yes': -4.518415, ' Sur': -5.6451793, '\n': -7.186588, ' yes': -8.074001}
{' Yes': -0.13416384, ' No': -2.2463675, 'Yes': -4.456816, ' Band': -5.7761827, 'No': -6.1530576}
{' Yes': -0.007799603, 'Yes': -4.9597573, ' yes': -8.368786, ' No': -8.459786, '\n': -8.782313}
{' No': -0.06786428, ' Yes': -3.2594743, 'No': -3.9584377, '\n': -4.95645, 'Yes': -7.4862714}
