{' B': -0.23135017, ' A': -1.5809976, ' "': -7.9659996, ' (': -9.101056, ' b': -9.176633}
{' B': -0.21670333, ' A': -1.6398239, ' "': -7.976423, ' (': -8.622899, " '": -9.426567}
{' b': -9.4276285, ' A': -2.7516584, ' B': -0.06667032, ' (': -8.917281, ' "': -8.214658}
{' A': -1.852391, ' B': -0.17155337, ' (': -8.570994, ' "': -8.05954, " '": -9.563583}
{' A': -1.5320425, ' B': -0.2446433, ' (': -8.389081, ' "': -7.8622074, " '": -9.273515}
{' A': -1.7230464, ' B': -0.19757372, ' (': -8.739392, ' "': -8.054913, " '": -9.531323}
{' b': -9.482952, ' A': -1.5706968, ' B': -0.23410326, ' (': -8.593618, ' "': -8.026017}
{' A': -1.2910087, ' B': -0.32275856, ' (': -8.541685, ' "': -7.964826, " '": -9.418721}
{' B': -0.100125745, ' A': -2.357965, ' "': -8.174493, ' (': -9.090994, ' b': -9.308759}
{' A': -0.53260094, ' B': -0.8870474, ' "': -7.725807, ' (': -8.2452, " '": -9.197548}
{' A': -0.59012884, ' B': -0.81006515, ' (': -8.345443, ' "': -7.9087644, " '": -9.460351}
{' A': -0.2895279, ' B': -1.3850746, ' (': -8.074165, ' "': -7.7536645, " '": -9.1393385}
{' B': -0.5124881, ' A': -0.9163788, ' "': -7.772967, ' (': -8.222876, " '": -9.178079}
{' A': -0.4053902, ' B': -1.1018109, ' (': -8.166741, ' "': -7.792449, " '": -9.30681}
{' A': -0.15506671, ' B': -1.9479994, ' (': -7.953102, ' "': -7.7632174, " '": -9.2515135}
{' A': -0.11894292, ' B': -2.1962342, ' "': -7.944241, ' (': -8.173703, 'A': -9.255198}
{' A': -0.14192685, 'A': -9.296706, ' B': -2.0295877, ' (': -8.194073, ' "': -7.9317536}
{' A': -0.088816956, 'A': -9.204545, ' B': -2.4759037, ' (': -8.218714, ' "': -7.957345}
{' A': -0.8595675, ' B': -0.5521239, ' (': -8.372083, ' "': -7.867563, " '": -9.333268}
{' A': -0.032246485, 'A': -9.289363, ' B': -3.4794087, ' (': -8.154697, ' "': -7.922039}
{' A': -0.05177156, ' B': -3.0025046, ' "': -8.119536, ' (': -8.361853, 'A': -9.212543}
{' A': -0.040624116, 'A': -9.214971, ' B': -3.2450955, ' (': -8.208173, ' "': -8.086869}
{' A': -0.052941006, 'A': -9.199368, ' B': -2.9812741, ' (': -8.282101, ' "': -8.072828}
{' A': -0.024194546, 'A': -9.246937, ' B': -3.7656322, ' (': -8.312116, ' "': -8.226513}
{' A': -0.030891748, 'A': -9.220114, ' B': -3.5212367, ' (': -8.186854, ' "': -8.037157}
{' A': -0.03397984, 'A': -9.221727, ' B': -3.4223957, ' (': -8.324583, ' "': -8.1677885}
{' A': -0.07474518, 'A': -9.151007, ' B': -2.6432476, ' (': -8.205975, ' "': -8.000542}
{' A': -0.026322499, 'A': -9.200798, ' B': -3.6812184, ' (': -8.237812, ' "': -8.165876}
{' A': -0.062529586, 'A': -9.229837, ' B': -2.8177729, ' (': -8.3562765, ' "': -7.8840303}
{' A': -0.0048591727, 'A': -9.185489, ' B': -5.518033, ' (': -8.114516, ' "': -8.140688}
{' b': -9.521456, ' A': -3.5058966, ' B': -0.031115785, ' "': -8.169628, " '": -9.413284}
{' A': -2.332909, ' B': -0.102884874, ' (': -9.24231, ' "': -7.9415984, " '": -9.187958}
{' A': -2.7657838, ' B': -0.06572194, ' (': -9.3544035, ' "': -8.072551, " '": -9.313468}
{' A': -2.2807043, ' B': -0.1087016, ' (': -9.082249, ' "': -7.921687, " '": -9.128712}
{' b': -9.352065, ' A': -2.738607, ' B': -0.06759997, ' "': -8.002055, " '": -9.365142}
{' A': -2.4735243, ' B': -0.08886548, ' (': -9.219743, ' "': -7.9717546, " '": -9.294655}
{' A': -2.1189277, ' B': -0.12880017, ' (': -9.305347, ' "': -8.086177, " '": -9.361397}
{' A': -1.902637, ' B': -0.16254759, ' (': -9.027407, ' "': -7.8265347, " '": -9.045996}
{' A': -2.3116844, ' B': -0.105204426, ' (': -9.172192, ' "': -7.9697967, " '": -9.136131}
{' A': -1.8980716, ' B': -0.16334769, ' (': -8.94662, ' "': -7.857856, " '": -9.047819}
{' A': -2.2392473, ' B': -0.11362193, ' (': -8.935668, ' "': -7.8478603, " '": -9.034967}
{' A': -2.162366, ' B': -0.12307463, ' (': -9.2116, ' "': -7.975543, " '": -9.144884}
{' B': -0.22038384, ' A': -1.6248161, ' "': -7.870019, ' (': -9.040267, " '": -9.123511}
{' A': -1.8141055, ' B': -0.17892806, ' (': -9.048576, ' "': -7.8551364, " '": -9.008392}
{' b': -9.456591, ' A': -3.0625947, ' B': -0.04855667, ' "': -8.170596, " '": -9.365955}
{' A': -0.9192875, ' B': -0.5106591, ' (': -8.548031, ' "': -7.672607, " '": -8.836721}
{' A': -0.93708086, ' B': -0.49874732, ' (': -8.796296, ' "': -7.764808, " '": -8.972249}
{' A': -0.5351403, ' B': -0.88357675, ' "': -7.6159124, ' (': -8.464453, " '": -8.809188}
{' A': -1.4472618, ' B': -0.26943603, ' (': -8.739485, ' "': -7.70537, " '": -8.909387}
{' B': -0.6345092, ' A': -0.75786126, ' "': -7.571178, ' (': -8.478862, " '": -8.735611}
{' A': -0.2914682, ' B': -1.3801409, ' "': -7.45581, ' (': -8.222571, " '": -8.602093}
{' A': -0.3167938, ' B': -1.3078445, ' (': -8.439803, ' "': -7.6022444, " '": -8.771319}
{' A': -0.32982212, ' B': -1.2733397, ' (': -8.52475, ' "': -7.662981, " '": -8.845661}
{' A': -0.20134039, ' B': -1.7077013, ' (': -8.483965, ' "': -7.653734, " '": -8.761474}
{' B': -0.4332523, ' A': -1.0480747, ' "': -7.6981673, ' (': -8.72733, " '": -8.908003}
{' A': -0.054919764, ' B': -2.9482398, ' (': -8.413869, ' "': -7.713469, " '": -8.926995}
{' A': -0.13608177, ' B': -2.0693874, ' (': -8.59485, ' "': -7.7714577, " '": -8.949198}
{' A': -0.097590044, ' B': -2.3866982, ' (': -8.451895, ' "': -7.688715, " '": -8.822233}
{' A': -0.13257685, ' B': -2.0945425, ' (': -8.540079, ' "': -7.685896, " '": -8.8451805}
{' A': -0.060574535, ' B': -2.8500986, ' (': -8.543382, ' "': -7.814277, " '": -8.968828}
{' A': -0.06378321, ' B': -2.8008893, ' (': -8.448475, ' "': -7.70461, " '": -8.802833}
{' A': -0.08010385, ' B': -2.5769317, ' (': -8.548986, ' "': -7.7547693, " '": -8.910401}
{' A': -0.08203565, ' B': -2.5536942, ' (': -8.572871, ' "': -7.7755985, " '": -8.942283}
{' A': -0.07300038, ' B': -2.6675782, ' (': -8.484178, ' "': -7.777259, " '": -8.9232235}
{' A': -0.08375253, ' B': -2.5334785, ' "': -7.7419763, ' (': -8.655364, " '": -8.900467}
{' A': -0.015917223, ' B': -4.203202, ' (': -8.592615, ' "': -7.962723, " '": -9.03556}
{' b': -9.53748, ' A': -3.2836785, ' B': -0.038719717, ' (': -9.568099, ' "': -8.493616}
{' A': -1.9471477, ' B': -0.15458915, ' (': -9.324863, ' "': -8.340857, " '": -9.679636}
{' B': -0.0689661, ' A': -2.7164192, ' "': -8.461733, ' (': -9.296835, ' b': -9.388329}
{' b': -9.531074, ' A': -1.9416604, ' B': -0.15560015, ' (': -8.937088, ' "': -8.270932}
{' b': -9.389869, ' A': -2.2232642, ' B': -0.11518038, ' (': -9.436546, ' "': -8.418667}
{' b': -9.400254, ' A': -1.9940947, ' B': -0.14710234, ' (': -9.087205, ' "': -8.182823}
{' B': -0.16957368, ' A': -1.8612812, ' "': -8.536972, ' (': -9.258601, ' b': -9.777585}
{' A': -1.7140801, ' B': -0.19939147, ' (': -9.00426, ' "': -8.2396965, " '": -9.559275}
{' b': -9.493372, ' A': -2.3192492, ' B': -0.10414399, ' (': -9.115718, ' "': -8.436296}
{' B': -0.16970405, ' A': -1.8612493, ' "': -8.33367, ' (': -8.951928, ' b': -9.617379}
{' A': -1.8345947, ' B': -0.17485246, ' (': -8.725454, ' "': -8.117727, " '": -9.33295}
{' B': -0.21535319, ' A': -1.6442854, ' "': -8.3008995, ' (': -9.153787, " '": -9.619015}
{' B': -0.28723842, ' A': -1.3902181, ' "': -8.262159, ' (': -8.918423, " '": -9.568455}
{' b': -9.523185, ' A': -1.6078825, ' B': -0.224351, ' (': -8.938839, ' "': -8.257722}
{' b': -9.528357, ' A': -2.9378126, ' B': -0.054880157, ' (': -9.8311205, ' "': -8.706744}
{' A': -0.6285725, ' B': -0.764082, ' (': -8.444977, ' "': -7.933376, " '": -9.234152}
{' A': -0.7788804, ' B': -0.61557704, ' (': -8.577434, ' "': -8.15113, " '": -9.49291}
{' A': -0.42066932, ' B': -1.0713212, ' "': -8.040275, ' (': -8.3696, " '": -9.407886}
{' A': -0.9713734, ' B': -0.47699624, ' (': -8.542581, ' "': -8.069809, " '": -9.463908}
{' A': -0.7157544, ' B': -0.6725797, ' (': -8.591647, ' "': -8.034879, " '": -9.370212}
{' A': -0.11834601, ' B': -2.2012107, ' (': -8.027616, ' "': -7.995399, " '": -9.247066}
{' A': -0.18696013, 'A': -9.456036, ' B': -1.7733897, ' (': -8.42154, ' "': -8.157783}
{' A': -0.21379918, ' B': -1.6517265, ' "': -8.157024, ' (': -8.422015, 'A': -9.485461}
{' A': -0.18435863, ' B': -1.7863806, ' (': -8.48313, ' "': -8.077553, " '": -9.30816}
{' B': -0.61403483, ' A': -0.7807925, ' "': -8.044029, ' (': -8.581184, " '": -9.3618555}
{' A': -0.02982016, ' B': -3.5513728, ' (': -8.380695, ' "': -8.294751, " '": -9.505632}
{' A': -0.06796277, ' B': -2.7322273, ' "': -8.366799, ' (': -8.672867, 'A': -9.391726}
{' A': -0.045617867, 'A': -9.384314, ' B': -3.1257832, ' (': -8.471394, ' "': -8.305167}
{' A': -0.07333012, 'A': -9.37789, ' B': -2.6589622, ' (': -8.535192, ' "': -8.295858}
{' A': -0.037035257, 'A': -9.408632, ' B': -3.3319666, ' (': -8.551725, ' "': -8.401857}
{' A': -0.02754744, ' B': -3.6308188, ' "': -8.366279, ' (': -8.407981, 'A': -9.422067}
{' A': -0.05020347, 'A': -9.343791, ' B': -3.0311966, ' (': -8.432108, ' "': -8.3004}
{' A': -0.038639236, 'A': -9.344112, ' B': -3.2907279, ' (': -8.423516, ' "': -8.382614}
{' A': -0.026853194, 'A': -9.344106, ' B': -3.6557667, ' (': -8.393461, ' "': -8.44718}
{' A': -0.04756464, ' B': -3.0854445, ' "': -8.188857, ' (': -8.407341, 'A': -9.369283}
{' A': -0.0055839885, 'A': -9.385513, ' B': -5.3218107, ' (': -8.288123, ' "': -8.416823}
{' b': -9.297828, ' A': -3.0922394, ' B': -0.046945512, ' (': -9.800659, ' "': -8.491765}
{' b': -9.412631, ' A': -2.0051382, ' B': -0.14523084, ' (': -9.50878, ' "': -8.293957}
{' B': -0.079341374, ' A': -2.579908, ' "': -8.43107, ' b': -9.259797, ' (': -9.659376}
{' b': -9.362527, ' A': -1.9799663, ' B': -0.1492569, ' (': -9.326434, ' "': -8.244332}
{' b': -9.2912035, ' A': -2.2991135, ' B': -0.10630928, ' (': -9.700838, ' "': -8.371738}
{' b': -9.321659, ' A': -1.6806083, ' B': -0.2068838, ' (': -9.333305, ' "': -8.107494}
{' B': -0.16885313, ' A': -1.865205, ' "': -8.4321785, ' b': -9.440382, ' (': -9.46578}
{' B': -0.15241577, ' A': -1.9605842, ' "': -8.20178, ' (': -9.328818, ' b': -9.4383545}
{' b': -9.344278, ' A': -2.3815706, ' B': -0.09752085, ' (': -9.46856, ' "': -8.417122}
{' b': -9.419602, ' A': -1.7190981, ' B': -0.19825463, ' (': -9.17225, ' "': -8.189409}
{' b': -9.417402, ' A': -1.4445264, ' B': -0.26992768, ' (': -8.974638, ' "': -8.020163}
{' b': -9.377525, ' A': -1.5075018, ' B': -0.25116184, ' (': -9.181666, ' "': -8.140861}
{' b': -9.404604, ' A': -1.274291, ' B': -0.32889464, ' (': -9.109354, ' "': -8.143616}
{' b': -9.310225, ' A': -1.5905365, ' B': -0.22872777, ' (': -9.219941, ' "': -8.157713}
{' b': -9.155177, ' A': -3.1936588, ' B': -0.042341437, ' (': -10.071796, ' "': -8.601083}
{' A': -0.6029349, ' B': -0.7940836, ' "': -7.872708, ' (': -8.7960005, " '": -9.618287}
{' b': -9.795846, ' A': -0.69473046, ' B': -0.69293374, ' (': -8.929046, ' "': -8.08093}
{' A': -0.2678633, 'A': -9.644574, ' B': -1.451581, ' (': -8.578586, ' "': -7.958014}
{' b': -9.684321, ' A': -0.71921164, ' B': -0.669262, ' (': -8.757483, ' "': -7.9427557}
{' B': -0.66690016, ' A': -0.721788, ' "': -7.8930163, ' (': -8.644804, " '": -9.499393}
{' A': -0.17389138, ' B': -1.8405442, ' (': -8.338701, ' "': -7.8338647, " '": -9.453417}
{' A': -0.14436276, 'A': -9.612556, ' B': -2.0119014, ' (': -8.651292, ' "': -8.116269}
{' A': -0.29072115, ' B': -1.3801569, ' (': -8.727375, ' "': -7.9991136, " '": -9.7117}
{' A': -0.15036783, ' B': -1.9743329, ' (': -8.610969, ' "': -8.0038395, " '": -9.579751}
{' A': -0.8256362, ' B': -0.5774557, ' (': -8.944125, ' "': -7.980569, " '": -9.69916}
{' A': -0.029053645, ' B': -3.5756881, ' "': -8.130747, ' (': -8.717436, 'A': -9.669452}
{' A': -0.062113877, 'A': -9.534594, ' B': -2.8190434, ' (': -8.865794, ' "': -8.375792}
{' A': -0.043913607, 'A': -9.571395, ' B': -3.1623428, ' (': -8.666944, ' "': -8.227554}
{' A': -0.056618188, 'A': -9.549528, ' B': -2.910765, ' (': -8.7501545, ' "': -8.27112}
{' A': -0.035255264, ' B': -3.3801572, ' "': -8.313502, ' (': -8.686137, 'A': -9.590533}
{' A': -0.033263676, ' B': -3.4397347, ' "': -8.183935, ' (': -8.660034, 'A': -9.601416}
{' A': -0.057644013, 'A': -9.556797, ' B': -2.8936636, ' (': -8.74048, ' "': -8.190203}
{' A': -0.04054832, 'A': -9.560171, ' B': -3.2405567, ' (': -8.762583, ' "': -8.282666}
{' A': -0.043244433, ' B': -3.1769438, ' "': -8.295192, ' (': -8.687022, 'A': -9.531925}
{' A': -0.05717095, 'A': -9.59258, ' B': -2.9020233, ' (': -8.732113, ' "': -8.120977}
{' A': -0.0074743093, 'A': -9.631463, ' B': -4.9816165, ' (': -8.643927, ' "': -8.325711}
{' b': -9.478915, ' A': -2.9842553, ' B': -0.052513745, ' (': -9.404996, ' "': -8.170447}
{' b': -9.616953, ' A': -1.9646945, ' B': -0.15176937, ' (': -9.240312, ' "': -8.107216}
{' b': -9.48314, ' A': -2.4690974, ' B': -0.08910016, ' (': -9.337412, ' "': -8.180243}
{' b': -9.633497, ' A': -1.7586519, ' B': -0.18992244, ' (': -8.950555, ' "': -7.9891663}
{' B': -0.111993626, ' A': -2.2504632, ' "': -8.120444, ' b': -9.375595, ' (': -9.456235}
{' A': -1.733663, ' B': -0.19520716, ' (': -9.148994, ' "': -7.9529915, " '": -9.495073}
{' b': -9.673305, ' A': -1.7421669, ' B': -0.19326845, ' (': -9.117218, ' "': -8.199937}
{' B': -0.21277103, ' A': -1.65593, ' "': -7.8962927, ' (': -9.0157995, " '": -9.451388}
{' b': -9.479057, ' A': -2.3279102, ' B': -0.103264615, ' (': -9.219597, ' "': -8.149473}
{' A': -1.5069382, ' B': -0.25141838, ' (': -8.884812, ' "': -7.9933243, " '": -9.636248}
{' A': -1.2774049, ' B': -0.32811928, ' (': -8.505954, ' "': -7.701765, " '": -9.262641}
{' A': -1.5102149, ' B': -0.25043976, ' (': -9.131255, ' "': -8.022326, " '": -9.609162}
{' A': -1.1038307, ' B': -0.40409303, ' (': -8.7492895, ' "': -7.846927, " '": -9.487167}
{' A': -1.3236574, ' B': -0.3104758, ' (': -8.970942, ' "': -7.9570656, " '": -9.516924}
{' b': -9.362876, ' A': -2.844686, ' B': -0.060451306, ' (': -9.7327585, ' "': -8.350391}
{' A': -0.49695712, ' B': -0.93991786, ' (': -8.534514, ' "': -7.652528, " '": -9.30247}
{' A': -0.6051309, ' B': -0.79146546, ' (': -8.698522, ' "': -7.8382277, " '": -9.524359}
{' A': -0.20954333, ' B': -1.6704446, ' (': -8.427339, ' "': -7.8208675, " '": -9.451826}
{' A': -0.7330723, ' B': -0.65654767, ' (': -8.505553, ' "': -7.709205, " '": -9.402947}
{' A': -0.47647345, ' B': -0.9726016, ' (': -8.455589, ' "': -7.725573, " '": -9.32705}
{' A': -0.09409055, ' B': -2.4213533, ' (': -8.154972, ' "': -7.707085, " '": -9.221559}
{' A': -0.09927821, 'A': -9.577709, ' B': -2.3670316, ' (': -8.6055, ' "': -7.982813}
{' A': -0.16953908, ' B': -1.8636001, ' (': -8.526574, ' "': -7.8430243, " '": -9.512228}
{' A': -0.085976236, ' B': -2.5062623, ' (': -8.447954, ' "': -7.9465265, " '": -9.435262}
{' A': -0.5785574, ' B': -0.8245712, ' "': -7.7598143, ' (': -8.623618, " '": -9.375856}
{' A': -0.013997947, ' B': -4.3292923, ' (': -8.454234, ' "': -8.056162, " '": -9.536099}
{' A': -0.03680778, 'A': -9.593726, ' B': -3.337354, ' (': -8.755747, ' "': -8.238729}
{' A': -0.02471476, ' B': -3.7402277, ' "': -8.189329, ' (': -8.579782, 'A': -9.571256}
{' A': -0.034443296, 'A': -9.563621, ' B': -3.4050333, ' (': -8.6922035, ' "': -8.157584}
{' A': -0.014354874, 'A': -9.587917, ' B': -4.2936325, ' (': -8.686296, ' "': -8.301834}
{' A': -0.014919727, 'A': -9.606257, ' B': -4.262491, ' (': -8.460737, ' "': -8.077442}
{' A': -0.028338062, 'A': -9.557108, ' B': -3.6017478, ' (': -8.61953, ' "': -8.167106}
{' A': -0.025646353, ' B': -3.7023032, ' "': -8.193307, ' (': -8.612533, 'A': -9.563248}
{' A': -0.020992668, ' B': -3.906815, ' "': -8.190835, ' (': -8.495659, 'A': -9.577169}
{' A': -0.0269233, 'A': -9.6054325, ' B': -3.6549938, ' (': -8.580976, ' "': -8.061268}
{' A': -0.002562187, 'A': -9.602148, ' B': -6.275061, ' (': -8.422526, ' "': -8.211675}
{' b': -9.3165, ' A': -2.775513, ' B': -0.064914875, ' (': -9.560714, ' "': -8.3685255}
{' b': -9.471337, ' A': -1.6164556, ' B': -0.22221413, ' (': -9.197961, ' "': -8.125497}
{' b': -9.279167, ' A': -2.3450775, ' B': -0.10142137, ' (': -9.337346, ' "': -8.217809}
{' b': -9.424383, ' A': -1.689571, ' B': -0.20491213, ' (': -9.076138, ' "': -8.110391}
{' b': -9.181158, ' A': -1.9267201, ' B': -0.15815403, ' (': -9.439068, ' "': -8.095964}
{' b': -9.273632, ' A': -1.3895388, ' B': -0.28768238, ' (': -9.049339, ' "': -7.846214}
{' b': -9.44106, ' A': -1.5232964, ' B': -0.24667928, ' (': -9.174433, ' "': -8.270777}
{' A': -1.4098243, ' B': -0.2809199, ' (': -9.059312, ' "': -8.029367, " '": -9.392635}
{' b': -9.3223915, ' A': -2.1456456, ' B': -0.12511112, ' (': -9.297079, ' "': -8.258016}
{' B': -0.29825246, ' A': -1.3580496, ' "': -8.061044, ' (': -8.944351, " '": -9.46587}
{' A': -1.114817, ' B': -0.39872575, ' (': -8.716497, ' "': -7.884939, " '": -9.214256}
{' B': -0.352922, ' A': -1.2151828, ' "': -8.071162, ' (': -9.054677, " '": -9.4459}
{' A': -0.8733184, ' B': -0.54185754, ' (': -8.823186, ' "': -8.039858, " '": -9.424051}
{' A': -1.0589869, ' B': -0.42705175, ' (': -8.933951, ' "': -8.010909, " '": -9.390932}
{' b': -9.190001, ' A': -2.612209, ' B': -0.07677421, ' "': -8.405279, " '": -9.764521}
{' A': -0.5078339, ' B': -0.92293394, ' (': -8.704016, ' "': -7.875626, " '": -9.325762}
{' A': -0.45881546, ' B': -1.0017709, ' (': -8.796204, ' "': -8.069549, " '": -9.515695}
{' A': -0.21095638, ' B': -1.6640548, ' (': -8.535047, ' "': -7.980477, " '": -9.361936}
{' A': -0.6095648, ' B': -0.7862083, ' (': -8.657598, ' "': -7.901364, " '": -9.349195}
{' A': -0.31371847, ' B': -1.3152671, ' (': -8.524041, ' "': -7.8796, " '": -9.25841}
{' A': -0.11911775, ' B': -2.1947496, ' "': -7.877335, ' (': -8.296264, " '": -9.181872}
{' A': -0.10996165, ' B': -2.2693322, ' (': -8.588098, ' "': -8.066375, " '": -9.458861}
{' A': -0.19006386, ' B': -1.7584842, ' "': -7.9903193, ' (': -8.613571, " '": -9.413989}
{' A': -0.10655319, ' B': -2.2997293, ' "': -8.031676, ' (': -8.552456, " '": -9.314601}
{' A': -0.5115818, ' B': -0.9171126, ' (': -8.788419, ' "': -7.9903374, " '": -9.338441}
{' A': -0.022569684, ' B': -3.8327081, ' (': -8.633385, ' "': -8.1764555, " '": -9.552951}
{' A': -0.037604474, ' B': -3.3143454, ' "': -8.457788, ' (': -8.925111, 'A': -9.458335}
{' A': -0.029563382, 'A': -9.485599, ' B': -3.5584383, ' (': -8.638297, ' "': -8.286692}
{' A': -0.056352798, 'A': -9.48692, ' B': -2.9165745, ' (': -8.691711, ' "': -8.195986}
{' A': -0.018606097, 'A': -9.524867, ' B': -4.0259, ' (': -8.725681, ' "': -8.3965225}
{' A': -0.020856695, 'A': -9.520813, ' B': -3.9116802, ' (': -8.64529, ' "': -8.294263}
{' A': -0.030499132, 'A': -9.509206, ' B': -3.5263028, ' (': -8.691954, ' "': -8.310626}
{' A': -0.042152856, 'A': -9.44898, ' B': -3.2035565, ' (': -8.672514, ' "': -8.25101}
{' A': -0.0250935, 'A': -9.455655, ' B': -3.7227824, ' (': -8.6313715, ' "': -8.375216}
{' A': -0.017801343, 'A': -9.514513, ' B': -4.0726924, ' (': -8.713142, ' "': -8.302555}
{' A': -0.0032001268, ' B': -5.959777, ' "': -8.371804, ' (': -8.560547, 'A': -9.507582}
{' b': -9.680644, ' A': -2.527736, ' B': -0.08367839, ' "': -8.604943, " '": -9.774239}
{' A': -1.6039767, ' B': -0.22515452, ' (': -9.53348, ' "': -8.413156, " '": -9.624838}
{' b': -9.703098, ' A': -2.341557, ' B': -0.10161817, ' "': -8.5845995, " '": -9.719821}
{' A': -1.4564128, ' B': -0.26610127, ' (': -9.279631, ' "': -8.33568, " '": -9.496442}
{' B': -0.15786746, ' A': -1.9272366, ' "': -8.441262, ' b': -9.577357, " '": -9.796307}
{' A': -1.7383336, ' B': -0.19399734, ' (': -9.470798, ' "': -8.393569, " '": -9.588301}
{' A': -1.3046943, ' B': -0.31710926, ' (': -9.48029, ' "': -8.507426, " '": -9.740103}
{' B': -0.3028391, ' A': -1.3443927, ' "': -8.275036, ' (': -9.360249, " '": -9.385087}
{' A': -2.079333, ' B': -0.13412377, ' (': -9.528331, ' "': -8.445784, " '": -9.56272}
{' A': -1.1764944, ' B': -0.36960778, ' (': -9.112603, ' "': -8.196352, " '": -9.403902}
{' A': -0.9807149, ' B': -0.47118577, ' (': -9.003401, ' "': -8.108513, " '": -9.27769}
{' A': -1.0271024, ' B': -0.4441117, ' (': -9.424853, ' "': -8.313088, " '": -9.546343}
{' A': -0.8821945, ' B': -0.5353107, ' (': -9.138815, ' "': -8.187988, " '": -9.452618}
{' A': -1.1150991, ' B': -0.3982201, ' (': -9.237087, ' "': -8.2734, " '": -9.461702}
{' b': -9.448252, ' A': -2.700731, ' B': -0.069970995, ' "': -8.643242, " '": -9.888711}
{' A': -0.4923599, ' B': -0.94640034, ' (': -9.085159, ' "': -8.098299, " '": -9.315424}
{' A': -0.665327, ' B': -0.722992, ' (': -9.160114, ' "': -8.305859, " '": -9.44768}
{' A': -0.19096883, ' B': -1.7535185, ' (': -8.785478, ' "': -8.189861, " '": -9.345529}
{' A': -0.55022526, ' B': -0.8615657, ' (': -8.931139, ' "': -8.154677, " '": -9.355243}
{' A': -0.28751132, ' B': -1.3895582, ' (': -8.873778, ' "': -8.144052, " '": -9.293693}
{' A': -0.0848029, ' B': -2.5176146, ' "': -8.227167, ' (': -8.733746, " '": -9.386154}
{' A': -0.106910184, ' B': -2.2947018, ' (': -8.926692, ' "': -8.313731, " '": -9.422692}
{' A': -0.111939885, ' B': -2.2511592, ' (': -8.934034, ' "': -8.251994, " '": -9.450632}
{' A': -0.06727776, ' B': -2.7412183, ' "': -8.365146, ' (': -8.99475, 'A': -9.511595}
{' A': -0.5288072, ' B': -0.8914399, ' (': -9.090275, ' "': -8.240337, " '": -9.358616}
{' A': -0.013080391, ' B': -4.3824, ' "': -8.527305, ' (': -8.98457, " '": -9.649332}
{' A': -0.046786916, 'A': -9.492872, ' B': -3.0962865, ' (': -9.171494, ' "': -8.564346}
{' A': -0.028564226, ' B': -3.5893111, ' (': -8.973098, ' "': -8.45549, " '": -9.482601}
{' A': -0.052385032, 'A': -9.525743, ' B': -2.98574, ' (': -9.092576, ' "': -8.431018}
{' A': -0.018033754, 'A': -9.544408, ' B': -4.0524535, ' (': -9.153559, ' "': -8.526698}
{' A': -0.017194534, ' B': -4.10292, ' (': -9.005294, ' "': -8.472369, " '": -9.574926}
{' A': -0.0271252, 'A': -9.556831, ' B': -3.6399026, ' (': -9.11427, ' "': -8.505488}
{' A': -0.020109663, 'A': -9.488845, ' B': -3.9415705, ' (': -9.085087, ' "': -8.588795}
{' A': -0.032831013, 'A': -9.541111, ' B': -3.4489572, ' (': -8.993839, ' "': -8.505219}
{' A': -0.04508161, 'A': -9.526609, ' B': -3.134307, ' (': -9.03865, ' "': -8.395974}
{' A': -0.0040310407, 'A': -9.528249, ' B': -5.6439633, ' (': -8.972147, ' "': -8.633117}
