{' No': -0.04760396, ' Yes': -3.703295, 'No': -4.0001245, '\n': -5.8247437, 'Yes': -7.8260674}
{' No': -0.078463234, 'No': -2.8187566, '\n': -4.5569882, ' Hospital': -5.72741, ' Yes': -7.1689897}
{' No': -0.07400296, 'No': -3.0345206, '\n': -3.7984154, ' ': -7.7004223, ' Yes': -8.885197}
{' No': -0.07287927, '\n': -6.647474, ' ': -9.212868, 'No': -2.6791396, ' Unfortunately': -9.370959}
{' No': -0.037013978, 'No': -3.3581846, '\n': -6.7835264, ' Yes': -8.336085, ' Unfortunately': -9.769878}
{' No': -0.04695963, '\n': -6.718127, ' ': -9.697461, 'No': -3.116828, ' Yes': -8.351663}
{' No': -0.02622759, 'No': -3.7938514, '\n': -6.1823688, ' Yes': -6.757854, ' ': -9.404292}
{' No': -0.03239306, '\n': -6.3439846, ' ': -9.282991, 'No': -3.656464, ' Yes': -5.508408}
{' No': -0.033665523, '\n': -6.123378, ' ': -8.315063, 'No': -3.5335073, ' Hospital': -6.758073}
{' No': -0.04005082, '\n': -4.590773, ' ': -8.146664, 'No': -3.5522444, ' Yes': -9.848429}
{' No': -0.036127217, 'No': -3.3756597, '\n': -6.849367, ' ': -9.373002, ' Yes': -9.984441}
{' No': -0.023535462, 'No': -3.8567946, '\n': -6.4075465, ' Yes': -8.383074, ' ': -9.286988}
{' No': -0.03679968, 'No': -3.4132109, '\n': -5.8687634, ' Yes': -8.704935, ' ': -9.182361}
{' No': -1.4623678, '\n': -4.412687, 'No': -4.198711, ' Yes': -0.34344843, 'Yes': -3.4724789}
{' No': -0.13246654, 'No': -2.8376913, ' Yes': -3.016269, '\n': -4.2665777, 'Yes': -6.2179136}
{' No': -0.07679808, '\n': -4.2992787, ' ': -7.576313, 'No': -2.8275912, ' Yes': -7.694689}
{' No': -0.06995476, 'No': -3.071042, '\n': -4.0140386, ' Yes': -6.015307, ' ': -8.015382}
{' No': -0.089212045, 'No': -2.5550017, '\n': -4.968662, ' ': -8.1517, ' Yes': -8.794776}
{' No': -0.048603352, 'No': -3.1710987, '\n': -5.4031205, ' Yes': -7.377508, ' ': -8.953955}
{' No': -0.13542624, '\n': -3.9717796, ' ': -7.4357357, 'No': -2.2519805, ' Yes': -6.493244}
{' Yes': -0.10777516, 'Yes': -2.9244292, ' No': -3.6427119, '\n': -4.082566, 'No': -5.44479}
{' No': -2.1094835, '\n': -3.461824, 'No': -3.5457911, ' Yes': -0.2925946, 'Yes': -2.6656606}
{' No': -0.6620385, '\n': -1.5714625, 'No': -1.65048, ' Yes': -2.7293642, 'Yes': -4.7565055}
{' Yes': -0.9139189, ' No': -1.3125072, '\n': -1.8624433, 'No': -2.379453, 'Yes': -2.5490832}
{' No': -0.4470505, '\n': -2.5648866, 'No': -1.3235879, ' Yes': -4.872601, ' Unfortunately': -5.327872}
{' No': -0.5595383, '\n': -2.7963793, 'No': -2.0959249, ' Yes': -1.5257497, 'Yes': -3.789606}
{' No': -0.48685008, '\n': -2.2250779, 'No': -1.4665978, ' Yes': -3.3571563, 'Yes': -5.0292177}
{' No': -1.1795858, '\n': -4.4382887, 'No': -4.1469316, ' Yes': -0.44136938, 'Yes': -3.8590958}
{' No': -0.41701493, '\n': -4.2546215, 'No': -3.4685285, ' Yes': -1.2509308, 'Yes': -4.8133907}
{' No': -0.090113245, '\n': -3.3504264, ' ': -6.6210523, 'No': -3.056136, ' Yes': -6.774462}
{' No': -0.11605418, '\n': -3.0538745, 'No': -3.1720805, ' Yes': -4.070705, ' ': -6.3058844}
{' No': -0.09456753, 'No': -2.5498857, '\n': -4.542875, ' ': -7.599308, ' Yes': -7.796435}
{' No': -0.07984836, 'No': -2.902995, '\n': -4.2056227, ' Yes': -5.149125, ' ': -7.913085}
{' No': -0.061584104, 'No': -3.013666, '\n': -4.880073, ' Yes': -5.987307, ' ': -8.388831}
{' No': -0.37098163, ' Yes': -1.8415625, 'No': -2.3108182, '\n': -3.2306845, 'Yes': -4.510866}
{' No': -0.47936502, '\n': -1.631066, 'No': -2.1446614, ' Yes': -2.9214425, ' Hospital': -5.426617}
{' No': -0.6938016, '\n': -1.5436493, ' Yes': -1.7407682, 'No': -2.4286687, 'Yes': -3.945791}
{' No': -0.17430009, 'No': -2.1817138, '\n': -3.170079, ' Yes': -5.788314, ' ': -7.1151705}
{' No': -0.3016865, ' Yes': -2.2187204, 'No': -2.629493, '\n': -2.6390698, 'Yes': -5.1920004}
{' No': -0.4822186, '\n': -2.4203117, 'No': -2.5951147, ' Yes': -1.597283, 'Yes': -4.2397623}
{' Yes': -0.51200217, ' No': -1.2533066, '\n': -3.128831, 'No': -3.349986, 'Yes': -3.3647642}
{' No': -0.36450574, '\n': -1.7700597, ' ': -5.8311133, 'No': -2.119997, ' Unfortunately': -4.857059}
{' No': -0.9133684, ' Yes': -1.0882705, '\n': -1.6058981, 'No': -3.3242533, 'Yes': -3.8632205}
{' No': -0.26385486, 'No': -1.8699186, '\n': -2.6513555, ' Unfortunately': -5.437036, ' ': -6.8056693}
{' No': -0.22764102, '\n': -2.7151153, 'No': -2.307576, ' Yes': -3.4221768, 'Yes': -6.044354}
{' No': -0.38662896, '\n': -1.8224334, 'No': -2.2205312, ' Yes': -3.1442182, 'Yes': -5.452923}
{' Yes': -0.030836608, 'Yes': -3.7500937, ' No': -5.5086884, '\n': -6.109884, 'No': -8.617218}
{' No': -5.5932326, '\n': -6.063932, ' Yes': -0.041353468, ' yes': -7.5143065, 'Yes': -3.4100516}
{' No': -2.8644972, '\n': -3.8061805, ' Yes': -0.168899, ' Sur': -3.3543026, 'Yes': -3.3891537}
{' No': -0.053664997, '\n': -5.8531814, ' ': -8.20565, 'No': -3.026302, ' Yes': -7.7908916}
{' Yes': -0.47069445, ' No': -1.0793772, 'Yes': -4.4466143, 'No': -4.552018, '\n': -4.8458853}
{' No': -0.09981774, '\n': -5.5897183, 'No': -3.6387367, ' Yes': -2.7664742, 'Yes': -6.427393}
{' No': -0.051326413, '\n': -4.660297, 'No': -3.520851, ' Yes': -4.574672, 'Yes': -8.132515}
{' No': -0.11573619, '\n': -4.453226, 'No': -2.7582684, ' Yes': -3.4546106, 'Yes': -6.7966805}
{' No': -0.13413884, 'No': -2.8837953, '\n': -2.9698286, ' Hospital': -4.4668393, ' Yes': -5.6741714}
{' No': -0.070951365, '\n': -4.7890053, ' ': -8.025858, 'No': -2.827875, ' Yes': -7.9258647}
{' No': -0.08285717, 'No': -3.1063366, '\n': -3.7864647, ' Yes': -4.661424, ' Patient': -6.7711577}
{' No': -0.037307017, '\n': -5.305768, ' ': -8.761323, 'No': -3.4939282, ' Yes': -6.9222364}
{' No': -0.56142384, '\n': -4.598575, 'No': -3.5711243, ' Yes': -0.9664417, 'Yes': -4.556705}
{' No': -0.38511306, '\n': -4.1220956, 'No': -3.9214823, ' Yes': -1.3070873, ' Doctor': -5.034977}
{' No': -0.07096756, '\n': -3.8928423, 'No': -3.2768562, ' Yes': -6.0442643, ' Hospital': -5.0599217}
{' Yes': -0.7447059, '\n': -1.5903348, ' No': -1.9926821, ' Sur': -2.0372703, 'Yes': -3.622048}
{' No': -0.057229135, '\n': -4.1767645, ' ': -7.622195, 'No': -3.574723, ' Yes': -4.549344}
{' No': -0.042519357, 'No': -3.6122346, ' Yes': -4.8543515, '\n': -5.076363, 'Yes': -8.3781595}
{' No': -6.211047, '\n': -4.1525435, ' ': -7.838895, ' Yes': -0.058742072, 'Yes': -3.264537}
{' No': -1.568951, '\n': -3.6899014, 'No': -3.93858, ' Yes': -0.3389363, 'Yes': -3.4750295}
{' No': -0.36776498, '\n': -1.7037863, 'No': -2.3854194, ' Yes': -4.1286864, ' Hospital': -5.0019374}
{' No': -0.5963273, '\n': -1.9597954, 'No': -2.6974323, ' Yes': -1.5300031, 'Yes': -4.0828195}
{' No': -0.14927413, '\n': -3.5691767, 'No': -2.2626927, ' Yes': -7.045728, ' Unfortunately': -5.6581354}
{' No': -0.17272145, 'No': -2.7055354, '\n': -2.7899394, ' Yes': -3.6195312, 'Yes': -6.5853033}
{' No': -0.68461144, '\n': -4.9867315, 'No': -4.140119, ' Yes': -0.76901925, 'Yes': -4.704339}
{' No': -0.6380447, ' Yes': -0.82780117, 'No': -4.025225, 'Yes': -4.8035874, '\n': -5.2026086}
{' No': -0.08595422, '\n': -3.9425004, ' ': -6.97225, 'No': -3.078378, ' Hospital': -4.225997}
{' No': -0.06831767, '\n': -3.7765408, ' ': -7.531723, 'No': -3.1826649, ' Yes': -7.072597}
{' No': -0.034620617, '\n': -6.6007156, ' ': -9.173987, 'No': -3.428982, ' Yes': -10.049149}
{' No': -0.029360808, '\n': -5.9179597, ' ': -9.079569, 'No': -3.6704187, ' Yes': -7.61493}
{' No': -0.039684873, '\n': -5.0387444, ' ': -7.972483, 'No': -3.5826151, ' Yes': -5.5366387}
{' No': -0.03343802, '\n': -5.5697765, ' ': -8.162224, 'No': -3.7909968, ' Yes': -5.185848}
{' No': -0.024100574, '\n': -5.175206, 'No': -4.1671247, ' Yes': -7.3030176, ' Hospital': -6.8375955}
{' No': -0.05483312, '\n': -4.2813954, 'No': -3.7187502, ' Yes': -4.385014, ' Sur': -6.536251}
{' No': -0.015957134, '\n': -6.6562347, ' ': -9.375926, 'No': -4.2623544, ' Yes': -8.203701}
{' No': -0.018369848, '\n': -5.490814, ' ': -9.357971, 'No': -4.7109027, ' Yes': -5.3652916}
{' No': -0.02276985, '\n': -5.9187365, ' ': -9.173303, 'No': -4.0496063, ' Yes': -6.141479}
{' No': -0.11937724, '\n': -3.548616, 'No': -3.2061613, ' Yes': -3.2425685, 'Yes': -6.467679}
{' No': -0.29844588, '\n': -4.1247606, 'No': -4.1795034, ' Yes': -1.5184222, ' Doctor': -5.769603}
{' No': -0.03892277, '\n': -4.387073, 'No': -4.6093173, ' Yes': -5.5009913, ' Hospital': -4.6700907}
{' No': -0.3516386, ' Yes': -1.5996549, '\n': -2.879997, ' Sur': -3.7775896, 'No': -4.6749988}
{' Band': -8.7546835, ' No': -0.018972576, '\n': -5.6977763, 'No': -4.301613, ' Yes': -6.6445904}
{' No': -0.02570971, '\n': -4.4939504, 'No': -5.198401, ' Yes': -5.2408967, ' Pat': -6.831858}
{' No': -0.01798411, 'No': -4.525352, ' Yes': -5.4923663, '\n': -5.966988, ' ': -8.891745}
{' No': -0.03145396, '\n': -6.0986953, ' ': -9.417037, 'No': -3.5778232, ' Yes': -7.448705}
{' No': -0.047199357, 'No': -3.4621584, ' Yes': -4.5941257, '\n': -5.74762, ' Doctor': -7.0173783}
{' No': -0.02012207, '\n': -5.7732344, 'No': -4.4436164, ' Yes': -5.5894656, ' Hospital': -7.4487443}
{' No': -0.030523404, '\n': -5.0155354, 'No': -4.1706467, ' Yes': -5.023361, ' Sur': -7.2394447}
{' No': -0.028991736, '\n': -6.2641807, ' ': -8.813132, 'No': -3.7331483, ' Yes': -6.0683575}
{' No': -0.023859667, ' Yes': -4.558455, 'No': -4.5807076, '\n': -6.1398816, 'Yes': -9.056773}
{' No': -0.011298428, '\n': -7.926909, ' ': -10.293218, 'No': -4.5397305, ' Yes': -8.868648}
{' No': -0.058134742, '\n': -4.8552995, ' ': -7.4012136, 'No': -3.8118482, ' Yes': -3.6861176}
{' No': -0.6055985, '\n': -4.3741226, 'No': -4.6447086, ' Yes': -0.8609467, 'Yes': -5.3524113}
{' No': -0.05044617, ' Hospital': -3.7912793, 'No': -4.532803, ' Yes': -4.951157, '\n': -5.0092816}
{' No': -0.06185387, '\n': -3.96426, ' Yes': -4.173331, ' Sur': -4.2047544, 'No': -4.715594}
{' No': -0.014589511, 'No': -4.4519863, '\n': -6.3653107, ' Yes': -7.467205, ' ': -8.403464}
{' No': -0.051534873, '\n': -4.1416607, 'No': -5.021328, ' Pat': -5.703853, ' Yes': -3.9884415}
{' No': -0.010868831, '\n': -6.5719266, ' ': -8.868252, 'No': -4.798285, ' Yes': -6.9654584}
{' No': -1.6416777, '\n': -4.503559, 'No': -5.073847, ' Yes': -0.26044083, 'Yes': -4.0310116}
{' No': -0.18588215, '\n': -3.1714375, 'No': -3.1045945, ' Yes': -2.540729, 'Yes': -5.9046574}
{' No': -0.06955698, '\n': -3.3630002, 'No': -3.6868205, ' Yes': -5.8009324, ' Hospital': -6.3003063}
{' No': -0.73865986, ' Yes': -1.0345888, '\n': -2.207963, 'No': -3.9799376, ' Sur': -3.9996996}
{' No': -0.04585334, '\n': -4.9099545, ' ': -7.7329826, 'No': -3.3230557, ' Yes': -7.527011}
{' No': -0.03504511, 'No': -4.031823, '\n': -4.602943, ' Yes': -5.298015, ' ': -7.508606}
{' No': -0.09109914, 'No': -2.7411978, '\n': -3.9558282, ' Yes': -5.9867077, ' ': -7.727104}
{' Yes': -0.052141983, 'Yes': -3.224419, ' No': -5.207785, '\n': -5.503773, 'No': -7.374898}
{' No': -4.123482, '\n': -6.029696, 'No': -6.4241495, ' Yes': -0.059813377, 'Yes': -3.321719}
{' No': -0.58739704, '\n': -2.9797173, 'No': -2.6148744, ' Yes': -1.2276404, 'Yes': -4.3362546}
{' No': -3.615779, '\n': -4.653899, 'No': -5.7264395, ' Yes': -0.10179831, 'Yes': -2.8947768}
{' No': -0.4099675, '\n': -3.7068176, 'No': -2.253994, ' Yes': -1.7090454, 'Yes': -4.5691586}
{' No': -0.7430463, '\n': -4.6748147, 'No': -3.0131688, ' Yes': -0.8192372, 'Yes': -3.8573308}
{' No': -0.67683667, '\n': -1.559487, ' Yes': -1.8366058, 'No': -2.3423736, 'Yes': -4.2408776}
{' No': -1.3024496, '\n': -4.0762396, 'No': -4.8156867, ' Yes': -0.37795565, 'Yes': -4.0881457}
{' No': -0.89698297, '\n': -4.0091004, 'No': -4.6513014, ' Yes': -0.5897778, 'Yes': -4.851769}
{' No': -0.07460677, '\n': -4.987328, 'No': -4.2847543, ' Yes': -3.0504746, ' Hospital': -6.331177}
{' No': -0.897734, '\n': -4.7747235, 'No': -5.1762905, ' Yes': -0.56404907, 'Yes': -4.8283544}
{' No': -0.038098287, '\n': -4.579259, ' ': -7.8079386, 'No': -3.8361194, ' Yes': -5.382579}
{' No': -0.3525799, '\n': -4.3512254, 'No': -4.774075, ' Yes': -1.307248, 'Yes': -5.9305673}
{' No': -0.011454032, '\n': -6.612282, ' ': -9.933943, 'No': -4.709009, ' Yes': -6.978594}
{' No': -2.9689553, '\n': -3.6308854, 'No': -5.214555, ' Yes': -0.13172294, 'Yes': -3.2721894}
{' No': -0.23092711, '\n': -3.0891576, 'No': -2.9956934, ' Yes': -2.7434392, ' Hospital': -3.2524283}
{' No': -2.1020687, '\n': -3.701743, ' Yes': -0.243056, ' Sur': -3.6736016, 'Yes': -3.4803243}
{' No': -0.06357442, ' Not': -7.817182, '\n': -5.00984, 'No': -3.0164056, ' Yes': -5.4600086}
{' No': -0.4140473, '\n': -3.9813232, 'No': -3.7305222, ' Yes': -1.2935296, ' Patient': -4.239216}
{' No': -0.23684496, ' Yes': -1.9510877, '\n': -3.2330205, 'No': -3.693998, 'Yes': -5.833563}
{' No': -1.5391111, '\n': -2.0276804, 'No': -4.1025095, ' Yes': -0.4971953, 'Yes': -3.648133}
{' No': -0.13529775, '\n': -3.1584032, 'No': -3.0926607, ' Yes': -4.2117825, ' Unfortunately': -4.529461}
{' No': -5.2317123, '\n': -4.367092, ' ': -7.812825, ' Yes': -0.0378515, 'Yes': -4.0370846}
{' No': -0.08628587, '\n': -3.7523184, 'No': -3.0208578, ' Yes': -5.400937, ' Unfortunately': -5.738406}
{' No': -0.31589654, '\n': -3.7496676, 'No': -3.7246656, ' Yes': -1.5589155, ' Patient': -5.3884425}
{' No': -0.3280842, '\n': -1.8135635, 'No': -3.011758, ' Yes': -2.8620977, ' Unfortunately': -5.480733}
{' No': -7.820936, '\n': -6.9473453, ' Yes': -0.018616056, ' Nurse': -9.462122, 'Yes': -4.0861664}
{'\n': -6.4147377, ' Yes': -0.030786881, ' yes': -7.4602714, 'Yes': -3.607548, ' Doctor': -7.4128413}
{' No': -4.4794483, '\n': -6.502096, ' Yes': -0.072965875, ' Sur': -3.274088, 'Yes': -4.0267296}
{' No': -0.03704639, '\n': -6.455512, ' ': -8.619281, 'No': -3.4073274, ' Yes': -6.679612}
{' No': -3.531571, '\n': -6.4562664, ' Yes': -0.053808965, ' Patient': -4.742932, 'Yes': -4.5440564}
{' No': -0.054814484, '\n': -6.5929813, 'No': -4.6282225, ' Yes': -3.179404, 'Yes': -7.843011}
{' No': -0.026529176, '\n': -6.394719, 'No': -4.267656, ' Yes': -4.585771, 'Yes': -8.623057}
{' No': -0.283809, ' Yes': -1.5346024, 'No': -3.9482336, '\n': -5.1398554, 'Yes': -5.728191}
{' No': -0.15872262, ' Yes': -2.3807895, 'No': -3.577584, ' Hospital': -4.2650743, '\n': -4.775908}
{' No': -0.03617604, '\n': -5.5301924, 'No': -3.6797802, ' Yes': -5.24368, ' The': -8.080176}
{' No': -0.48493, '\n': -5.149347, 'No': -4.2522755, ' Yes': -1.0522271, ' Patient': -4.901848}
{' No': -0.015991354, '\n': -6.207533, ' ': -8.942324, 'No': -4.4837112, ' Yes': -6.066795}
{' No': -0.04512607, '\n': -5.4400864, 'No': -3.7898922, ' Yes': -4.116867, 'Yes': -7.955219}
{' No': -0.11258114, ' Yes': -2.6935234, 'No': -3.679638, '\n': -4.837492, ' Doctor': -5.6468616}
{' No': -0.021807732, '\n': -5.9790964, 'No': -4.1772814, ' Yes': -6.506106, ' Hospital': -6.5121603}
{' No': -0.1320723, '\n': -4.9228077, 'No': -4.6433635, ' Yes': -2.2987232, ' Sur': -5.3901324}
{' No': -0.020552132, '\n': -6.1228824, 'No': -4.8040752, ' Yes': -4.715557, ' Patient': -7.8741417}
{' No': -0.0068070013, 'No': -5.0523868, '\n': -8.211938, ' Yes': -9.934472, ' ': -10.085877}
{' No': -7.063715, '\n': -3.8912542, ' ': -7.8764176, ' Yes': -0.062698, 'Yes': -3.2568011}
{' Yes': -0.08898946, ' No': -3.3362124, 'Yes': -3.3873978, '\n': -4.708287, 'No': -5.809986}
{' No': -0.21123141, '\n': -2.7447875, 'No': -2.750641, ' Yes': -3.290266, ' Unfortunately': -4.339016}
{' No': -1.5102334, '\n': -2.7237172, 'No': -4.2441297, ' Yes': -0.4044405, 'Yes': -3.695847}
{' No': -0.14724799, '\n': -4.1743627, 'No': -2.3857694, ' Yes': -4.8688817, ' Unfortunately': -4.189875}
{' No': -0.24845745, '\n': -2.5166612, 'No': -2.7064214, ' Yes': -2.7594075, 'Yes': -5.5074906}
{' No': -0.67798364, ' Yes': -0.79256374, 'No': -4.1544147, '\n': -4.4446197, 'Yes': -4.644586}
{' Yes': -0.09595404, ' No': -3.232816, ' Doctor': -3.2484615, 'Yes': -4.672158, '\n': -6.173185}
{' No': -0.022091102, 'No': -4.536173, ' Hospital': -5.2874546, ' Yes': -5.8701377, '\n': -6.1330485}
{' No': -0.04922253, ' Yes': -3.6817944, 'No': -4.2830997, '\n': -5.1279883, ' Sur': -6.143302}
{' No': -0.022840586, '\n': -5.886476, ' ': -9.009925, 'No': -3.9492493, ' Yes': -8.6381645}
{' No': -0.035021838, '\n': -6.312234, 'No': -4.797608, ' Yes': -3.8973396, ' Patient': -5.698916}
{' No': -0.092166215, '\n': -4.678336, 'No': -3.2906313, ' Yes': -3.222604, 'Yes': -6.630229}
{' No': -0.06654181, '\n': -5.5395317, 'No': -3.3819885, ' Yes': -3.7124767, ' Doctor': -7.2979507}
{' No': -0.030661438, 'No': -3.8323162, '\n': -4.9800954, ' Not': -7.3447704, ' Yes': -7.8068914}
{' No': -0.19292146, '\n': -2.486426, ' Yes': -2.8545616, 'No': -3.7314403, ' Sur': -5.197663}
{' No': -0.030668812, 'No': -3.5947595, '\n': -6.637343, ' Yes': -6.756609, ' Not': -9.052749}
{' No': -0.026472742, 'No': -4.055117, ' Yes': -4.8760934, '\n': -7.0795994, 'Yes': -8.908436}
{' No': -0.021327868, 'No': -4.1069484, '\n': -6.1114936, ' Yes': -6.1266804, ' ': -9.445877}
{' No': -0.7866062, '\n': -3.2440321, 'No': -3.8071957, ' Yes': -0.76490057, 'Yes': -4.0928154}
{' Yes': -0.18162522, ' No': -2.1061723, '\n': -4.080581, 'Yes': -4.260431, ' Doctor': -4.8034515}
{' No': -0.06194563, 'No': -3.5692294, '\n': -3.658999, ' Yes': -5.7662125, ' Not': -7.036991}
{' No': -1.1257651, '\n': -1.2006878, 'No': -4.2608166, ' Yes': -1.1751387, ' Sur': -3.4788132}
{' No': -0.04912254, ' Not': -7.511173, '\n': -4.9051943, 'No': -3.290112, ' Yes': -6.1706967}
{' No': -0.05043708, 'No': -3.4078624, '\n': -4.6348352, ' Yes': -5.558638, ' Unfortunately': -6.8677135}
{' No': -0.027347967, ' Not': -8.581377, '\n': -5.4902115, 'No': -4.1102314, ' Yes': -5.1198406}
{' No': -0.024015216, '\n': -6.568061, ' ': -10.107816, 'No': -3.8433568, ' Yes': -7.1220274}
{' No': -0.041963812, '\n': -6.7637386, 'No': -3.661045, ' Yes': -4.2867355, 'Yes': -8.282965}
{' No': -0.02516929, '\n': -5.4969463, 'No': -4.0839615, ' Yes': -5.9904227, ' Hospital': -7.0963335}
{' No': -0.04540066, '\n': -4.0450287, ' ': -7.8918376, 'No': -3.6900973, ' Yes': -6.888159}
{' No': -0.02884682, ' Not': -9.396773, '\n': -7.2942443, 'No': -3.6130142, ' Yes': -7.4619956}
{' No': -0.026981227, 'No': -3.8193333, ' Yes': -5.660999, '\n': -6.929153, 'Yes': -9.381696}
{' No': -0.017291198, '\n': -7.141936, ' ': -9.888549, 'No': -4.201049, ' Yes': -6.687367}
{' No': -0.05720875, '\n': -5.731195, 'No': -4.4327617, ' Yes': -3.2228239, 'Yes': -7.6626334}
{' No': -0.5699133, '\n': -5.373801, 'No': -4.7709455, ' Yes': -0.87576246, 'Yes': -5.4687304}
{' No': -0.025935646, '\n': -4.914481, 'No': -4.334966, ' Yes': -5.690074, ' Hospital': -7.030785}
{' No': -0.022740154, '\n': -4.930241, ' ': -8.693544, 'No': -4.4783616, ' Yes': -5.6609917}
{' No': -0.020017229, ' Not': -9.478391, '\n': -6.7691894, 'No': -4.0471225, ' Yes': -6.9827623}
{' No': -0.03895537, ' Yes': -3.8383708, 'No': -4.2119365, '\n': -6.6784873, 'Yes': -7.9728994}
{' No': -0.015214528, '\n': -6.384559, ' ': -9.392344, 'No': -4.4880786, ' Yes': -6.219043}
{' No': -0.76755303, '\n': -2.9562624, 'No': -3.1756513, ' Yes': -0.872177, 'Yes': -3.7960222}
{' No': -0.8146767, '\n': -3.3032494, 'No': -3.253628, ' Yes': -0.7849506, 'Yes': -3.7428305}
{' No': -0.119399466, '\n': -3.4229538, 'No': -2.5774834, ' Yes': -6.5439596, ' Unfortunately': -6.750829}
{' No': -0.25978467, '\n': -2.3177812, 'No': -2.6093674, ' Yes': -3.0048559, 'Yes': -5.445699}
{' No': -0.1477184, '\n': -4.3208365, ' ': -7.649654, 'No': -2.1065617, ' Unfortunately': -6.64147}
{' No': -0.080850944, '\n': -4.463171, 'No': -2.8118708, ' Yes': -5.4277916, ' Unfortunately': -7.6104317}
{' No': -0.18676658, '\n': -2.8797348, ' ': -6.9376493, 'No': -2.2876978, ' Yes': -4.684281}
{' No': -3.9114008, '\n': -3.2451427, 'No': -6.071402, ' Yes': -0.10868759, 'Yes': -3.213391}
{' Yes': -0.13174918, ' No': -3.0066175, 'Yes': -3.136855, '\n': -3.785008, 'No': -5.146966}
{' No': -0.73031473, '\n': -1.2038522, 'No': -2.5837617, ' Yes': -2.212998, ' Unfortunately': -4.203526}
{' No': -2.3164968, '\n': -1.3942938, 'No': -4.188735, ' Yes': -0.5503054, 'Yes': -2.8963385}
{' No': -0.53912073, '\n': -1.7002268, 'No': -2.0259504, ' Yes': -2.7943487, ' Unfortunately': -3.6802664}
{' No': -0.99001265, '\n': -2.147552, 'No': -2.9328032, ' Yes': -0.86669487, 'Yes': -3.4658558}
{' No': -0.80418885, ' Yes': -1.3006947, '\n': -1.878688, 'No': -2.3720238, 'Yes': -3.628642}
{' Yes': -0.05846, 'Yes': -3.48579, '\n': -4.3614707, ' No': -4.412061, 'No': -7.358577}
{' No': -2.785973, '\n': -4.173533, ' Yes': -0.10642682, 'Yes': -4.0057073, ' Doctor': -5.975155}
{' No': -0.055791188, 'No': -3.7261193, '\n': -3.8553898, ' Yes': -5.04882, ' Unfortunately': -6.787017}
{' Yes': -0.6785827, ' No': -1.3324084, '\n': -1.6719223, 'Yes': -3.8624244, 'No': -4.589832}
{' No': -0.07907079, '\n': -4.0043235, 'No': -2.996303, ' Yes': -5.3181033, ' Unfortunately': -6.73646}
{' No': -0.11635592, '\n': -4.0411887, 'No': -3.7430766, ' Yes': -2.723755, 'Yes': -6.378212}
{' No': -0.049225222, '\n': -4.6898365, 'No': -3.6210213, ' Yes': -4.4965672, 'Yes': -8.151817}
{' No': -2.7810183, '\n': -3.8802116, 'No': -4.881072, ' Yes': -0.1499758, 'Yes': -3.0421836}
{' No': -0.97512245, '\n': -0.9861299, ' Yes': -1.6578598, 'No': -3.338213, 'Yes': -4.956377}
{' No': -2.508451, '\n': -1.7293543, 'No': -5.026099, ' Yes': -0.35849124, 'Yes': -3.441451}
{' No': -0.1386857, 'No': -2.4353852, '\n': -3.4998019, ' Yes': -5.0045266, ' Unfortunately': -6.322886}
{' No': -1.0204, '\n': -2.8124416, 'No': -3.6905732, ' Yes': -0.6304596, 'Yes': -4.0375237}
{' No': -1.0279632, '\n': -3.054668, 'No': -4.3924575, ' Yes': -0.5641417, 'Yes': -4.4376655}
{' Yes': -0.110332504, '\n': -3.0855596, 'Yes': -3.4165766, ' No': -3.7703133, 'No': -6.3051753}
{' No': -0.64244306, '\n': -0.8960251, 'No': -3.407753, ' Unfortunately': -3.946768, ' Yes': -5.2375526}
{' No': -3.5443108, '\n': -2.0757668, ' ': -6.3643184, ' Yes': -0.22073483, 'Yes': -3.253852}
{' No': -0.1786878, '\n': -2.5734613, 'No': -2.9069037, ' Yes': -5.3760567, ' Unfortunately': -3.795135}
{' No': -0.6849463, ' Yes': -1.0566732, '\n': -2.3276331, 'No': -3.4227295, 'Yes': -4.4191766}
{' No': -0.52802664, '\n': -1.3228874, 'No': -3.328039, ' Yes': -2.3113403, 'Yes': -5.5331936}
{' Yes': -0.033148207, 'Yes': -3.5863612, '\n': -5.6448746, ' No': -7.229728, ' Nurse': -8.762446}
{' Yes': -0.029937455, 'Yes': -3.7074583, '\n': -6.153198, ' Doctor': -6.888419, ' No': -7.054105}
{' Yes': -0.09213707, 'Yes': -3.5439534, '\n': -3.613793, ' No': -3.7950218, ' Sur': -5.0552754}
{' No': -0.05856396, '\n': -5.5040083, ' ': -8.5425625, 'No': -3.0621116, ' Yes': -5.2393994}
