{' No': -0.018724639, 'No': -4.150448, '\n': -6.2535415, ' Yes': -7.238859, ' ': -9.299589}
{' No': -0.052940752, ' Not': -8.075309, '\n': -5.849653, 'No': -3.1676602, ' Yes': -5.132752}
{' No': -0.048202515, '\n': -4.698101, 'No': -3.4196472, ' Yes': -5.64109, ' Unfortunately': -7.1574764}
{' No': -0.04507593, 'No': -3.7543178, '\n': -3.9779449, ' Yes': -6.8326583, ' Unfortunately': -8.391271}
{' No': -0.0429214, 'No': -3.7422812, ' Yes': -4.2125554, '\n': -5.922201, ' Unfortunately': -8.121328}
{' No': -0.024197966, 'No': -4.1159472, ' Yes': -5.276439, '\n': -6.3290663, ' Unfortunately': -7.9030046}
{' No': -0.028614398, ' Not': -9.448523, '\n': -5.808592, 'No': -3.71126, ' Yes': -7.527067}
{' No': -0.05656514, 'No': -3.5626206, '\n': -4.0834775, ' Yes': -4.708548, 'Yes': -8.311629}
{' No': -1.2958326, '\n': -4.6376905, 'No': -4.660342, ' Yes': -0.36862087, 'Yes': -4.2184477}
{' No': -0.051665984, '\n': -4.441554, 'No': -3.6942556, ' Yes': -4.503904, ' Unfortunately': -6.7162395}
{' No': -0.06369174, '\n': -3.701791, 'No': -3.7522824, ' Yes': -4.426143, ' Not': -7.8576097}
{' No': -0.038815014, 'No': -3.7491746, ' Yes': -4.594031, '\n': -5.79842, ' Unfortunately': -7.095251}
{' No': -0.03491042, '\n': -5.473133, 'No': -3.8593485, ' Yes': -4.982256, ' Unfortunately': -6.6226196}
{' No': -0.020973796, 'No': -4.0363736, '\n': -6.155962, ' Yes': -7.2672844, ' Not': -8.81311}
{' No': -0.021043494, 'No': -4.100397, '\n': -5.650472, ' Yes': -7.384309, ' ': -9.646996}
{' No': -0.05903282, '\n': -6.5459733, 'No': -3.624859, ' Yes': -3.5566847, 'Yes': -7.494337}
{' No': -0.029587144, '\n': -5.3443794, 'No': -3.9771366, ' Yes': -5.3329964, ' Hospital': -8.4391775}
{' No': -0.023073805, 'No': -4.1696057, '\n': -4.974707, ' Yes': -8.646868, ' ': -9.17589}
{' No': -0.028207771, 'No': -3.7630785, ' Yes': -5.779129, '\n': -6.732708, ' Not': -9.214659}
{' No': -0.028071612, ' Not': -9.711034, '\n': -6.7076216, 'No': -3.706935, ' Yes': -6.3714495}
{' No': -0.016098376, 'No': -4.2056236, '\n': -7.228863, ' Yes': -8.337673, ' ': -10.042931}
{' No': -0.037538934, 'No': -3.8789754, '\n': -4.734146, ' Yes': -4.9776063, ' ': -8.438713}
{' No': -1.1886255, '\n': -4.98888, 'No': -5.0428505, ' Yes': -0.39706436, 'Yes': -4.7313786}
{' No': -0.025285065, 'No': -4.32468, '\n': -5.023448, ' Yes': -5.5342684, ' Unfortunately': -8.026857}
{' No': -0.019779306, 'No': -4.3556194, '\n': -5.2212887, ' Yes': -7.307245, ' Unfortunately': -7.897392}
{' No': -0.02493595, '\n': -6.208115, 'No': -4.2593203, ' Yes': -4.9129343, ' Unfortunately': -7.2644835}
{' No': -0.017848793, 'No': -4.3821144, ' Yes': -5.5090404, '\n': -7.108827, ' Unfortunately': -9.156941}
{' No': -0.012537936, '\n': -6.2886705, ' ': -9.545951, 'No': -4.5977273, ' Yes': -7.89721}
{' No': -0.116458975, '\n': -3.768467, 'No': -2.4708633, ' Yes': -7.1078258, ' Unfortunately': -7.2942348}
{' No': -0.31079927, '\n': -2.9897027, 'No': -2.5560386, ' Yes': -2.056401, 'Yes': -4.735871}
{' No': -0.11656593, '\n': -3.5629675, ' ': -7.0428963, 'No': -2.5569382, ' Unfortunately': -6.236307}
{' No': -0.20593263, '\n': -2.3701553, 'No': -2.458128, ' Unfortunately': -5.9212484, ' Yes': -6.191974}
{' No': -0.12801644, 'No': -2.3232126, '\n': -4.0100713, ' Unfortunately': -6.1166697, ' Yes': -7.098336}
{' No': -0.08737442, '\n': -4.4585805, 'No': -2.6957135, ' Yes': -5.9779286, ' Unfortunately': -6.724304}
{' No': -0.17657614, '\n': -2.9801228, 'No': -2.2358508, ' Yes': -6.5373187, ' Unfortunately': -6.857799}
{' No': -0.3777918, ' Yes': -2.0410304, '\n': -2.462522, 'No': -2.5517647, ' Unfortunately': -4.60152}
{' Yes': -0.21478595, ' No': -2.1664119, 'Yes': -3.2627404, '\n': -3.6678421, 'No': -4.362907}
{' No': -0.64342284, '\n': -1.5854566, ' Yes': -1.7447641, 'No': -2.709995, ' Unfortunately': -4.516666}
{' No': -0.83055365, '\n': -1.272452, ' Yes': -1.6899897, 'No': -2.7355256, 'Yes': -4.0789475}
{' No': -0.5498607, '\n': -2.1598728, 'No': -2.506398, ' Yes': -1.6733233, ' Unfortunately': -3.9580731}
{' No': -0.5650647, ' Yes': -1.2332739, 'No': -2.7433884, '\n': -2.9668531, 'Yes': -4.061898}
{' No': -0.4521211, '\n': -2.0901635, 'No': -2.3469288, ' Yes': -2.0819602, 'Yes': -4.6235805}
{' No': -0.17464696, ' Yes': -2.5445106, 'No': -3.2122216, '\n': -3.2821126, 'Yes': -5.7808437}
{' Yes': -0.113067895, ' No': -2.664288, 'Yes': -3.8851032, '\n': -4.3201923, 'No': -5.927763}
{' No': -0.06350302, '\n': -3.667848, 'No': -4.0889926, ' Yes': -4.179277, ' Unfortunately': -6.199666}
{' No': -0.11571263, '\n': -3.1653836, 'No': -4.1236873, ' Yes': -3.0477347, 'Yes': -6.8077826}
{' No': -0.057053063, 'No': -3.6137586, ' Yes': -4.182938, '\n': -4.5917115, ' Unfortunately': -6.2477264}
{' No': -0.109217376, 'No': -3.1583145, ' Yes': -3.5086672, '\n': -3.6021464, 'Yes': -6.5233536}
{' No': -0.051463645, 'No': -3.677629, '\n': -4.2670646, ' Yes': -4.599954, 'Yes': -8.267739}
{' No': -0.74935734, ' Yes': -0.94701016, 'No': -2.8404753, '\n': -2.8824065, 'Yes': -3.7725296}
{' No': -0.43871877, '\n': -1.3493214, 'No': -2.8675709, ' Yes': -3.8596554, ' Unfortunately': -5.3868046}
{' Yes': -0.6373514, '\n': -1.5200151, ' No': -1.5375227, 'Yes': -3.8942447, 'No': -4.268432}
{' No': -0.16331169, '\n': -2.7454746, 'No': -2.7659233, ' Yes': -4.042261, ' Unfortunately': -6.1942806}
{' No': -0.2115744, '\n': -2.4231374, 'No': -2.9188268, ' Yes': -3.157255, 'Yes': -6.402156}
{' No': -0.28622404, ' Yes': -2.1082091, '\n': -2.4190576, 'No': -3.4175527, 'Yes': -5.5810905}
{' No': -0.82512134, ' Yes': -0.9527993, '\n': -2.0699217, 'No': -3.4783862, 'Yes': -4.268923}
{' No': -0.4119329, '\n': -1.4053335, 'No': -3.1648016, ' Yes': -3.7244937, ' Unfortunately': -3.939372}
{' Yes': -0.78001726, '\n': -1.1919664, ' No': -1.5772203, 'Yes': -4.0941763, 'No': -4.6458807}
{' No': -0.1894806, '\n': -2.5851982, 'No': -2.9689682, ' Yes': -5.2260103, ' Unfortunately': -3.3266819}
{' No': -0.19528744, '\n': -2.5473688, 'No': -2.8519552, ' Yes': -3.4701269, ' Unfortunately': -5.131412}
{' No': -0.33933523, '\n': -1.5935829, 'No': -3.1638002, ' Yes': -3.327899, ' Unfortunately': -6.132603}
{' No': -4.910816, '\n': -5.2744107, 'No': -7.9312897, ' Yes': -0.036869314, 'Yes': -3.777634}
{' Yes': -0.03874035, 'Yes': -3.5921478, '\n': -5.291872, ' No': -5.4890594, ' yes': -7.578926}
{' Yes': -0.15159056, ' No': -2.5391178, '\n': -3.4130456, 'Yes': -3.964296, ' Sur': -5.525457}
{' No': -0.06034323, 'No': -3.23337, ' Yes': -4.3126698, '\n': -5.3663597, 'Yes': -8.029032}
{' No': -1.2232044, '\n': -4.913178, 'No': -4.912745, ' Yes': -0.38626546, 'Yes': -4.5887895}
{' No': -0.047079016, ' Yes': -3.830173, 'No': -3.9086661, '\n': -5.6738205, 'Yes': -7.709816}
{' No': -0.08869965, '\n': -3.9177322, 'No': -3.574522, ' Yes': -3.340914, 'Yes': -7.065981}
{' No': -0.14096904, '\n': -4.6329637, 'No': -3.1449382, ' Yes': -2.5956638, 'Yes': -6.1335034}
{' No': -0.0921251, '\n': -3.2420084, 'No': -3.3191662, ' Yes': -4.9286175, ' Unfortunately': -5.974922}
{' No': -0.06613952, 'No': -3.4180965, '\n': -4.0721416, ' Yes': -4.6230755, ' Unfortunately': -5.8970222}
{' No': -0.17628658, '\n': -3.091171, 'No': -3.1650753, ' Yes': -2.6811197, 'Yes': -6.1727657}
{' No': -0.04091436, 'No': -3.843536, '\n': -4.210693, ' Yes': -5.7894816, ' ': -8.046466}
{' No': -0.057926163, '\n': -3.5694215, ' ': -7.5959907, 'No': -4.027086, ' Yes': -4.664898}
{' No': -0.24216159, '\n': -4.462199, 'No': -3.823138, ' Yes': -1.7559842, ' Doctor': -5.3221197}
{' No': -0.032201238, '\n': -4.8703375, 'No': -4.1924105, ' Yes': -5.4701953, ' Hospital': -5.7399745}
{' No': -0.06360637, '\n': -3.3966124, ' ': -7.654605, 'No': -4.333515, ' Yes': -4.286766}
{' No': -0.08603957, '\n': -4.3398676, 'No': -3.9650297, ' Yes': -3.096467, ' Patient': -6.1557455}
{' No': -0.008188207, '\n': -7.2019305, ' ': -9.532464, 'No': -5.011646, ' Yes': -7.3815603}
{' No': -0.40801504, '\n': -1.8675791, ' Yes': -2.0663745, 'No': -3.201878, ' Unfortunately': -5.3285666}
{' No': -2.462045, '\n': -2.8099337, 'No': -5.004012, ' Yes': -0.20708783, 'Yes': -3.4876432}
{' No': -0.46730214, '\n': -1.3328531, 'No': -2.828674, ' Yes': -4.6959605, ' Unfortunately': -3.4570234}
{' No': -2.3581986, '\n': -1.3406626, 'No': -5.002058, ' Yes': -0.52131325, 'Yes': -3.3743308}
{' No': -0.20622504, '\n': -2.5103116, 'No': -2.8701577, ' Unfortunately': -3.4647582, ' Yes': -4.651589}
{' No': -0.25365853, '\n': -1.9882568, 'No': -2.7014773, ' Unfortunately': -4.7177663, ' Yes': -5.105486}
{' No': -0.04309831, 'No': -3.8456075, '\n': -4.548395, ' Yes': -4.6408405, ' ': -8.516073}
{' No': -3.1026998, '\n': -5.5918617, 'No': -6.8379707, ' Yes': -0.06502981, 'Yes': -4.374144}
{' No': -0.0483863, 'No': -3.7111118, '\n': -4.1527867, ' Hospital': -5.619675, ' Yes': -6.4981103}
{' No': -0.026433697, 'No': -4.2575088, '\n': -4.569959, ' Yes': -6.8124213, ' ': -8.723403}
{' No': -0.027761353, 'No': -3.7941356, '\n': -5.5530925, ' Unfortunately': -7.9688716, ' Yes': -7.9691024}
{' No': -0.020600624, ' Not': -8.882261, '\n': -5.7544127, 'No': -4.1460295, ' Yes': -6.8822703}
{' No': -0.03103444, 'No': -3.8573856, '\n': -5.1339207, ' Yes': -5.761322, ' ': -8.803779}
{' No': -0.047720674, 'No': -3.2380702, '\n': -5.258679, ' Yes': -6.506705, ' Not': -8.165745}
{' No': -0.029838583, 'No': -4.1641273, '\n': -4.428665, ' Yes': -7.1785927, ' ': -7.5153866}
{' No': -0.05233749, '\n': -3.49896, 'No': -3.9707122, ' Yes': -7.1771574, ' ': -7.2915125}
{' No': -0.040198423, 'No': -3.5003593, '\n': -5.0323687, ' Yes': -6.147055, ' ': -8.276097}
{' No': -0.019157566, ' Not': -8.996544, '\n': -5.5805798, 'No': -4.316086, ' Yes': -6.4650617}
{' No': -0.02795257, '\n': -5.9240108, ' ': -9.175327, 'No': -3.7207985, ' Yes': -7.724385}
{' No': -0.02491896, '\n': -5.2817335, ' ': -9.086368, 'No': -4.037175, ' Yes': -6.4048257}
{' No': -0.15394098, '\n': -4.3417783, 'No': -3.6517189, ' Yes': -2.2987356, 'Yes': -6.2132573}
{' No': -0.025679497, '\n': -4.607566, 'No': -4.53608, ' Yes': -6.157426, ' Hospital': -6.6769567}
{' No': -0.047556642, '\n': -3.412844, 'No': -4.5375657, ' Yes': -6.499411, ' ': -7.4710846}
{' No': -0.018541856, ' Not': -8.292261, '\n': -6.333561, 'No': -4.1878076, ' Yes': -7.0715904}
{' No': -0.029600652, '\n': -5.223284, 'No': -3.8818269, ' Yes': -6.881554, ' Unfortunately': -6.620686}
{' No': -0.0141715575, 'No': -4.4185543, '\n': -6.443714, ' Yes': -8.218534, ' ': -9.68398}
{' No': -0.024630817, '\n': -5.599403, ' ': -9.208525, 'No': -3.8956006, ' Yes': -8.819082}
{' No': -0.0217593, '\n': -6.739446, ' ': -9.48535, 'No': -3.968477, ' Yes': -6.6843686}
{' No': -0.01915465, 'No': -4.3172693, '\n': -5.9526086, ' Yes': -6.113335, ' ': -7.936532}
{' No': -0.028905474, '\n': -4.2240057, ' ': -7.4839907, 'No': -4.3685946, ' Yes': -8.095621}
{' No': -0.019526614, '\n': -6.547374, ' ': -8.638919, 'No': -4.055314, ' Yes': -8.185998}
{' No': -0.02039797, 'No': -4.16277, '\n': -5.6512017, ' Yes': -7.0124364, ' ': -9.236728}
{' No': -0.010825447, 'No': -4.591861, '\n': -7.702447, ' Yes': -9.192691, ' ': -10.008193}
{' No': -0.021532902, '\n': -5.115752, ' ': -8.778093, 'No': -4.2409406, ' Yes': -7.297816}
{' No': -0.27613238, ' Yes': -1.5340192, 'No': -4.356046, '\n': -4.716285, 'Yes': -5.989578}
{' No': -0.036332406, '\n': -4.2121444, ' Hospital': -4.5743876, 'No': -5.420945, ' Yes': -5.537488}
{' No': -0.037724793, '\n': -3.5585854, 'No': -5.043618, ' Yes': -6.934709, ' ': -7.2194014}
{' No': -0.009544014, '\n': -6.7620726, ' ': -9.161855, 'No': -4.8553667, ' Yes': -7.8708186}
{' No': -0.0126716355, 'No': -4.699605, ' Yes': -6.1577787, '\n': -6.793357, ' ': -9.627264}
{' No': -0.012344691, '\n': -6.2035613, ' ': -8.982421, 'No': -4.6212883, ' Yes': -8.504625}
{' No': -0.13354608, '\n': -3.130063, ' ': -6.7366996, 'No': -2.5453808, ' Yes': -7.1373625}
{' No': -0.17684534, 'No': -2.459604, '\n': -3.237905, ' Yes': -3.4168947, 'Yes': -6.1849127}
{' No': -0.13497004, 'No': -2.4959261, '\n': -3.2290592, ' Unfortunately': -6.2992225, ' ': -6.61005}
{' No': -0.15566902, '\n': -2.5811927, ' ': -6.588066, 'No': -2.7531822, ' Unfortunately': -6.6001267}
{' No': -0.116916396, 'No': -2.4623716, '\n': -3.8674922, ' Unfortunately': -6.107013, ' ': -7.027641}
{' No': -0.09435311, '\n': -4.158608, 'No': -2.6471903, ' Yes': -6.7099934, ' Unfortunately': -6.6986012}
{' No': -0.14137973, '\n': -3.2279081, ' ': -6.5741777, 'No': -2.4249547, ' Yes': -6.8076563}
{' No': -0.43526104, '\n': -2.2086012, 'No': -2.5130525, ' Yes': -1.9673274, 'Yes': -4.766693}
{' No': -1.8384036, '\n': -3.165405, 'No': -3.8254948, ' Yes': -0.31569478, 'Yes': -3.1213362}
{' No': -0.59730494, '\n': -1.371473, 'No': -2.5966775, ' Yes': -2.448551, ' Unfortunately': -3.8878987}
{' No': -0.8755, '\n': -1.0386031, 'No': -2.7619824, ' Yes': -1.9980776, 'Yes': -4.3341274}
{' No': -0.39866304, '\n': -2.02529, 'No': -2.356503, ' Yes': -2.7466493, ' Unfortunately': -3.6629565}
{' No': -0.4745277, '\n': -2.449101, 'No': -2.5516877, ' Yes': -1.6589701, 'Yes': -4.3811855}
{' No': -0.3830249, '\n': -2.153521, 'No': -2.142228, ' Yes': -2.6881874, ' Unfortunately': -5.101992}
{' No': -0.14123027, '\n': -3.9061418, 'No': -3.5014062, ' Yes': -2.5432343, 'Yes': -6.1841545}
{' No': -2.3854508, '\n': -4.1882577, 'No': -5.6228333, ' Yes': -0.14147826, 'Yes': -3.918036}
{' No': -0.028349405, '\n': -4.829855, 'No': -4.7253494, ' Yes': -4.746226, ' Hospital': -6.9333386}
{' No': -0.09313753, '\n': -2.9571416, ' Yes': -3.98925, 'No': -4.158582, ' ': -6.655319}
{' No': -0.037684377, 'No': -3.8113642, '\n': -4.4218435, ' Yes': -6.219722, ' ': -7.7173676}
{' No': -0.08747024, 'No': -3.1236105, '\n': -3.4927187, ' Yes': -5.0907145, ' Unfortunately': -6.547635}
{' No': -0.04951585, '\n': -4.3023996, ' ': -8.007544, 'No': -3.4647324, ' Yes': -5.873929}
{' No': -0.50793284, '\n': -2.5817776, 'No': -2.6749344, ' Yes': -1.4359895, 'Yes': -4.317625}
{' No': -0.5317128, ' Yes': -1.7288563, '\n': -1.7924721, 'No': -2.954381, 'Yes': -4.9731383}
{' No': -0.9972511, ' Yes': -1.1920867, '\n': -1.2703301, 'No': -3.5930743, 'Yes': -4.214103}
{' No': -0.20731279, '\n': -2.2162392, 'No': -2.7896242, ' Yes': -4.6611586, ' Unfortunately': -6.116842}
{' No': -0.17446959, ' Yes': -2.8415625, 'No': -2.9673598, '\n': -3.0770993, 'Yes': -6.1970468}
{' No': -0.43375978, ' Yes': -1.4353085, '\n': -2.5270655, 'No': -3.6904144, 'Yes': -4.9403667}
{' No': -0.37906346, '\n': -1.8204069, ' Yes': -2.2465754, 'No': -3.2311215, 'Yes': -5.62189}
{' No': -0.5299641, '\n': -1.0746742, 'No': -3.2192683, ' Unfortunately': -4.207048, ' Yes': -4.847482}
{'\n': -0.69802505, ' Yes': -1.2544388, ' No': -1.6850016, 'Yes': -4.315937, 'No': -4.566056}
{' No': -0.15370582, '\n': -2.5348952, ' ': -6.4492474, 'No': -3.238026, ' Unfortunately': -3.9200535}
{' No': -0.147318, '\n': -2.7002203, 'No': -2.8818169, ' Yes': -4.8898544, ' Unfortunately': -5.7833505}
{' No': -0.24979582, '\n': -1.8493251, 'No': -3.1796684, ' Yes': -3.9805279, ' ': -6.5744987}
{' Yes': -0.074871786, ' No': -3.1183496, 'Yes': -3.9899201, '\n': -4.9646993, 'No': -6.4579034}
{' Yes': -0.036754288, 'Yes': -3.8420007, ' No': -4.6342845, '\n': -5.694422, ' yes': -7.4699283}
{' Yes': -0.13149524, ' Sur': -3.098328, ' No': -3.480851, '\n': -3.7413964, 'Yes': -4.0146184}
{' No': -0.020139342, '\n': -6.505006, ' ': -8.881949, 'No': -4.098684, ' Yes': -6.5121245}
{' No': -3.1697118, '\n': -6.274663, 'No': -7.2731466, ' Yes': -0.056247495, 'Yes': -4.6941295}
{' No': -0.048763677, '\n': -5.62541, 'No': -4.111939, ' Yes': -3.6258893, 'Yes': -7.6209564}
{' No': -0.030214848, '\n': -5.1181016, ' ': -8.43755, 'No': -4.086207, ' Yes': -5.0430393}
{' No': -0.061391287, 'No': -3.0954142, '\n': -4.99594, ' Yes': -5.1506624, ' Unfortunately': -6.9554205}
{' No': -0.079092145, '\n': -3.393114, 'No': -3.6142995, ' Yes': -4.365389, ' Hospital': -6.978803}
{' No': -0.01716385, '\n': -5.8338428, ' ': -8.712934, 'No': -4.343881, ' Yes': -7.21659}
{' No': -0.06089439, '\n': -4.1069913, ' ': -7.7018657, 'No': -3.6687891, ' Yes': -4.175778}
{' No': -0.018128498, '\n': -5.7455034, ' ': -8.744954, 'No': -4.269582, ' Yes': -7.7349863}
{' No': -0.041550163, 'No': -3.780142, '\n': -4.117167, ' Yes': -6.797625, ' ': -8.021761}
{' No': -0.05081812, '\n': -4.9618187, 'No': -4.0389028, ' Yes': -3.7708552, ' Doctor': -6.949019}
{' No': -0.035159875, 'No': -4.6044517, ' Hospital': -4.6424346, '\n': -4.8126426, ' Yes': -5.5220757}
{' No': -0.033981442, '\n': -4.31611, ' ': -7.5737653, 'No': -4.629944, ' Yes': -4.7153034}
{' No': -0.027348883, '\n': -5.1497164, 'No': -4.6960154, ' Yes': -4.587245, ' Patient': -7.4607453}
{' No': -0.009201189, 'No': -4.806673, '\n': -7.1976295, ' Yes': -9.11216, ' ': -9.417654}
{' No': -0.24612923, '\n': -2.3835633, ' Yes': -2.8113337, 'No': -2.923707, ' Unfortunately': -5.067004}
{' No': -2.1737149, '\n': -3.033025, 'No': -4.559621, ' Yes': -0.24067624, 'Yes': -3.3927088}
{' No': -0.59077567, '\n': -1.0961583, 'No': -2.8410008, ' Yes': -4.732362, ' Unfortunately': -3.432418}
{'\n': -0.57657194, ' Yes': -1.1696734, ' No': -2.5509353, 'Yes': -3.5885727, 'No': -4.5383615}
{' No': -0.29710135, '\n': -1.95523, 'No': -2.757541, ' Yes': -4.8171287, ' Unfortunately': -3.4564278}
{' No': -0.21535067, '\n': -2.3686213, 'No': -2.5464702, ' Yes': -4.67415, ' Unfortunately': -5.0020003}
{' No': -0.016054465, 'No': -4.5059433, '\n': -5.5589256, ' Yes': -7.1412444, ' ': -8.815766}
{' Yes': -0.40606853, ' No': -1.173002, 'Yes': -4.7322364, '\n': -4.79219, 'No': -5.0538917}
{' No': -0.045749698, '\n': -3.9688988, 'No': -4.4843655, ' Hospital': -4.4961357, ' ': -6.8035145}
{' No': -0.02976078, '\n': -4.2141633, 'No': -4.306734, ' ': -7.8851833, ' Yes': -7.980486}
{' No': -0.022088422, '\n': -5.6358743, ' ': -8.423798, 'No': -4.0248346, ' Yes': -9.136288}
{' No': -0.012359657, 'No': -4.624607, '\n': -6.1521716, ' Yes': -8.630188, ' ': -9.646903}
{' No': -0.027379943, 'No': -3.8731554, '\n': -5.3465843, ' Yes': -6.703754, ' ': -9.001032}
{' No': -0.038051102, 'No': -3.450534, ' Yes': -5.5913057, '\n': -6.4542227, 'Yes': -9.3533125}
{' No': -0.018824302, 'No': -4.282519, '\n': -5.448601, ' Yes': -8.438569, ' ': -8.83271}
{' No': -0.045954436, '\n': -3.7223952, 'No': -3.9259152, ' ': -7.837541, ' Yes': -7.9136395}
{' No': -0.02740941, 'No': -3.8903184, '\n': -5.7096376, ' Yes': -5.807322, ' ': -9.088597}
{' No': -0.012963058, 'No': -4.5275655, ' Yes': -6.5812197, '\n': -7.5516114, ' Not': -9.402721}
{' No': -0.019761434, '\n': -7.1390104, ' ': -9.831816, 'No': -3.9928238, ' Yes': -8.4090185}
{' No': -0.026224347, '\n': -5.5302815, ' ': -9.237631, 'No': -4.128144, ' Yes': -5.1922035}
{' No': -0.15920043, ' Yes': -2.0515897, 'No': -4.264707, '\n': -5.8882957, 'Yes': -6.5201006}
{' No': -0.015443614, 'No': -4.524305, '\n': -5.969173, ' Yes': -6.552497, ' Not': -8.537738}
{' No': -0.02891271, ' Not': -8.324159, '\n': -4.3592305, 'No': -4.2977495, ' Yes': -6.631812}
{' No': -0.027579177, ' Not': -8.897191, '\n': -6.2641797, 'No': -3.8810754, ' Yes': -5.4660687}
{' No': -0.010080931, ' Not': -9.62546, '\n': -8.656811, 'No': -4.692244, ' Yes': -7.556124}
{' No': -0.011850525, 'No': -4.583681, '\n': -6.946371, ' Yes': -7.649637, ' ': -9.88261}
{' No': -0.023432765, '\n': -5.781167, ' ': -9.230692, 'No': -3.9210443, ' Yes': -8.996411}
{' No': -0.033044335, 'No': -3.5171711, ' Yes': -6.334478, '\n': -7.004008, ' ': -9.714647}
{' No': -0.020677354, '\n': -5.7641788, 'No': -4.118961, ' Yes': -7.644373, ' Hospital': -8.435799}
{' No': -0.021520907, '\n': -4.932312, ' ': -8.538267, 'No': -4.2877007, ' no': -9.747143}
{' No': -0.023096679, 'No': -3.8691392, '\n': -6.825312, ' Yes': -7.335192, ' ': -9.170806}
{' No': -0.024459966, '\n': -7.0851307, 'No': -3.839937, ' Yes': -6.3776526, 'Yes': -10.161476}
{' No': -0.012588759, '\n': -7.685573, ' ': -9.940615, 'No': -4.43289, ' Yes': -9.321159}
{' No': -0.022814488, '\n': -5.528071, ' ': -8.947828, 'No': -4.4659753, ' Yes': -4.9868226}
{' No': -0.47703737, ' Yes': -1.0126762, 'No': -4.7071414, 'Yes': -5.5454216, '\n': -5.8873153}
{' No': -0.013860382, '\n': -5.9686713, 'No': -4.6939635, ' Yes': -6.6854887, ' Hospital': -8.095853}
{' No': -0.011181249, 'No': -4.8385086, '\n': -5.8987713, ' Yes': -8.511574, ' ': -9.320946}
{' No': -0.014347496, '\n': -6.9959416, 'No': -4.5149865, ' Yes': -6.2195435, ' Unfortunately': -8.807898}
{' No': -0.01597179, 'No': -4.5608172, ' Yes': -5.425451, '\n': -7.2499776, ' Unfortunately': -9.547698}
{' No': -0.016540948, 'No': -4.165886, '\n': -7.2597904, ' Yes': -9.335531, ' ': -9.7708235}
{' No': -0.102119684, 'No': -2.7878094, '\n': -3.5110912, ' Yes': -5.436754, ' ': -7.2457104}
{' No': -0.1600168, 'No': -2.7975843, ' Yes': -2.998285, '\n': -3.4001975, 'Yes': -6.0760684}
{' No': -0.09739252, 'No': -2.7461143, '\n': -3.6711383, ' Unfortunately': -6.946454, ' ': -6.950708}
{' No': -0.14076819, 'No': -2.5891705, '\n': -3.0526009, ' Yes': -5.211462, ' Unfortunately': -6.4961085}
{' No': -0.08600696, '\n': -4.61002, 'No': -2.67833, ' Yes': -6.4521985, ' Unfortunately': -6.7114205}
{' No': -0.06874548, '\n': -5.0500703, 'No': -2.8634634, ' Yes': -6.426263, ' Unfortunately': -7.291449}
{' No': -0.13815999, 'No': -2.2503903, '\n': -3.809308, ' ': -7.287622, ' Yes': -7.953041}
{' No': -0.66672784, ' Yes': -1.0606449, '\n': -2.6581562, 'No': -3.0319736, 'Yes': -4.1839933}
{' No': -2.9341, '\n': -4.7346406, 'No': -5.3904386, ' Yes': -0.106108375, 'Yes': -3.4177823}
{' No': -0.76394033, '\n': -1.543838, 'No': -3.1266072, ' Yes': -1.371675, 'Yes': -4.6005073}
{' No': -0.9446436, ' Yes': -1.0031192, '\n': -1.7593048, 'No': -3.239306, 'Yes': -3.6761062}
{' No': -0.18057442, 'No': -2.4438114, '\n': -3.5269372, ' Yes': -3.6995258, ' Unfortunately': -3.9347324}
{' No': -0.4671383, '\n': -3.4340343, 'No': -2.9070432, ' Yes': -1.3113403, 'Yes': -4.4203014}
{' No': -0.33319858, '\n': -2.4565468, 'No': -2.30365, ' Yes': -2.483284, 'Yes': -5.1550274}
{' No': -0.11784575, ' Yes': -2.5802462, 'No': -3.7845747, '\n': -4.5362625, 'Yes': -6.484003}
{' No': -0.8885236, '\n': -4.8248043, 'No': -4.5923085, ' Yes': -0.5793346, 'Yes': -4.6413403}
{' No': -0.016884904, 'No': -4.771947, ' Yes': -5.274068, '\n': -5.975421, ' Unfortunately': -8.7236595}
