{' No': -0.09881018, ' Yes': -2.6181371, 'No': -4.0900593, '\n': -5.7983394, 'Yes': -6.7311544}
{' No': -0.3779568, '\n': -4.5544453, 'No': -4.614847, ' Yes': -1.2439637, 'Yes': -5.869824}
{' No': -6.189842, '\n': -3.9939554, ' Yes': -0.0527173, ' The': -7.881681, 'Yes': -3.5163343}
{' Yes': -0.17237048, '\n': -2.331882, 'Yes': -3.0646641, ' No': -4.558801, 'No': -6.5910153}
{' Yes': -0.17738356, ' No': -2.2677937, 'Yes': -3.7193983, '\n': -3.8293302, 'No': -4.6758575}
{' Yes': -0.047441136, 'Yes': -3.2734275, '\n': -4.915035, ' The': -7.9053984, ' No': -8.232736}
{' No': -0.26004654, 'No': -2.2516541, '\n': -2.6656728, ' Yes': -3.8336132, ' Unfortunately': -3.8491597}
{' No': -0.13120434, ' Yes': -2.4586768, 'No': -3.7356563, '\n': -4.4900126, 'Yes': -6.2032804}
{' No': -0.046193045, 'No': -3.7709854, ' Yes': -3.8895023, '\n': -6.80378, 'Yes': -7.9494457}
{' No': -0.10256121, '\n': -3.9920952, 'No': -3.5061843, ' Yes': -3.0463514, 'Yes': -7.085992}
{' No': -0.28724682, ' Yes': -1.6004392, '\n': -3.8848073, 'No': -3.8868468, 'Yes': -5.2205086}
{' No': -0.037196953, 'No': -3.6198156, ' Yes': -5.100551, '\n': -5.77276, ' Not': -8.515319}
{' No': -0.29564235, '\n': -4.83024, 'No': -3.6189265, ' Yes': -1.5350183, 'Yes': -5.223966}
{' No': -0.71234155, '\n': -3.5031357, 'No': -4.091198, ' Yes': -0.795336, 'Yes': -4.548918}
{' No': -4.9181485, '\n': -5.855147, ' Yes': -0.023075573, ' yes': -8.6102, 'Yes': -4.408015}
{' No': -0.5804388, ' Yes': -1.0003169, '\n': -3.116457, 'No': -3.8919716, 'Yes': -5.0667825}
{' Yes': -0.08079473, ' No': -3.3825808, '\n': -3.833665, 'Yes': -3.9434118, ' Sur': -6.8713236}
{' No': -0.043725908, ' Not': -6.98806, '\n': -4.9480953, 'No': -3.6814325, ' Yes': -4.7172832}
{' No': -0.2663683, ' Yes': -1.6147056, 'No': -4.120603, '\n': -4.500371, 'Yes': -5.575469}
{' No': -0.03350563, '\n': -4.77621, ' ': -9.029651, 'No': -3.8548138, ' Yes': -5.7685933}
{' No': -0.447758, ' Yes': -1.1076033, 'No': -3.9385757, 'Yes': -5.0319557, '\n': -5.4432144}
{' No': -0.021221802, 'No': -4.04563, ' Yes': -6.0969353, '\n': -6.813578, ' ': -9.595274}
{' No': -0.044283304, 'No': -3.7328207, ' Yes': -4.496195, '\n': -4.889561, 'Yes': -8.110077}
{' No': -0.042784467, '\n': -5.4419293, ' ': -8.651119, 'No': -3.4109385, ' Yes': -5.5076776}
{' No': -0.4547986, '\n': -5.7595773, 'No': -3.8793075, ' Yes': -1.0978591, 'Yes': -4.85892}
{' No': -0.23419335, '\n': -4.583228, 'No': -4.18785, ' Yes': -1.7148873, 'Yes': -5.7666407}
{' No': -2.7840183, '\n': -5.615149, 'No': -7.020594, ' Yes': -0.0783129, 'Yes': -4.771094}
{' No': -0.15451701, ' Yes': -2.1042469, 'No': -4.4343653, '\n': -4.8228784, 'Yes': -6.945769}
{' No': -0.17786667, '\n': -3.6910443, 'No': -4.2031865, ' Yes': -2.128346, 'Yes': -6.0986104}
{' No': -0.036663085, '\n': -5.107815, ' ': -8.527556, 'No': -3.9485035, ' Yes': -4.619423}
{' No': -0.7813679, '\n': -5.2510543, 'No': -4.868583, ' Yes': -0.6514602, 'Yes': -4.8772902}
{' No': -0.630015, '\n': -2.276883, 'No': -3.1366355, ' Yes': -1.1883284, 'Yes': -4.2233243}
{' Yes': -0.22147858, ' No': -2.275533, '\n': -2.8399897, 'Yes': -3.5282433, 'No': -4.991193}
{' No': -0.23528266, '\n': -2.2659316, ' ': -6.48311, 'No': -2.594047, ' Yes': -3.5855134}
{' No': -0.73248553, '\n': -2.2398403, 'No': -3.3776042, ' Yes': -1.0319184, 'Yes': -3.896401}
{' No': -0.15701762, 'No': -2.3169334, '\n': -3.2485414, ' Yes': -5.2933106, ' Unfortunately': -6.7569075}
{' No': -0.34154156, ' Yes': -1.7338088, '\n': -2.9285908, 'No': -3.0061305, 'Yes': -4.830698}
{' No': -5.538409, '\n': -3.8546913, ' ': -7.6674256, ' Yes': -0.059945006, 'Yes': -3.4488878}
{' No': -4.3137417, '\n': -3.950472, 'No': -6.5821214, ' Yes': -0.07294883, 'Yes': -3.3447173}
{' Yes': -0.19517396, '\n': -2.6420884, ' No': -2.8651052, 'Yes': -3.253062, 'No': -4.901816}
{' No': -6.2709446, '\n': -3.0576847, ' ': -7.0534577, ' Yes': -0.102806725, 'Yes': -3.053429}
{' No': -0.55543625, ' Yes': -1.4991997, '\n': -2.278739, 'No': -2.6493845, 'Yes': -4.4584436}
{' Yes': -0.107294045, 'Yes': -3.1640356, ' No': -3.570606, '\n': -3.6298559, 'No': -5.7714114}
{' No': -1.2100589, '\n': -2.8861701, 'No': -3.7518733, ' Yes': -0.5112635, 'Yes': -3.856524}
{' No': -1.6782598, '\n': -2.7248452, 'No': -4.0476656, ' Yes': -0.3470814, 'Yes': -3.8449736}
{' No': -0.6359834, ' Yes': -1.2769117, '\n': -1.9846619, 'No': -3.2253067, 'Yes': -4.3612986}
{' No': -0.13531016, '\n': -2.8585079, 'No': -2.9114692, ' Yes': -4.610995, ' Unfortunately': -6.0714154}
{' No': -3.403971, '\n': -3.7614424, 'No': -6.1862297, ' Yes': -0.08825144, 'Yes': -3.7401717}
{' Yes': -0.3174307, ' No': -1.7774583, '\n': -2.5991383, 'Yes': -4.0324078, 'No': -4.7508965}
{' No': -0.97500294, ' Yes': -1.2152679, '\n': -1.2561538, 'No': -3.6791599, 'Yes': -4.7869596}
{' Yes': -0.16835299, '\n': -2.1280448, 'Yes': -3.7599702, ' No': -4.5693746, ' ': -7.116053}
{' No': -0.26166064, '\n': -1.9733001, 'No': -3.2421882, ' Yes': -3.610299, ' Unfortunately': -3.981572}
{' No': -1.2793298, '\n': -2.8403993, 'No': -3.9964774, ' Yes': -0.48014683, 'Yes': -3.838459}
{' No': -9.204633, '\n': -6.9171095, ' Yes': -0.019614628, ' yes': -8.625455, 'Yes': -4.015317}
{' No': -8.214813, '\n': -6.276642, ' Yes': -0.021497643, ' yes': -8.097256, 'Yes': -3.9813077}
{'\n': -5.5917506, ' Yes': -0.025520386, ' yes': -8.083133, ' Sur': -7.1409836, 'Yes': -3.9232442}
{' No': -0.16183566, '\n': -4.371587, 'No': -3.4415197, ' Yes': -2.2902918, 'Yes': -5.968438}
{' Yes': -0.03644757, 'Yes': -4.006996, ' No': -4.59284, '\n': -5.226877, ' Patient': -7.2158947}
{' No': -0.049539525, 'No': -3.5114095, '\n': -4.4925323, ' Yes': -5.0183883, ' ': -8.412544}
{' No': -0.25999615, '\n': -4.006063, 'No': -3.6325564, ' Yes': -1.7209908, 'Yes': -5.657329}
{' No': -0.15399708, '\n': -3.1357262, 'No': -3.0058494, ' Yes': -3.0811477, 'Yes': -6.708965}
{' No': -0.11271217, '\n': -3.7007058, 'No': -3.473983, ' Yes': -3.0284128, 'Yes': -6.906911}
{' Yes': -0.11348431, ' No': -2.6905985, '\n': -3.9384484, 'Yes': -4.1247506, 'No': -6.0120015}
{' No': -0.51899683, ' Yes': -1.0360122, '\n': -3.5081058, 'No': -4.431783, 'Yes': -4.9302287}
{' Yes': -0.46823436, ' No': -1.0792706, '\n': -4.3194156, 'Yes': -4.8027334, 'No': -5.0121393}
{' No': -0.097658716, ' Yes': -2.885113, 'No': -3.7191412, '\n': -4.494807, 'Yes': -7.196429}
{' Yes': -0.1513962, ' No': -2.4112933, '\n': -3.8100286, 'Yes': -4.354262, ' Sur': -4.4070344}
{' No': -0.5101078, ' Yes': -1.0325288, '\n': -3.8408973, 'No': -4.251176, 'Yes': -5.012173}
{' No': -7.025952, '\n': -3.481545, ' ': -7.7356644, ' Yes': -0.05445163, 'Yes': -3.891013}
{' No': -3.3102932, '\n': -2.692463, 'No': -6.1762385, ' Yes': -0.1409818, 'Yes': -3.815113}
{' Yes': -0.5857866, ' No': -1.2539403, '\n': -2.0767095, 'No': -4.22623, 'Yes': -4.41839}
{' No': -6.4610763, '\n': -2.5001042, ' ': -7.3283095, ' Yes': -0.1277249, 'Yes': -3.3633585}
{' No': -0.21746299, '\n': -2.293978, 'No': -3.134972, ' Yes': -3.7964387, ' Unfortunately': -3.8566802}
{' No': -0.03636529, 'No': -3.8088565, '\n': -4.8281455, ' Yes': -5.2751994, ' ': -8.543862}
{' No': -0.05120839, 'No': -3.5479848, ' Yes': -4.2610106, '\n': -5.0623856, 'Yes': -8.078818}
{' No': -0.0747006, '\n': -3.5326738, ' ': -7.243291, 'No': -3.3921976, ' Yes': -4.837859}
{' No': -0.1694273, '\n': -3.0508358, 'No': -3.8220685, ' Yes': -2.4929576, 'Yes': -6.18719}
{' No': -0.06585039, 'No': -3.2333953, '\n': -3.8909445, ' Yes': -5.786799, ' ': -7.7278695}
{' No': -0.11090373, '\n': -3.9636714, 'No': -3.8601255, ' Yes': -2.7705736, 'Yes': -6.4205804}
{' No': -0.052887525, '\n': -4.606819, 'No': -4.061138, ' Yes': -3.7459166, 'Yes': -7.913147}
{' No': -2.4306448, '\n': -5.157137, 'No': -6.543684, ' Yes': -0.11103033, 'Yes': -4.6847434}
{' No': -0.07191617, 'No': -3.7185106, '\n': -3.7445674, ' Yes': -3.9033237, ' ': -7.725171}
{' No': -0.3166106, ' Yes': -1.7684939, '\n': -2.590771, 'No': -4.242155, ' Sur': -5.068344}
{' No': -0.027056549, ' Not': -7.8835816, '\n': -5.798725, 'No': -3.8288047, ' Yes': -6.680968}
{' No': -0.07558064, '\n': -4.0563583, 'No': -3.8868027, ' Yes': -3.4755821, ' The': -6.8211093}
{' No': -0.026960226, '\n': -5.5787463, ' ': -9.016437, 'No': -3.808502, ' Yes': -7.6475534}
{' No': -0.037308376, '\n': -5.9218335, 'No': -3.7129748, ' Yes': -4.694054, 'Yes': -8.694713}
{' No': -0.029913502, 'No': -3.749539, '\n': -5.3640027, ' Yes': -7.2590275, ' ': -7.9845104}
{' No': -0.06764951, '\n': -3.5038218, 'No': -3.6602533, ' Yes': -5.0099425, ' Sur': -6.395725}
{' No': -0.03170654, '\n': -6.3500843, ' ': -8.765531, 'No': -3.5796134, ' Yes': -6.6492443}
{' No': -0.042255256, 'No': -3.6802003, ' Yes': -4.6970825, '\n': -5.0388374, 'Yes': -8.23648}
{' No': -0.049890142, '\n': -4.5789733, 'No': -4.4483104, ' Yes': -3.6457381, 'Yes': -8.121678}
{' No': -2.225416, '\n': -5.090379, 'No': -6.612144, ' Yes': -0.13196361, 'Yes': -4.9125705}
{' No': -0.021676036, 'No': -4.4944696, ' Yes': -4.9965315, '\n': -5.756231, ' ': -8.580253}
{' No': -0.034573413, '\n': -4.133147, ' Yes': -4.690188, 'No': -4.816689, ' ': -8.14226}
{' No': -0.01645066, 'No': -4.29977, '\n': -6.4784923, ' Yes': -7.0130515, ' ': -9.103688}
{' No': -0.19980861, '\n': -4.5332894, 'No': -4.3822618, ' Yes': -1.8694957, 'Yes': -5.920702}
{' No': -0.72323006, '\n': -2.1424387, 'No': -3.1150126, ' Yes': -1.1001166, 'Yes': -4.0766826}
{' No': -1.3008226, '\n': -2.3762333, 'No': -3.7779975, ' Yes': -0.5392774, 'Yes': -3.656257}
{' No': -0.2356712, '\n': -2.3696642, ' ': -6.1269064, 'No': -2.5047789, ' Yes': -3.4924192}
{' No': -0.8146298, ' Yes': -0.9727757, '\n': -2.1499798, 'No': -3.3343363, 'Yes': -3.7398179}
{' No': -0.14119306, '\n': -3.303583, ' ': -6.6673408, 'No': -2.4128187, ' Yes': -6.1073127}
{' No': -0.22570825, '\n': -3.1017401, 'No': -2.6278822, ' Yes': -2.5549738, 'Yes': -5.4154224}
{' No': -5.4804215, '\n': -3.5653062, ' ': -6.9443707, ' Yes': -0.07548782, 'Yes': -3.2665699}
{' No': -5.136699, '\n': -3.6433349, ' ': -7.1372657, ' Yes': -0.0805262, 'Yes': -3.1464498}
{' No': -2.5865488, '\n': -2.0280504, 'No': -4.491456, ' Yes': -0.30294898, 'Yes': -3.2536075}
{' No': -6.298532, '\n': -2.268797, ' ': -6.236456, ' Yes': -0.1731281, 'Yes': -2.9807832}
{' No': -0.6550415, '\n': -1.7433078, 'No': -2.8063703, ' Yes': -1.5555161, ' Unfortunately': -4.37616}
{' Yes': -0.12901565, 'Yes': -3.0767446, '\n': -3.3089054, ' No': -3.4465547, 'No': -5.572838}
{' No': -1.4234117, '\n': -2.604234, 'No': -3.7377982, ' Yes': -0.46194214, 'Yes': -3.5506947}
{' Yes': -0.44422767, ' No': -1.5050969, '\n': -2.3664727, 'Yes': -3.9184306, 'No': -3.9439585}
{' No': -0.5140064, '\n': -1.5188224, ' Yes': -2.052058, 'No': -3.0963104, 'Yes': -4.972262}
{' No': -0.13772845, '\n': -2.7011173, ' ': -6.702725, 'No': -3.1165776, ' Yes': -4.317715}
{' No': -1.2252164, '\n': -2.97752, 'No': -4.017918, ' Yes': -0.48555216, 'Yes': -3.9891875}
{' No': -0.7623878, '\n': -1.8536812, 'No': -3.7004828, ' Yes': -1.0875145, 'Yes': -4.61992}
{' No': -0.6332369, '\n': -1.3436518, ' Yes': -1.8464134, 'No': -3.299237, 'Yes': -5.375348}
{' Yes': -0.26596168, '\n': -1.6530067, 'Yes': -3.7640083, ' No': -4.1935315, ' ': -6.497344}
{' No': -0.2611333, '\n': -1.7796117, 'No': -3.3910427, ' Yes': -4.3566723, ' Unfortunately': -4.8113155}
{' No': -0.40347618, ' Yes': -1.8460554, '\n': -2.088081, 'No': -3.2662158, 'Yes': -5.2484736}
{' Yes': -0.013466837, 'Yes': -4.4450464, '\n': -6.815278, ' No': -8.061803, ' yes': -9.043342}
{' Yes': -0.02093259, 'Yes': -4.021991, '\n': -6.3239145, ' yes': -7.8185987, ' No': -7.911437}
{' No': -7.6149282, '\n': -6.165212, ' Yes': -0.023782207, ' Sur': -4.787021, 'Yes': -4.4411197}
{' No': -0.034812413, '\n': -5.993888, ' ': -8.267282, 'No': -4.022153, ' Yes': -4.3361545}
{' Yes': -0.036759235, ' No': -4.061534, 'Yes': -4.347245, '\n': -5.5506177, ' Patient': -7.3584332}
{' No': -0.030254899, 'No': -3.9613438, '\n': -5.042477, ' Yes': -5.5570197, ' ': -8.494829}
{' No': -0.1654188, ' Yes': -2.403099, 'No': -3.3548145, '\n': -3.770773, 'Yes': -6.1414795}
{' No': -0.044946, '\n': -4.554679, ' ': -7.960801, 'No': -3.6230917, ' Yes': -5.18686}
{' No': -0.038987663, '\n': -5.409433, 'No': -3.8887267, ' Yes': -4.3753314, 'Yes': -8.477496}
{' Yes': -0.7039685, ' No': -0.7404142, '\n': -4.4699235, 'No': -4.7500134, 'Yes': -5.0773873}
{' No': -0.052617464, '\n': -4.098323, ' ': -7.637149, 'No': -3.9512112, ' Yes': -4.2359285}
{' No': -0.25969765, ' Yes': -1.6577861, 'No': -4.082045, '\n': -4.1207147, 'Yes': -5.870358}
{' No': -0.0581777, '\n': -4.913322, 'No': -4.067489, ' Yes': -3.5926414, ' Hospital': -5.8179293}
{' Yes': -0.7238649, ' No': -0.8189825, ' Sur': -3.196281, '\n': -4.016013, 'No': -4.9604564}
{' No': -0.17902994, ' Yes': -2.0110247, '\n': -4.181824, 'No': -4.476792, 'Yes': -6.3411865}
{' No': -7.248348, '\n': -3.456787, ' ': -7.5650463, ' Yes': -0.07092693, 'Yes': -3.353666}
{' Yes': -0.17356186, '\n': -2.531106, ' No': -3.0671394, 'Yes': -3.6352108, 'No': -5.7290063}
{' No': -0.66685224, '\n': -1.463279, 'No': -3.0522013, ' Yes': -1.6793187, ' Unfortunately': -4.884015}
{' Yes': -0.18537213, '\n': -2.209708, 'Yes': -2.89885, ' ': -6.547267, ' The': -6.687851}
{' No': -0.28702158, '\n': -1.9512596, 'No': -2.804451, ' Yes': -4.0276923, ' Unfortunately': -4.0693016}
{' No': -0.03550795, 'No': -3.6721637, ' Yes': -5.2714868, '\n': -5.512828, 'Yes': -8.913872}
{' No': -0.029794615, '\n': -7.4397655, 'No': -3.839773, ' Yes': -4.9487553, 'Yes': -9.035169}
{' No': -0.046104033, 'No': -3.440021, '\n': -4.9519477, ' Yes': -5.202493, ' ': -8.534672}
{' No': -0.05910358, '\n': -3.963093, 'No': -3.9196188, ' Yes': -4.0499597, 'Yes': -7.7666454}
{' No': -0.040184837, 'No': -3.5193582, '\n': -5.170644, ' Yes': -5.6390266, ' ': -8.502188}
{' No': -0.08492839, '\n': -6.0739565, 'No': -3.7495325, ' Yes': -2.9158266, 'Yes': -6.676679}
{' No': -0.071078904, ' Yes': -3.0359318, 'No': -4.2558765, '\n': -5.2110705, 'Yes': -7.197049}
{' No': -3.3345869, '\n': -6.262592, 'No': -7.436752, ' Yes': -0.050136596, 'Yes': -4.5736427}
{' No': -0.24137923, ' Yes': -1.6594433, 'No': -4.2316937, '\n': -4.919455, 'Yes': -6.238516}
{' No': -0.93895596, '\n': -4.4487786, 'No': -5.0717454, ' Yes': -0.5437287, 'Yes': -4.692023}
{' No': -0.033213396, ' Not': -8.452028, '\n': -5.8793645, 'No': -3.6812065, ' Yes': -5.477116}
{' No': -0.037168372, '\n': -6.514131, 'No': -4.2567673, ' Yes': -3.8967721, 'Yes': -8.024316}
{' No': -0.022407895, 'No': -3.9578059, '\n': -5.959761, ' Yes': -7.9847107, ' ': -9.21966}
{' No': -0.09554322, '\n': -5.99177, 'No': -3.411995, ' Yes': -2.918011, 'Yes': -6.5702953}
{' No': -0.017521063, 'No': -4.1123924, '\n': -7.649923, ' Yes': -7.7707424, ' ': -9.722827}
{' No': -0.033022527, '\n': -5.4482827, ' ': -9.287978, 'No': -3.6074433, ' Yes': -7.0566177}
{' No': -0.032317583, '\n': -6.0676794, ' ': -8.678782, 'No': -3.630731, ' Yes': -5.9399314}
{' No': -0.060993787, ' Yes': -3.4896512, 'No': -3.6653466, '\n': -6.1522026, 'Yes': -7.1791425}
{' No': -0.08474757, ' Yes': -2.8536723, 'No': -4.2047367, '\n': -4.87743, 'Yes': -7.138071}
{' Yes': -0.040919703, ' No': -3.5747082, 'Yes': -4.595706, '\n': -6.68192, 'No': -7.7587256}
{' No': -0.16503474, '\n': -5.205947, 'No': -4.2682033, ' Yes': -2.0328612, 'Yes': -6.635413}
{' No': -0.040398926, ' Yes': -3.7732592, 'No': -4.686195, '\n': -5.011783, 'Yes': -8.180858}
{' No': -0.019989075, 'No': -4.2151527, ' Yes': -5.816724, '\n': -6.3728, ' ': -8.936586}
{' No': -0.7037112, '\n': -5.728518, 'No': -4.8004575, ' Yes': -0.7218958, 'Yes': -4.888943}
{' No': -0.82168645, '\n': -2.628159, 'No': -3.375342, ' Yes': -0.8377044, 'Yes': -3.9429367}
{' No': -1.3122356, '\n': -2.5766895, 'No': -3.9228501, ' Yes': -0.49846143, 'Yes': -3.6721406}
{' No': -0.2609214, ' Yes': -2.3123016, '\n': -2.6991692, 'No': -2.8524184, 'Yes': -5.5728474}
{' No': -0.88687676, '\n': -2.34802, 'No': -3.5323768, ' Yes': -0.82819146, 'Yes': -3.709827}
{' No': -0.13660279, 'No': -2.4849055, '\n': -3.2594168, ' Yes': -5.6397724, ' ': -6.782549}
{' No': -0.34960043, '\n': -3.5084636, 'No': -3.1085973, ' Yes': -1.5618672, 'Yes': -4.6954365}
{' No': -6.228042, '\n': -3.8532157, ' ': -7.564788, ' Yes': -0.057998423, 'Yes': -3.4445302}
{' No': -5.5385075, '\n': -5.0381126, ' Yes': -0.040468562, ' The': -7.970408, 'Yes': -3.5725977}
{' No': -2.8708746, '\n': -2.7448902, 'No': -5.060545, ' Yes': -0.17556983, 'Yes': -3.464247}
{' No': -7.5414753, '\n': -3.2099075, ' ': -7.280447, ' Yes': -0.0862066, 'Yes': -3.2095983}
{' No': -0.3710635, ' Yes': -2.125027, '\n': -2.2771227, 'No': -2.6859, ' Unfortunately': -4.7228546}
{' Yes': -0.090817004, 'Yes': -3.1772711, ' No': -3.8231337, '\n': -3.934626, 'No': -6.072769}
{' Yes': -0.09167033, ' No': -3.4220498, 'Yes': -3.5613225, '\n': -3.774127, 'No': -6.053563}
{' Yes': -0.3277307, ' No': -1.6341156, '\n': -3.0193827, 'Yes': -4.0111794, 'No': -4.223309}
{' Yes': -0.68290365, ' No': -1.0076069, '\n': -2.4294477, 'No': -3.8325558, 'Yes': -4.0006676}
{' No': -0.10364821, '\n': -3.2967114, 'No': -2.991887, ' Yes': -4.873633, ' Unfortunately': -6.6386843}
{' Yes': -0.24105355, ' No': -1.8423854, '\n': -3.6638324, 'Yes': -3.951623, 'No': -4.8380575}
{' Yes': -0.38439617, ' No': -1.4226557, '\n': -3.0380921, 'Yes': -4.131924, 'No': -4.489363}
{' No': -0.52796507, '\n': -2.1379046, 'No': -3.4623656, ' Yes': -1.4063753, ' Unfortunately': -5.1776214}
{' No': -3.8421721, '\n': -2.3587756, 'No': -6.8946357, ' Yes': -0.15917933, 'Yes': -3.5635676}
{' No': -0.21189675, '\n': -2.3228776, 'No': -3.1990678, ' Yes': -3.8435721, ' Unfortunately': -3.7977138}
{' No': -0.4622695, ' Yes': -1.3615406, '\n': -2.7241638, 'No': -3.4393601, 'Yes': -4.888846}
{' Yes': -0.0073631615, 'Yes': -4.9972615, ' No': -7.991339, '\n': -9.223188, ' yes': -9.266047}
{' No': -6.8740907, '\n': -7.374953, ' Yes': -0.015484657, ' yes': -8.356274, 'Yes': -4.315314}
{' Yes': -0.014566832, 'Yes': -4.46134, '\n': -7.0173874, ' No': -7.082176, ' Sur': -7.188643}
{' No': -0.036196314, 'No': -3.7169344, ' Yes': -4.715913, '\n': -6.267174, ' ': -8.695982}
{' No': -3.2473667, '\n': -7.326085, 'No': -7.193699, ' Yes': -0.052338623, 'Yes': -4.5865507}
{' No': -0.021730851, 'No': -4.1565075, ' Yes': -5.7390065, '\n': -6.030924, ' ': -9.100413}
{' No': -0.08497336, ' Yes': -3.1695716, 'No': -3.5235927, '\n': -4.7654715, 'Yes': -7.02989}
{' No': -0.046899226, '\n': -4.862582, ' ': -8.264657, 'No': -3.5266185, ' Yes': -4.82225}
{' No': -0.05190672, '\n': -5.9042473, 'No': -3.785589, ' Yes': -3.712221, 'Yes': -7.835588}
{' Yes': -0.34599313, ' No': -1.2948838, 'Yes': -4.824665, 'No': -5.31513, '\n': -5.497038}
{' No': -0.13760136, '\n': -4.484546, 'No': -4.0876684, ' Yes': -2.325233, 'Yes': -6.180431}
{' No': -0.35602984, ' Yes': -1.2891467, 'No': -4.350521, '\n': -5.4897614, 'Yes': -5.6251736}
{' No': -0.06777797, ' Yes': -3.240242, 'No': -3.7763958, '\n': -5.9573703, 'Yes': -7.5832934}
{' No': -0.53166145, '\n': -3.824611, 'No': -4.4332323, ' Yes': -1.0142606, ' Sur': -4.6548223}
{' No': -0.051658258, '\n': -5.4333315, 'No': -3.735675, ' Yes': -3.8482356, 'Yes': -7.633266}
{' No': -7.247383, '\n': -3.8613646, ' ': -7.6787395, ' Yes': -0.045755748, 'Yes': -3.8280127}
{' No': -4.251607, '\n': -2.9241552, ' Yes': -0.10071095, ' The': -6.83932, 'Yes': -3.7048616}
{' No': -0.9175897, '\n': -1.5309224, 'No': -3.6952481, ' Yes': -1.0772082, 'Yes': -4.7349496}
{' Yes': -0.17095287, '\n': -2.1985276, 'Yes': -3.1613147, ' No': -6.393492, ' ': -7.0120244}
{' No': -0.24776499, '\n': -2.1764777, 'No': -2.9718287, ' Yes': -3.4936316, ' Unfortunately': -4.1366596}
{' No': -0.07245707, ' Yes': -3.7002587, '\n': -3.7809968, 'No': -3.845757, 'Yes': -7.4938264}
{' No': -0.03777555, 'No': -3.817427, ' Yes': -4.5095887, '\n': -5.6217594, 'Yes': -8.603981}
{' No': -0.09284253, '\n': -3.3610234, 'No': -3.3893228, ' Yes': -3.961832, ' ': -7.418213}
{' No': -0.48897344, ' Yes': -1.5691375, '\n': -1.8915213, 'No': -4.1964374, ' Sur': -5.175489}
{' No': -0.038727835, 'No': -3.547845, '\n': -4.904172, ' Yes': -6.5599527, ' ': -8.53716}
{' No': -0.06420858, ' Yes': -3.3366275, 'No': -4.1176734, '\n': -4.6869655, 'Yes': -7.259143}
{' No': -0.29229292, ' Yes': -1.6846842, '\n': -3.1022313, 'No': -4.032356, 'Yes': -5.5226283}
{' Yes': -0.01855254, 'Yes': -4.468389, ' No': -5.5383906, '\n': -6.0003867, ' yes': -8.277745}
{' No': -0.13677417, '\n': -4.220999, 'No': -4.330305, ' Yes': -2.330288, ' Hospital': -6.8758388}
{' No': -1.0936589, '\n': -2.85232, ' Yes': -0.5892587, ' Sur': -3.3231966, 'Yes': -4.7891946}
{' No': -0.03127351, ' Not': -8.657322, '\n': -6.181389, 'No': -3.6913722, ' Yes': -5.695912}
{' No': -0.079113625, '\n': -5.7874303, 'No': -4.189408, ' Yes': -2.8723035, 'Yes': -6.9491577}
{' No': -0.027470427, 'No': -3.7724483, '\n': -5.612408, ' Yes': -8.135536, ' ': -9.047659}
{' No': -0.05564007, 'No': -3.5250497, ' Yes': -3.8962543, '\n': -5.600571, 'Yes': -7.7018795}
{' No': -0.018252442, 'No': -4.1154776, '\n': -6.952292, ' Yes': -7.314812, ' ': -9.305884}
{' No': -0.026960226, 'No': -3.9891372, '\n': -4.909883, ' Yes': -7.787481, ' ': -8.909699}
{' No': -0.027704181, 'No': -3.7244053, '\n': -6.1728992, ' Yes': -7.128364, ' ': -8.85168}
{' No': -0.09119245, '\n': -5.5009575, 'No': -3.7886658, ' Yes': -2.8345299, 'Yes': -6.5589943}
{' No': -0.5408243, '\n': -4.0731783, 'No': -4.6001844, ' Yes': -0.9551462, 'Yes': -5.2366114}
{' No': -3.8631275, '\n': -5.7291927, 'No': -8.095848, ' Yes': -0.034525596, 'Yes': -4.7247934}
{' No': -0.090209, '\n': -5.17121, 'No': -4.6194654, ' Yes': -2.6733809, ' Hospital': -7.1058855}
{' No': -0.22489259, '\n': -3.179902, 'No': -4.584531, ' Yes': -2.1617403, ' Sur': -3.4695976}
{' No': -0.016703004, '\n': -6.3332424, ' ': -9.010493, 'No': -4.336455, ' Yes': -6.598566}
{' Yes': -0.47788835, ' No': -1.0420555, 'Yes': -4.4692917, 'No': -4.899639, '\n': -4.9381943}
{' No': -0.51776344, ' Yes': -1.3826756, '\n': -2.3686907, 'No': -3.0751288, 'Yes': -4.492449}
{' No': -1.8769646, '\n': -2.7781444, 'No': -4.2972255, ' Yes': -0.30923456, 'Yes': -3.3538876}
{' No': -0.23902193, '\n': -2.4307907, 'No': -2.7711608, ' Yes': -2.8560624, 'Yes': -6.057112}
{' No': -0.6243285, '\n': -1.9920539, 'No': -3.1051023, ' Yes': -1.3305873, 'Yes': -4.1149745}
{' No': -0.14081478, 'No': -2.462396, '\n': -3.2351313, ' Yes': -5.517001, ' ': -6.857646}
{' No': -0.3041489, '\n': -3.139312, 'No': -2.9171479, ' Yes': -1.8577664, 'Yes': -4.9664817}
{' Yes': -0.05256419, 'Yes': -3.5420659, '\n': -3.984342, ' No': -6.0694838, ' ': -7.415406}
{' No': -4.8874574, '\n': -4.365573, 'No': -7.289157, ' Yes': -0.054505195, 'Yes': -3.4763591}
