{' 2': -0.5821651, ' 1': -1.0164589, ' two': -2.836449, ' one': -4.4423275, ' number': -5.336175}
{' #': -5.516572, ' 1': -0.38015583, ' 2': -1.3133451, ' one': -4.15, ' two': -3.7465572}
{' #': -5.465639, ' 1': -0.36560956, ' 2': -1.3477721, ' one': -4.177158, ' two': -3.7863076}
{' #': -5.447546, ' 1': -0.25611302, ' 2': -1.696247, ' one': -3.999706, ' two': -4.144417}
{' #': -5.5042653, ' 1': -0.33064696, ' 2': -1.42421, ' one': -4.220961, ' two': -3.9953542}
{' 1': -0.31594265, ' 2': -1.4984548, ' two': -3.910858, ' one': -4.0152946, ' #': -5.3093963}
{' #': -5.395407, ' 1': -0.2181277, ' 2': -1.8676181, ' one': -3.932525, ' two': -4.311061}
{' #': -5.522147, ' 1': -0.2833108, ' 2': -1.5922784, ' one': -4.0715966, ' two': -4.0032034}
{' 1': -0.19269183, ' 2': -2.0068283, ' one': -3.8770218, ' two': -4.4715796, ' #': -5.389321}
{' #': -5.470094, ' 1': -0.16479835, ' 2': -2.1706614, ' one': -3.9078496, ' two': -4.6453094}
{' #': -5.5564375, ' 1': -0.17740497, ' 2': -2.0655866, ' one': -3.9748805, ' two': -4.627687}
{' #': -5.366299, ' 1': -0.38289917, ' 2': -1.3203782, ' one': -4.0292234, ' two': -3.7216592}
{' 1': -0.18253773, ' 2': -2.0257611, ' one': -4.095473, ' two': -4.4843946, ' #': -5.663846}
{' #': -5.6204677, ' 1': -0.15854695, ' 2': -2.1740308, ' one': -4.053965, ' two': -4.750279}
{' #': -5.701845, ' 1': -0.104726925, ' 2': -2.695715, ' one': -3.9081593, ' two': -5.2281322}
{' #': -5.505606, ' 1': -0.24941514, ' 2': -1.7110528, ' one': -4.0479856, ' two': -4.212441}
{' 1': -0.1589745, ' 2': -2.2140186, ' one': -3.875298, ' two': -4.6691976, ' #': -5.5195136}
{' #': -5.6540256, ' 1': -0.17318267, ' 2': -2.1012163, ' one': -3.950915, ' two': -4.5521746}
{' #': -5.688133, ' 1': -0.11852638, ' 2': -2.5508099, ' one': -3.8731, ' two': -5.063561}
{' #': -5.594354, ' 1': -0.12492659, ' 2': -2.4919806, ' one': -3.8731015, ' two': -5.009432}
{' #': -5.7408133, ' 1': -0.09447522, ' 2': -2.8462243, ' one': -3.8554652, ' two': -5.3420715}
{' #': -5.5061255, ' 1': -0.21227011, ' 2': -1.8862318, ' one': -3.9477973, ' two': -4.3837557}
{' #': -5.8874483, ' 1': -0.07135546, ' 2': -3.1955752, ' one': -3.9689133, ' two': -5.6756}
{' #': -5.7259874, ' 1': -0.09018708, ' 2': -2.91176, ' one': -3.8572862, ' two': -5.426395}
{' #': -5.792159, ' 1': -0.06713714, ' 2': -3.3478794, ' one': -3.864281, ' two': -5.8495116}
{' #': -5.476421, ' 1': -0.14773884, ' 2': -2.3061364, ' one': -3.860637, ' two': -4.772999}
{' #': -5.650833, ' 1': -0.073675565, ' 2': -3.2444348, ' one': -3.8092215, ' two': -5.7036915}
{' #': -5.7452865, ' 1': -0.10942861, ' 2': -2.6156712, ' one': -3.9778688, ' two': -5.1928587}
{' #': -5.7678494, ' 1': -0.08982257, ' 2': -2.8684227, ' one': -3.960836, ' two': -5.491776}
{' 1': -0.078339726, ' 2': -3.058028, ' one': -3.9642665, ' two': -5.6456604, ' #': -5.816022}
{' #': -5.9676185, ' 1': -0.07079896, ' 2': -3.1664274, ' one': -4.021627, ' two': -5.735255}
{' #': -5.764675, ' 1': -0.15934666, ' 2': -2.1583297, ' one': -4.097953, ' two': -4.713481}
{' number': -6.079153, ' #': -6.0021887, ' 1': -0.051950857, ' 2': -3.7776017, ' one': -3.8843331}
{' #': -5.4706845, ' 1': -0.6174772, ' 2': -0.9146631, ' one': -4.2970805, ' two': -3.2742686}
{' #': -5.5061173, ' 1': -0.38653553, ' 2': -1.3062457, ' one': -4.0652905, ' two': -3.7093332}
{' #': -5.492676, ' 1': -0.34258687, ' 2': -1.4221616, ' one': -3.9808412, ' two': -3.8164582}
{' 1': -0.19084021, ' 2': -1.9927715, ' one': -3.9637415, ' two': -4.4884567, ' #': -5.612885}
{' 1': -0.33847615, ' 2': -1.4425316, ' two': -3.79075, ' one': -3.9418921, ' #': -5.42035}
{' #': -5.4769254, ' 1': -0.25468585, ' 2': -1.7045721, ' one': -3.9977393, ' two': -4.1193175}
{' #': -5.452699, ' 1': -0.26799008, ' 2': -1.6581345, ' one': -3.9470403, ' two': -4.0885043}
{' #': -5.5677943, ' 1': -0.23938687, ' 2': -1.7508118, ' one': -4.0331984, ' two': -4.262878}
{' #': -5.3219643, ' 1': -0.3713544, ' 2': -1.3478005, ' one': -4.0399733, ' two': -3.7566366}
{' #': -5.4481916, ' 1': -0.19484533, ' 2': -1.9958705, ' one': -3.8591595, ' two': -4.4364567}
{' #': -5.517633, ' 1': -0.22717172, ' 2': -1.8228652, ' one': -3.9673507, ' two': -4.227738}
{' #': -5.4493294, ' 1': -0.19947858, ' 2': -1.9716039, ' one': -3.8527224, ' two': -4.423355}
{' #': -5.491705, ' 1': -0.16885108, ' 2': -2.1599646, ' one': -3.832242, ' two': -4.5828667}
{' #': -5.5267615, ' 1': -0.16149361, ' 2': -2.2005389, ' one': -3.8523657, ' two': -4.6504507}
{' #': -5.3581038, ' 1': -0.494921, ' 2': -1.1056653, ' one': -4.0567856, ' two': -3.4222167}
{' #': -5.6745834, ' 1': -0.14028573, ' 2': -2.3383887, ' one': -3.9933014, ' two': -4.7286453}
{' #': -5.629587, ' 1': -0.14896084, ' 2': -2.275542, ' one': -3.9046102, ' two': -4.77395}
{' #': -5.667949, ' 1': -0.110931434, ' 2': -2.6662102, ' one': -3.7933576, ' two': -5.100995}
{' #': -5.3494496, ' 1': -0.3283429, ' 2': -1.4714761, ' one': -3.9395623, ' two': -3.8331933}
{' #': -5.6560254, ' 1': -0.11137594, ' 2': -2.6616194, ' one': -3.7827165, ' two': -5.121606}
{' #': -5.6516075, ' 1': -0.13840166, ' 2': -2.3826473, ' one': -3.8399704, ' two': -4.7852273}
{' 1': -0.09275038, ' 2': -2.9499624, ' one': -3.70166, ' two': -5.366774, ' #': -5.669329}
{' 1': -0.12045954, ' 2': -2.5812862, ' one': -3.7467792, ' two': -4.996416, ' #': -5.582528}
{' #': -5.719828, ' 1': -0.08663628, ' 2': -3.024796, ' one': -3.7440057, ' two': -5.4385533}
{' #': -5.4785805, ' 1': -0.20896873, ' 2': -1.9309518, ' one': -3.8092132, ' two': -4.3250785}
{' number': -5.920796, ' #': -5.920101, ' 1': -0.058789797, ' 2': -3.627515, ' one': -3.8024974}
{' #': -5.783331, ' 1': -0.07454558, ' 2': -3.2511678, ' one': -3.751183, ' two': -5.6893263}
{' #': -5.754264, ' 1': -0.07145648, ' 2': -3.3398507, ' one': -3.731189, ' two': -5.73608}
{' 1': -0.12791422, ' 2': -2.4908159, ' one': -3.8048418, ' two': -4.9577785, ' #': -5.5286927}
{' number': -5.871142, ' #': -5.6808352, ' 1': -0.06709022, ' 2': -3.4900963, ' one': -3.689227}
{' #': -5.702405, ' 1': -0.089058585, ' 2': -2.9342601, ' one': -3.8640828, ' two': -5.43809}
{' 1': -0.0776631, ' 2': -3.1601975, ' one': -3.7837849, ' two': -5.6528683, ' #': -5.8281574}
{' 1': -0.065784566, ' 2': -3.4185085, ' one': -3.8154619, ' #': -5.7970715, ' two': -5.8921714}
{' 1': -0.061545435, ' 2': -3.4485903, ' one': -3.9078395, ' #': -5.952786, ' two': -5.9599137}
{' #': -5.7428236, ' 1': -0.13994282, ' 2': -2.325543, ' one': -3.9922302, ' two': -4.8371224}
{' 1': -0.045020316, ' one': -3.7723398, ' 2': -4.2498484, ' #': -5.989307, ' number': -5.9925447}
{' number': -5.431789, ' 1': -0.7770306, ' 2': -0.75158846, ' one': -4.41085, ' two': -3.040275}
{' 1': -0.40147004, ' 2': -1.2738093, ' two': -3.6604023, ' one': -4.0659537, ' #': -5.5533338}
{' number': -5.45371, ' 1': -0.40327454, ' 2': -1.2788259, ' one': -4.028364, ' two': -3.6117418}
{' #': -5.680328, ' 1': -0.20776546, ' 2': -1.9135417, ' one': -3.917959, ' two': -4.3351765}
{' number': -5.4419303, ' 1': -0.38471577, ' 2': -1.3215787, ' one': -4.0091586, ' two': -3.6594236}
{' number': -5.462648, ' 1': -0.34486958, ' 2': -1.4223307, ' one': -3.993084, ' two': -3.7514455}
{' 1': -0.21970847, ' 2': -1.870944, ' one': -3.8735209, ' two': -4.2766123, ' #': -5.4797316}
{' #': -5.603434, ' 1': -0.26074398, ' 2': -1.6793612, ' one': -3.960594, ' two': -4.108501}
{' 1': -0.26728955, ' 2': -1.6773922, ' one': -3.8744311, ' two': -4.0408683, ' #': -5.386803}
{' #': -5.4423428, ' 1': -0.20235312, ' 2': -1.9704156, ' one': -3.804539, ' two': -4.3439183}
{' number': -5.582298, ' 1': -0.2447017, ' 2': -1.7441009, ' one': -3.977938, ' two': -4.1458416}
{' #': -5.460461, ' 1': -0.19508421, ' 2': -2.0171323, ' one': -3.763081, ' two': -4.390186}
{' #': -5.5319057, ' 1': -0.14712493, ' 2': -2.3419874, ' one': -3.7452695, ' two': -4.7197623}
{' 1': -0.15546304, ' 2': -2.264392, ' one': -3.766766, ' two': -4.6601963, ' #': -5.577273}
{' #': -5.29895, ' 1': -0.38824484, ' 2': -1.3309062, ' one': -3.9169044, ' two': -3.5975916}
{' number': -5.5767193, ' 1': -0.18361609, ' 2': -2.0542824, ' one': -3.9281988, ' two': -4.396049}
{' #': -5.7050385, ' 1': -0.11823558, ' 2': -2.5752916, ' one': -3.821179, ' two': -5.0085974}
{' #': -5.6912875, ' 1': -0.107811876, ' 2': -2.723933, ' one': -3.74771, ' two': -5.1087155}
{' #': -5.3940015, ' 1': -0.22413868, ' 2': -1.8703274, ' one': -3.7921624, ' two': -4.2058663}
{' #': -5.6054435, ' 1': -0.121898465, ' 2': -2.587343, ' one': -3.686254, ' two': -4.9454184}
{' number': -5.6599255, ' 1': -0.1391395, ' 2': -2.3924563, ' one': -3.782717, ' two': -4.7496843}
{' #': -5.687108, ' 1': -0.0911378, ' 2': -3.027249, ' one': -3.616013, ' two': -5.3538666}
{' number': -5.644961, ' 1': -0.1036855, ' 2': -2.8248215, ' one': -3.6419432, ' two': -5.16442}
{' #': -5.75149, ' 1': -0.08850121, ' 2': -3.0439625, ' one': -3.6583173, ' two': -5.3565035}
{' number': -5.575452, ' 1': -0.19299904, ' 2': -2.029337, ' one': -3.7416382, ' two': -4.376299}
{' 1': -0.067016855, ' 2': -3.4268703, ' one': -3.7598689, ' two': -5.7459335, ' number': -5.860079}
{' #': -5.794305, ' 1': -0.0710064, ' 2': -3.3557942, ' one': -3.720674, ' two': -5.76371}
{' number': -5.836394, ' #': -5.77034, ' 1': -0.06542796, ' 2': -3.526785, ' one': -3.6962106}
{' #': -5.5380993, ' 1': -0.12951386, ' 2': -2.4968557, ' one': -3.7429876, ' two': -4.9261723}
{' number': -5.814572, ' #': -5.686292, ' 1': -0.063262776, ' 2': -3.70413, ' one': -3.5938983}
{' number': -5.763497, ' 1': -0.08535642, ' 2': -3.0319505, ' one': -3.7783306, ' two': -5.4713035}
{' #': -5.815787, ' 1': -0.0698048, ' 2': -3.387306, ' one': -3.7112324, ' two': -5.7825546}
{' number': -5.8304725, ' #': -5.787942, ' 1': -0.0644165, ' 2': -3.5225368, ' one': -3.7329876}
{' number': -5.997425, ' 1': -0.060211293, ' 2': -3.579525, ' one': -3.7780895, ' two': -6.0033}
{' number': -5.7753754, ' 1': -0.12727897, ' 2': -2.4616601, ' one': -3.8948152, ' two': -4.883318}
{' number': -5.969752, ' #': -6.10422, ' 1': -0.045056418, ' 2': -4.334586, ' one': -3.7094717}
{' #': -5.547873, ' 1': -1.0983218, ' 2': -0.49192038, ' one': -5.311315, ' two': -3.144754}
{' #': -5.520185, ' 1': -0.59145606, ' 2': -0.909968, ' one': -4.792876, ' two': -3.5562081}
{' #': -5.5134635, ' 1': -0.5910821, ' 2': -0.9074521, ' one': -4.8728547, ' two': -3.5748947}
{' #': -5.613335, ' 1': -0.3307818, ' 2': -1.3970773, ' one': -4.5564036, ' two': -4.056017}
{' #': -5.495347, ' 1': -0.4612388, ' 2': -1.1156329, ' one': -4.609703, ' two': -3.7055416}
{' #': -5.4597745, ' 1': -0.5368762, ' 2': -0.98930895, ' one': -4.766153, ' two': -3.5962136}
{' #': -5.484105, ' 1': -0.2579703, ' 2': -1.6294589, ' one': -4.5050635, ' two': -4.331804}
{' 1': -0.43362167, ' 2': -1.156749, ' two': -3.854785, ' one': -4.700753, ' #': -5.499914}
{' #': -5.359925, ' 1': -0.47987816, ' 2': -1.0762241, ' one': -4.7188, ' two': -3.7508206}
{' 1': -0.2531157, ' 2': -1.6505289, ' two': -4.342866, ' one': -4.4510927, ' #': -5.4814725}
{' #': -5.457883, ' 1': -0.47084156, ' 2': -1.0952045, ' one': -4.7162523, ' two': -3.7085297}
{' #': -5.408397, ' 1': -0.27693322, ' 2': -1.5722386, ' one': -4.4127765, ' two': -4.233886}
{' #': -5.496787, ' 1': -0.20136115, ' 2': -1.8831314, ' one': -4.38847, ' two': -4.530127}
{' #': -5.5039344, ' 1': -0.24262515, ' 2': -1.6935718, ' one': -4.421931, ' two': -4.3637133}
{' #': -5.416481, ' 1': -0.49923456, ' 2': -1.053739, ' one': -4.597968, ' two': -3.6266816}
{' #': -5.6728377, ' 1': -0.22091983, ' 2': -1.7797903, ' one': -4.561084, ' two': -4.3709}
{' 1': -0.18248357, ' 2': -1.9812201, ' one': -4.3999286, ' two': -4.648927, ' #': -5.45174}
{' #': -5.6379776, ' 1': -0.15541896, ' 2': -2.1519208, ' one': -4.3254724, ' two': -4.797856}
{' #': -5.3897986, ' 1': -0.35979816, ' 2': -1.3295494, ' one': -4.5290294, ' two': -3.9627833}
{' #': -5.4774203, ' 1': -0.21493913, ' 2': -1.824129, ' one': -4.327986, ' two': -4.4370003}
{' 1': -0.2467303, ' 2': -1.6953406, ' two': -4.2355857, ' one': -4.3158107, ' #': -5.4858813}
{' #': -5.670987, ' 1': -0.11851651, ' 2': -2.4672484, ' one': -4.218805, ' two': -5.0886674}
{' #': -5.5715404, ' 1': -0.14960255, ' 2': -2.2061877, ' one': -4.2666087, ' two': -4.8075995}
{' #': -5.6350317, ' 1': -0.12759252, ' 2': -2.3776326, ' one': -4.2672734, ' two': -4.9852295}
{' #': -5.533364, ' 1': -0.25248507, ' 2': -1.6759393, ' one': -4.2535243, ' two': -4.2235026}
{' #': -5.834073, ' 1': -0.09367533, ' 2': -2.7024457, ' one': -4.404762, ' two': -5.3197017}
{' #': -5.7819495, ' 1': -0.08360503, ' 2': -2.8528137, ' one': -4.3055763, ' two': -5.58066}
{' #': -5.758006, ' 1': -0.076958686, ' 2': -2.9907444, ' one': -4.2119145, ' two': -5.6335278}
{' #': -5.4924636, ' 1': -0.14535105, ' 2': -2.2247348, ' one': -4.324844, ' two': -4.948032}
{' #': -5.684325, ' 1': -0.0752292, ' 2': -3.0255272, ' one': -4.206447, ' two': -5.6823564}
{' #': -5.678869, ' 1': -0.12990853, ' 2': -2.33895, ' one': -4.3632574, ' two': -5.0060754}
{' #': -5.8164988, ' 1': -0.09925985, ' 2': -2.6449466, ' one': -4.3009467, ' two': -5.3600636}
{' 1': -0.079953015, ' 2': -2.8894336, ' one': -4.3854585, ' two': -5.6497297, ' #': -5.790475}
{' 1': -0.08225579, ' 2': -2.8586361, ' one': -4.3463798, ' two': -5.55704, ' #': -5.891184}
{' 1': -0.2049212, ' 2': -1.8522048, ' one': -4.4532843, ' two': -4.5094733, ' #': -5.747513}
{' #': -6.0778112, ' 1': -0.05115482, ' 2': -3.5286288, ' one': -4.2701926, ' two': -6.072509}
{' #': -5.470313, ' 1': -0.5162697, ' 2': -1.0064029, ' one': -4.7175865, ' two': -3.8641186}
{' 1': -0.26863134, ' 2': -1.5752205, ' two': -4.515553, ' one': -4.555578, ' #': -5.511219}
{' 1': -0.25715652, ' 2': -1.6137965, ' two': -4.5725594, ' one': -4.5798283, ' #': -5.5349016}
{' 1': -0.13531473, ' 2': -2.2656, ' one': -4.4915385, ' two': -5.2532706, ' #': -5.618146}
{' #': -5.4371004, ' 1': -0.23580948, ' 2': -1.7074014, ' one': -4.489807, ' two': -4.6080894}
{' #': -5.414405, ' 1': -0.39530212, ' 2': -1.24313, ' one': -4.556093, ' two': -3.9632988}
{' 1': -0.15631455, ' 2': -2.1140573, ' one': -4.4986835, ' two': -5.136128, ' #': -5.519779}
{' #': -5.5534945, ' 1': -0.235544, ' 2': -1.6955792, ' one': -4.5982013, ' two': -4.6667037}
{' #': -5.332219, ' 1': -0.26387253, ' 2': -1.599541, ' one': -4.5179996, ' two': -4.5348053}
{' 1': -0.13430753, ' 2': -2.2925162, ' one': -4.368503, ' two': -5.2657123, ' #': -5.538794}
{' #': -5.548394, ' 1': -0.20285287, ' 2': -1.8510425, ' one': -4.536616, ' two': -4.7573967}
{' #': -5.557876, ' 1': -0.11034616, ' 2': -2.5254462, ' one': -4.3000836, ' two': -5.475218}
{' #': -5.5988774, ' 1': -0.10581123, ' 2': -2.572944, ' one': -4.304986, ' two': -5.4918966}
{' #': -5.533261, ' 1': -0.12639573, ' 2': -2.3646674, ' one': -4.3403487, ' two': -5.2999535}
{' #': -5.3747187, ' 1': -0.30794737, ' 2': -1.4628298, ' one': -4.4316177, ' two': -4.308361}
{' #': -5.743734, ' 1': -0.11130392, ' 2': -2.5075672, ' one': -4.3492146, ' two': -5.322468}
{' #': -5.622807, ' 1': -0.10355493, ' 2': -2.5756714, ' one': -4.4107656, ' two': -5.5667305}
{' #': -5.8308926, ' 1': -0.064909086, ' 2': -3.1652908, ' one': -4.3286757, ' two': -6.0900483}
{' #': -5.481273, ' 1': -0.16445205, ' 2': -2.0895047, ' one': -4.296023, ' two': -4.963908}
{' #': -5.6081123, ' 1': -0.08974759, ' 2': -2.7725458, ' one': -4.2957907, ' two': -5.6959414}
{' 1': -0.11482698, ' 2': -2.4747531, ' one': -4.33998, ' two': -5.3256497, ' #': -5.6595373}
{' number': -6.0962453, ' #': -5.735738, ' 1': -0.049356524, ' 2': -3.6545618, ' one': -4.204143}
{' #': -5.599575, ' 1': -0.08143761, ' 2': -2.9122348, ' one': -4.2477355, ' two': -5.7999887}
{' number': -6.213974, ' #': -5.7925167, ' 1': -0.05267357, ' 2': -3.5150566, ' one': -4.239582}
{' #': -5.4596033, ' 1': -0.14987671, ' 2': -2.1836042, ' one': -4.333918, ' two': -5.098513}
{' number': -6.1863413, ' #': -5.950343, ' 1': -0.043855187, ' 2': -3.7993426, ' one': -4.2633834}
{' 1': -0.04281352, ' 2': -3.8084972, ' one': -4.315522, ' #': -5.8318973, ' number': -6.2597136}
{' number': -6.2780952, ' #': -5.897527, ' 1': -0.035933748, ' 2': -4.137252, ' one': -4.306712}
{' #': -5.603098, ' 1': -0.08120896, ' 2': -2.899019, ' one': -4.3034244, ' two': -5.836247}
{' 1': -0.034452796, ' 2': -4.217558, ' one': -4.2945466, ' #': -5.9153957, ' number': -6.401023}
{' #': -5.723494, ' 1': -0.06582531, ' 2': -3.1551065, ' one': -4.3480787, ' two': -6.081275}
{' number': -6.2881217, ' #': -5.8621306, ' 1': -0.052051444, ' 2': -3.4868276, ' one': -4.3100986}
{' number': -6.269912, ' #': -5.83946, ' 1': -0.042002786, ' 2': -3.7957773, ' one': -4.3908396}
{' number': -6.403484, ' #': -5.9823527, ' 1': -0.038229994, ' 2': -3.9195163, ' one': -4.4152174}
{' 1': -0.122964494, ' 2': -2.3599944, ' one': -4.5355735, ' two': -5.3629355, ' #': -5.6983747}
{' number': -6.3056135, ' #': -6.1342106, ' 1': -0.02831139, ' 2': -4.795243, ' one': -4.2164826}
{' #': -5.148285, ' 1': -0.5830861, ' 2': -0.917963, ' one': -4.736162, ' two': -3.719467}
{' 1': -0.28807667, ' 2': -1.5274622, ' two': -4.380335, ' one': -4.423897, ' #': -5.2158957}
{' #': -5.2485266, ' 1': -0.24857505, ' 2': -1.6602916, ' one': -4.47776, ' two': -4.5765686}
{' 1': -0.14038642, ' 2': -2.2516954, ' one': -4.3992653, ' two': -5.182777, ' #': -5.29922}
{' #': -5.094199, ' 1': -0.27917978, ' 2': -1.5639697, ' one': -4.408141, ' two': -4.3813696}
{' #': -5.2060447, ' 1': -0.21780923, ' 2': -1.7982002, ' one': -4.4430437, ' two': -4.6644144}
{' 1': -0.17485595, ' 2': -2.0242574, ' one': -4.3757377, ' two': -4.945749, ' #': -5.214561}
{' #': -5.255369, ' 1': -0.21863008, ' 2': -1.7799091, ' one': -4.5303955, ' two': -4.748823}
{' #': -5.089735, ' 1': -0.19217898, ' 2': -1.9388584, ' one': -4.3231397, ' two': -4.814949}
{' #': -5.2532473, ' 1': -0.12565133, ' 2': -2.3883982, ' one': -4.3085523, ' two': -5.3523183}
{' #': -5.2228584, ' 1': -0.21527341, ' 2': -1.8045144, ' one': -4.5031915, ' two': -4.6846814}
{' #': -5.214711, ' 1': -0.13439979, ' 2': -2.346804, ' one': -4.1500683, ' two': -5.179209}
{' #': -5.303725, ' 1': -0.10822682, ' 2': -2.571766, ' one': -4.255382, ' two': -5.4726653}
{' #': -5.2208333, ' 1': -0.13544808, ' 2': -2.3062108, ' one': -4.314611, ' two': -5.225941}
{' #': -5.08924, ' 1': -0.33144838, ' 2': -1.4106663, ' one': -4.342698, ' two': -4.179644}
{' #': -5.4680924, ' 1': -0.11453278, ' 2': -2.491192, ' one': -4.3247037, ' two': -5.296151}
{' #': -5.4381886, ' 1': -0.09810623, ' 2': -2.6683118, ' one': -4.308553, ' two': -5.608419}
{' number': -6.188979, ' #': -5.572388, ' 1': -0.056586333, ' 2': -3.4299634, ' one': -4.2269697}
{' #': -5.162066, ' 1': -0.16254388, ' 2': -2.1174922, ' one': -4.2772765, ' two': -4.988026}
{' 1': -0.10060944, ' 2': -2.6648738, ' one': -4.226382, ' #': -5.3358846, ' two': -5.5507884}
{' #': -5.3828154, ' 1': -0.12387666, ' 2': -2.4190006, ' one': -4.2216263, ' two': -5.2552605}
{' 1': -0.060497977, ' 2': -3.3883748, ' one': -4.114903, ' #': -5.5111656, ' number': -6.116193}
{' number': -5.999003, ' #': -5.3895893, ' 1': -0.07014981, ' 2': -3.1582441, ' one': -4.1699553}
{' 1': -0.05972549, ' 2': -3.3782694, ' one': -4.182814, ' #': -5.4845877, ' number': -6.153086}
{' #': -5.314919, ' 1': -0.14450628, ' 2': -2.2401197, ' one': -4.25053, ' two': -5.1134443}
{' 1': -0.04514783, ' 2': -3.8062408, ' one': -4.2333364, ' #': -5.641793, ' number': -6.1537623}
{' number': -6.1603255, ' #': -5.5289354, ' 1': -0.048889168, ' 2': -3.699812, ' one': -4.188495}
{' number': -6.2355304, ' #': -5.583363, ' 1': -0.04071146, ' 2': -4.064843, ' one': -4.1571946}
{' #': -5.4242344, ' 1': -0.072870426, ' 2': -3.0900288, ' one': -4.195898, ' two': -5.9661846}
{' 1': -0.037917618, ' one': -4.1475515, ' 2': -4.24784, ' #': -5.514688, ' number': -6.256796}
{' number': -6.124569, ' #': -5.53643, ' 1': -0.061191466, ' 2': -3.3021677, ' one': -4.2666817}
{' number': -6.19958, ' #': -5.545569, ' 1': -0.061189443, ' 2': -3.3191679, ' one': -4.207418}
{' number': -6.2582603, ' #': -5.65914, ' 1': -0.045007534, ' 2': -3.808639, ' one': -4.2086463}
{' number': -6.315386, ' #': -5.6602716, ' 1': -0.04595219, ' 2': -3.7290728, ' one': -4.2742424}
{' #': -5.3913126, ' 1': -0.12221942, ' 2': -2.3981879, ' one': -4.416439, ' two': -5.3358154}
{' number': -6.2173553, ' #': -5.7706313, ' 1': -0.032162093, ' 2': -4.7758203, ' one': -4.066643}
{' #': -5.4886246, ' 1': -0.6963039, ' 2': -0.79110867, ' one': -4.8186107, ' two': -3.4058719}
{' #': -5.6820836, ' 1': -0.107340634, ' 2': -2.5312603, ' one': -4.385657, ' two': -5.394177}
{' 1': -0.12660974, ' 2': -2.3362157, ' one': -4.467602, ' two': -5.2754974, ' #': -5.6051593}
{' #': -5.7915, ' 1': -0.07214568, ' 2': -2.9967787, ' one': -4.412771, ' two': -5.8690033}
{' #': -5.648778, ' 1': -0.1004363, ' 2': -2.6252565, ' one': -4.314576, ' two': -5.431082}
{' 1': -0.106918015, ' 2': -2.5173965, ' one': -4.521883, ' two': -5.436784, ' #': -5.6595373}
{' #': -5.672222, ' 1': -0.081861235, ' 2': -2.8383749, ' one': -4.4537425, ' two': -5.7516727}
{' #': -5.707664, ' 1': -0.10651249, ' 2': -2.5241454, ' one': -4.474602, ' two': -5.429778}
{' #': -5.540467, ' 1': -0.10300782, ' 2': -2.5798163, ' one': -4.42427, ' two': -5.4718204}
{' #': -5.697672, ' 1': -0.065868154, ' 2': -3.1220012, ' one': -4.396724, ' two': -6.043724}
{' #': -5.63755, ' 1': -0.09826443, ' 2': -2.6395147, ' one': -4.3783813, ' two': -5.5307736}
{' #': -5.654689, ' 1': -0.07035295, ' 2': -3.0467398, ' one': -4.380308, ' two': -5.9635205}
{' #': -5.716676, ' 1': -0.048591208, ' 2': -3.583341, ' one': -4.335262, ' two': -6.481924}
{' #': -5.7786126, ' 1': -0.053560413, ' 2': -3.433132, ' one': -4.317747, ' two': -6.2867723}
{' #': -5.5390134, ' 1': -0.13125898, ' 2': -2.3377886, ' one': -4.2457204, ' two': -5.100509}
{' #': -5.9551797, ' 1': -0.046486475, ' 2': -3.6077275, ' one': -4.3998017, ' two': -6.3515587}
{' #': -5.8014116, ' 1': -0.051335886, ' 2': -3.4626975, ' one': -4.394647, ' two': -6.345889}
{' 1': -0.037107006, ' 2': -4.0227313, ' one': -4.3151145, ' #': -5.9528456, ' number': -6.6690035}
{' #': -5.5372825, ' 1': -0.084156714, ' 2': -2.8354573, ' one': -4.348109, ' two': -5.746989}
{' #': -5.775349, ' 1': -0.053387623, ' 2': -3.4354253, ' one': -4.328387, ' two': -6.281718}
{' #': -5.851042, ' 1': -0.04613537, ' 2': -3.7046647, ' one': -4.2484803, ' two': -6.4218564}
{' 1': -0.033317413, ' 2': -4.2606444, ' one': -4.299646, ' #': -5.907411, ' number': -6.644114}
{' 1': -0.0412601, ' 2': -3.867447, ' one': -4.3009605, ' #': -5.7811728, ' number': -6.5598917}
{' number': -6.6755986, ' #': -5.922784, ' 1': -0.030749753, ' 2': -4.4420257, ' one': -4.2955294}
{' #': -5.667444, ' 1': -0.07461063, ' 2': -2.9958866, ' one': -4.2923727, ' two': -5.830079}
{' number': -6.691432, ' #': -6.0999227, ' 1': -0.02597314, ' 2': -4.7315774, ' one': -4.379967}
{' number': -6.6921673, ' #': -5.967188, ' 1': -0.025847012, ' 2': -4.950535, ' one': -4.272202}
{' number': -6.6997957, ' #': -5.985631, ' 1': -0.024024313, ' 2': -5.1362867, ' one': -4.3045588}
{' 1': -0.041860633, ' 2': -3.817207, ' one': -4.3500786, ' #': -5.737553, ' number': -6.5533257}
{' number': -6.7508655, ' #': -5.897003, ' 1': -0.022902483, ' 2': -5.2567353, ' one': -4.3466477}
{' 1': -0.034925602, ' 2': -4.108965, ' one': -4.3684196, ' #': -5.9193606, ' number': -6.6226697}
{' number': -6.7578897, ' #': -6.02415, ' 1': -0.02881535, ' 2': -4.5238924, ' one': -4.3345633}
{' number': -6.692614, ' #': -5.9185085, ' 1': -0.024922263, ' 2': -4.9040093, ' one': -4.3748784}
{' 1': -0.022800887, ' one': -4.4526772, ' 2': -4.9585495, ' #': -6.1021357, ' number': -6.8870487}
{' 1': -0.043331698, ' 2': -3.7110906, ' one': -4.4074597, ' #': -5.8793607, ' two': -6.518429}
