{' No': -0.01724444, 'No': -4.245142, '\n': -6.1593676, ' Yes': -7.7318993, ' ': -9.192548}
{' No': -0.043111563, '\n': -3.5722308, 'No': -4.3931136, ' Yes': -7.41434, ' ': -7.635685}
{' No': -0.019395398, '\n': -5.323297, ' ': -8.792632, 'No': -4.2739515, ' Yes': -8.953521}
{' No': -0.017834594, '\n': -5.7803516, 'No': -4.3241544, ' Yes': -6.981354, ' Patient': -8.719104}
{' No': -0.06422517, 'No': -3.0753505, '\n': -4.621438, ' Yes': -5.1960607, ' ': -8.288204}
{' No': -0.05798794, '\n': -5.5506897, 'No': -3.1347642, ' Yes': -4.8276467, 'Yes': -8.308772}
{' No': -0.04227049, '\n': -4.2357078, ' ': -7.526046, 'No': -3.673612, ' Yes': -7.768105}
{' No': -0.10399682, '\n': -2.8941653, ' ': -7.1851454, 'No': -3.1932206, ' Yes': -6.8754015}
{' No': -0.025231028, '\n': -5.7287335, ' ': -9.02092, 'No': -3.9400141, ' Yes': -6.2227316}
{' No': -0.049041964, 'No': -3.4137685, ' Yes': -4.9502797, '\n': -4.9620786, 'Yes': -8.347077}
{' No': -0.03609199, '\n': -6.296939, ' ': -9.34014, 'No': -3.4361813, ' Yes': -6.7107234}
{' No': -0.08137185, '\n': -4.3703275, 'No': -3.3492854, ' Yes': -3.547703, 'Yes': -6.892798}
{' No': -0.17994107, '\n': -4.9115634, 'No': -3.8173254, ' Yes': -2.0600243, ' Doctor': -5.3809543}
{' No': -0.026937384, ' Not': -6.940757, '\n': -5.2500777, 'No': -4.0272326, ' Yes': -6.9838166}
{' No': -0.16037178, '\n': -2.3046436, 'No': -3.5198593, ' Yes': -4.5555515, ' Sur': -5.3827114}
{' No': -0.02077332, '\n': -6.237503, ' ': -9.077308, 'No': -4.0359, ' Yes': -7.405258}
{' No': -0.014539859, 'No': -4.3457756, ' Yes': -7.5604396, '\n': -7.6418986, ' Not': -9.178901}
{' No': -0.024406886, '\n': -6.1652966, ' ': -9.103207, 'No': -3.8843408, ' Yes': -6.7450967}
{' No': -0.028203052, 'No': -3.8002136, '\n': -5.2600183, ' ': -9.023557, ' Yes': -9.366041}
{' No': -0.037176725, '\n': -6.4140744, ' ': -9.467288, 'No': -3.4322994, ' Yes': -6.0457387}
{' No': -0.028136287, 'No': -4.1136594, '\n': -4.582688, ' ': -7.8174195, ' Yes': -8.629298}
{' No': -0.03002774, 'No': -4.1408677, '\n': -4.31242, ' ': -8.637984, ' no': -10.216374}
{' No': -0.02200811, '\n': -6.705535, ' ': -9.6979685, 'No': -3.8955257, ' Yes': -9.1801405}
{' No': -0.02471952, 'No': -3.788439, '\n': -6.6087704, ' Yes': -7.9674892, ' ': -10.184947}
{' No': -0.035059802, '\n': -6.503388, ' ': -9.154307, 'No': -3.418807, ' Yes': -9.846703}
{' No': -0.009687125, '\n': -6.831641, ' ': -9.862333, 'No': -4.873314, ' Yes': -7.097158}
{' No': -0.029801857, '\n': -6.8839045, 'No': -4.5289836, ' Yes': -4.062837, 'Yes': -8.764644}
{' No': -0.010288494, 'No': -5.051285, ' Hospital': -6.555086, '\n': -6.6375575, ' Yes': -7.9050336}
{' No': -0.0121036405, 'No': -4.89838, '\n': -5.4963183, ' Yes': -8.665952, ' ': -8.694024}
{' No': -0.0070649637, '\n': -8.223597, ' ': -10.114935, 'No': -5.040062, ' Yes': -8.51206}
{' No': -0.00895891, '\n': -8.297707, ' ': -10.33104, 'No': -4.9123096, ' Yes': -6.7254996}
{' No': -0.010107844, '\n': -8.269931, ' ': -10.212624, 'No': -4.6357203, ' Yes': -10.089018}
{' No': -0.093235604, 'No': -2.8498273, '\n': -3.5842843, ' Yes': -5.993855, ' ': -7.6479053}
{' No': -0.11139232, 'No': -2.7893536, '\n': -3.5992198, ' Yes': -4.2035937, 'Yes': -7.292655}
{' No': -0.095522895, 'No': -2.7025, '\n': -3.8047228, ' ': -7.3995605, ' Unfortunately': -7.4900694}
{' No': -0.11882302, '\n': -2.847821, ' ': -7.2394433, 'No': -2.9584951, ' Yes': -7.339207}
{' No': -0.07779549, 'No': -2.7391763, '\n': -4.8110185, ' Yes': -6.856945, ' Unfortunately': -7.677588}
{' No': -0.061231706, '\n': -4.786295, 'No': -3.0002422, ' Yes': -7.826609, ' Unfortunately': -8.122475}
{' No': -0.18205588, '\n': -2.958421, ' ': -6.8517065, 'No': -2.199657, ' Yes': -6.641984}
{' No': -0.59726065, ' Yes': -1.2083675, '\n': -2.5836842, 'No': -2.8980036, 'Yes': -4.2922297}
{' No': -1.2928646, '\n': -3.4786994, 'No': -3.5523596, ' Yes': -0.4595153, 'Yes': -3.4580543}
{' No': -0.94911957, '\n': -0.71282774, 'No': -2.6829796, ' Yes': -3.7997627, ' Unfortunately': -3.9371793}
{' No': -0.7621339, '\n': -1.3307831, ' Yes': -1.8981887, 'No': -2.4433758, 'Yes': -3.9063427}
{' No': -0.39130938, '\n': -1.8933008, 'No': -2.2443235, ' Yes': -3.1545959, ' Unfortunately': -4.112699}
{' No': -0.62611437, ' Yes': -1.4000021, '\n': -2.3465238, 'No': -2.3592973, 'Yes': -3.7306068}
{' No': -0.369376, '\n': -2.0702238, 'No': -2.1154258, ' Yes': -3.024308, ' Unfortunately': -5.211228}
{' No': -0.27362707, '\n': -4.9086823, 'No': -4.0108, ' Yes': -1.5631225, 'Yes': -5.53147}
{' No': -1.4925953, '\n': -5.146848, 'No': -5.166742, ' Yes': -0.28764698, 'Yes': -4.385036}
{' No': -0.01541789, '\n': -5.800961, ' ': -8.137496, 'No': -4.66878, ' Yes': -6.304669}
{' No': -0.105777375, '\n': -2.9728405, ' ': -6.7766795, 'No': -3.8186524, ' Yes': -3.790132}
{' No': -0.030129826, 'No': -3.7316985, ' Yes': -5.782069, '\n': -6.1896677, ' Unfortunately': -8.069037}
{' No': -0.04933179, '\n': -5.2860928, 'No': -3.4299448, ' Yes': -4.6819935, 'Yes': -8.009486}
{' No': -0.029609304, 'No': -3.7282612, '\n': -5.960899, ' Yes': -6.1039023, ' ': -8.964721}
{' No': -1.8168167, '\n': -3.63089, 'No': -4.6141148, ' Yes': -0.2531092, 'Yes': -3.7688677}
{' No': -0.360064, '\n': -1.5295663, 'No': -2.8936944, ' Unfortunately': -4.564358, ' Hospital': -5.426735}
{' Yes': -0.14178482, '\n': -2.5450156, ' No': -3.6863708, 'Yes': -3.727827, 'No': -6.7037263}
{' No': -0.062716916, ' Not': -7.2187886, '\n': -4.234111, 'No': -3.2951558, ' Yes': -4.9662046}
{' No': -0.123718135, '\n': -3.0545535, 'No': -3.1990354, ' Yes': -3.7099528, ' Patient': -6.2471666}
{' No': -0.14968036, ' Yes': -2.3580277, 'No': -3.8524027, '\n': -3.8986006, 'Yes': -6.1265836}
{' No': -2.4902363, '\n': -3.1573408, 'No': -5.0497684, ' Yes': -0.18376178, 'Yes': -3.3605402}
{' No': -0.58687013, '\n': -1.0003566, 'No': -3.2476687, ' Yes': -4.925758, ' Unfortunately': -3.9984837}
{' No': -2.0329933, '\n': -1.1540605, 'No': -4.787737, ' Yes': -0.66343695, 'Yes': -3.6786022}
{' No': -0.23529284, '\n': -2.1729264, 'No': -2.8229084, ' Yes': -5.105517, ' Unfortunately': -3.7212107}
{' No': -0.3356845, ' Yes': -1.9337833, '\n': -2.5498035, 'No': -2.9701333, 'Yes': -5.0934205}
{' No': -0.36597183, '\n': -1.8707136, 'No': -3.108419, ' Yes': -2.3082116, 'Yes': -5.3683867}
{' Yes': -0.6556482, ' No': -0.80047315, 'No': -4.221818, 'Yes': -4.573043, '\n': -5.0713053}
{' No': -1.4430677, '\n': -5.090143, 'No': -4.664419, ' Yes': -0.31591812, 'Yes': -4.167324}
{' No': -0.76874745, '\n': -3.5592272, 'No': -3.977022, ' Yes': -0.7888968, ' Sur': -3.964346}
{' No': -0.055144712, '\n': -5.0998206, ' ': -8.049882, 'No': -3.0906806, ' Yes': -6.6827292}
{' No': -0.038360238, '\n': -5.6028395, 'No': -3.8386855, ' Yes': -4.4795628, ' Patient': -7.621177}
{' No': -0.028269574, '\n': -6.6837564, ' ': -9.437847, 'No': -3.6949987, ' Yes': -6.4406}
{' No': -0.05840711, '\n': -5.455345, 'No': -4.2475147, ' Yes': -3.2879295, 'Yes': -7.4766426}
{' No': -0.09430268, '\n': -4.7063856, 'No': -3.1884513, ' Yes': -3.2824318, 'Yes': -6.9102354}
{' No': -0.22115687, ' Hospital': -2.253414, '\n': -3.0025134, 'No': -3.5150065, ' Yes': -5.5029807}
{' No': -0.032639973, 'No': -3.6774802, '\n': -5.324872, ' Yes': -6.6142488, ' ': -8.357384}
{' No': -0.046618544, '\n': -4.193707, 'No': -3.6761062, ' Yes': -5.5622225, ' Patient': -7.512395}
{' No': -0.026573488, '\n': -5.797231, ' ': -8.867683, 'No': -3.7995627, ' Yes': -7.4679236}
{' No': -0.02940623, '\n': -5.251618, ' ': -8.790032, 'No': -3.8074076, ' Yes': -6.6598477}
{' No': -0.082622334, ' Yes': -3.6211662, 'No': -3.800905, ' Doctor': -3.934511, '\n': -4.7208266}
{' No': -0.100501545, ' Hospital': -3.0497944, '\n': -3.8638377, 'No': -4.030135, ' Hosp': -5.760855}
{' No': -0.050318167, '\n': -3.5551362, ' ': -7.4237747, 'No': -4.2363515, ' Yes': -5.313717}
{' No': -0.021469077, 'No': -4.0128894, '\n': -6.023187, ' Yes': -7.5819635, ' ': -9.667783}
{' No': -0.01322286, '\n': -7.284255, ' ': -9.401894, 'No': -4.4159536, ' Yes': -8.3416395}
{' No': -0.5560562, '\n': -2.275424, 'No': -3.3095236, ' Yes': -1.3024284, 'Yes': -4.687072}
{' No': -1.7118746, '\n': -3.3409069, 'No': -4.347061, ' Yes': -0.306008, 'Yes': -3.5289083}
{' No': -0.54514176, '\n': -1.1768154, ' Unfortunately': -3.0031533, 'No': -3.0809977, ' Not': -5.258797}
{' No': -0.725816, '\n': -1.0360042, 'No': -3.3235178, ' Yes': -2.3027375, ' Unfortunately': -4.5154104}
{' No': -0.15523984, ' Not': -5.4882994, '\n': -2.9257913, 'No': -2.82561, ' Unfortunately': -3.888932}
{' No': -0.1682795, '\n': -2.5868337, 'No': -2.6928613, ' Unfortunately': -5.0487704, ' Yes': -5.762964}
{' No': -0.057397984, '\n': -5.2793136, 'No': -4.342161, ' Yes': -3.2959232, 'Yes': -7.670738}
{' Yes': -0.03625181, ' No': -3.8852623, 'Yes': -4.4915414, '\n': -6.3243203, ' Doctor': -6.9598694}
{' No': -0.03139227, '\n': -4.9045286, ' ': -7.5425396, 'No': -3.8689277, ' Hospital': -7.263877}
{' No': -0.024079265, '\n': -4.412852, 'No': -4.5333314, ' ': -7.9149494, ' Yes': -8.257434}
{' No': -0.020241458, 'No': -4.124186, '\n': -5.6827602, ' Yes': -8.721216, ' ': -8.763058}
{' No': -0.01692243, 'No': -4.2853036, '\n': -6.613275, ' Yes': -6.643659, ' Patient': -8.594551}
{' No': -0.037798826, '\n': -4.99256, ' ': -8.675615, 'No': -3.5406673, ' Yes': -6.9084005}
{' No': -0.04951504, 'No': -3.2324564, ' Yes': -5.425232, '\n': -5.5589943, ' Not': -8.651678}
{' No': -0.049871787, ' Not': -7.8864846, '\n': -3.8015137, ' ': -7.264002, 'No': -3.7029057}
{' No': -0.06727923, '\n': -3.25295, ' ': -7.2863555, 'No': -3.7205842, ' Yes': -6.9414673}
{' No': -0.027064389, 'No': -3.9139185, '\n': -5.4128256, ' Yes': -6.206084, ' ': -8.781352}
{' No': -0.065443166, ' Not': -7.674945, '\n': -3.7511308, 'No': -3.3243408, ' Yes': -6.2328568}
{' No': -0.028755229, 'No': -3.6770723, '\n': -6.074562, ' Yes': -7.526323, ' ': -9.346091}
{' No': -0.04919423, 'No': -3.4163473, '\n': -4.5807643, ' Yes': -5.4418025, ' ': -8.260841}
{' No': -0.31837457, ' Yes': -1.464939, 'No': -3.6969564, '\n': -4.7152824, 'Yes': -5.3419833}
{' No': -0.07370443, ' Not': -6.2451043, '\n': -3.7133756, 'No': -3.2320638, ' Unfortunately': -6.102345}
{' No': -0.0901606, '\n': -2.829296, ' ': -6.936388, 'No': -3.719139, ' Yes': -6.9814324}
{' No': -0.021473037, ' Not': -8.6633215, '\n': -6.082151, 'No': -4.0353546, ' Yes': -7.1238}
{' No': -0.03751573, 'No': -3.6643217, '\n': -5.3510504, ' Yes': -6.4940143, ' Pat': -6.5287824}
{' No': -0.028087487, 'No': -3.7853277, '\n': -5.6569405, ' Yes': -6.7499213, ' ': -9.052141}
{' No': -0.024332928, 'No': -3.989146, '\n': -5.239863, ' ': -8.92934, ' Yes': -9.877804}
{' No': -0.033937167, 'No': -3.5311809, '\n': -5.832814, ' Yes': -6.9150343, ' ': -9.136638}
{' No': -0.05404059, '\n': -3.6577773, 'No': -3.723804, ' ': -6.6792493, ' Not': -7.859889}
{' No': -0.055333555, '\n': -3.4868634, ' ': -7.227467, 'No': -3.803893, ' no': -9.433814}
{' No': -0.022643331, 'No': -3.9103882, '\n': -6.142205, ' ': -9.226584, ' Yes': -9.615844}
{' No': -0.016546829, 'No': -4.1689935, '\n': -7.1636047, ' Yes': -9.270264, ' ': -10.533724}
{' No': -0.039573368, '\n': -6.144883, ' ': -9.014892, 'No': -3.313064, ' Yes': -9.604988}
{' No': -0.010290842, 'No': -4.776213, '\n': -6.7782483, ' Yes': -7.5099792, ' ': -9.482823}
{' No': -0.10207189, ' Yes': -2.5780048, 'No': -4.2271404, '\n': -5.4843063, 'Yes': -7.015084}
{' No': -0.011736839, ' Not': -9.444078, '\n': -5.578461, ' ': -8.024126, 'No': -4.9185324}
{' No': -0.020396572, '\n': -4.391494, 'No': -4.9507113, ' ': -7.765006, ' Yes': -8.986703}
{' No': -0.0059783407, 'No': -5.20583, '\n': -8.398241, ' Yes': -8.739555, ' ': -10.278517}
{' No': -0.007250164, '\n': -8.062374, ' ': -10.203834, 'No': -5.018454, ' Yes': -8.781509}
{' No': -0.01902579, 'No': -4.0535984, '\n': -6.6756887, ' ': -9.199214, ' Yes': -9.757804}
{' No': -0.1361121, '\n': -3.4371011, ' ': -7.1526785, 'No': -2.372244, ' Unfortunately': -7.6113963}
{' No': -0.135525, 'No': -2.5157948, '\n': -3.6179144, ' Yes': -4.0847664, 'Yes': -6.9136643}
{' No': -0.14860146, 'No': -2.2866936, '\n': -3.3859653, ' ': -6.8353896, ' Unfortunately': -7.122373}
{' No': -0.18566495, 'No': -2.390312, '\n': -2.6014383, ' ': -6.5859838, ' Unfortunately': -6.795475}
{' No': -0.13276388, '\n': -4.2134504, 'No': -2.2383718, ' Yes': -6.705113, ' Unfortunately': -7.1657996}
{' No': -0.084926836, 'No': -2.6834757, '\n': -4.5394497, ' Unfortunately': -6.8465347, ' Yes': -7.651118}
{' No': -0.22241199, 'No': -1.9680519, '\n': -2.9117906, ' Yes': -6.1336684, ' ': -6.7154346}
{' No': -0.6624455, '\n': -1.7618909, 'No': -2.6155992, ' Yes': -1.5235677, 'Yes': -4.193609}
{' No': -0.67950374, '\n': -3.1984475, 'No': -2.7337697, ' Yes': -1.0168564, 'Yes': -3.7993498}
{' No': -0.68537515, '\n': -1.0454292, 'No': -2.3048341, ' Yes': -3.953365, ' Unfortunately': -4.18288}
{' No': -0.56137407, '\n': -1.5465386, 'No': -2.095031, ' Yes': -2.6847298, 'Yes': -4.58843}
{' No': -0.35319626, '\n': -2.1128304, 'No': -2.124963, ' Yes': -3.359439, ' Unfortunately': -4.1954393}
{' No': -0.43612865, 'No': -1.9909116, '\n': -2.237505, ' Yes': -2.369524, 'Yes': -4.516189}
{' No': -0.38239968, '\n': -1.8495569, 'No': -2.0157118, ' Yes': -4.08727, ' Unfortunately': -5.254641}
{' No': -0.06361145, '\n': -4.7019243, 'No': -3.7592077, ' Yes': -3.5678492, 'Yes': -7.4041758}
{' No': -0.9470692, '\n': -4.3372326, 'No': -4.409609, ' Yes': -0.55487645, 'Yes': -4.493622}
{' No': -0.0388688, 'No': -4.04402, '\n': -4.570481, ' Yes': -5.4971266, ' Not': -6.409459}
{' No': -0.079236075, '\n': -2.9738877, ' ': -6.874409, 'No': -4.0313363, ' Yes': -5.302886}
{' No': -0.019508805, 'No': -4.3562036, '\n': -5.761858, ' Yes': -5.9759064, ' Unfortunately': -7.7871494}
{' No': -0.04907734, 'No': -3.377105, '\n': -4.679399, ' Yes': -5.915675, ' Unfortunately': -7.483191}
{' No': -0.029167727, '\n': -5.6803646, ' ': -8.92348, 'No': -3.7510092, ' Yes': -6.4907403}
{' No': -0.87302005, '\n': -3.1851308, 'No': -3.2900274, ' Yes': -0.73511684, 'Yes': -3.8010557}
{' No': -0.397742, ' Not': -5.2820888, '\n': -1.4957243, 'No': -2.5674999, ' Unfortunately': -4.434603}
{' No': -0.88844055, '\n': -1.2988162, 'No': -3.7541878, ' Yes': -1.2845435, 'Yes': -4.5438356}
{' No': -0.11626941, '\n': -3.1226077, 'No': -2.8580525, ' Yes': -5.7072496, ' Unfortunately': -6.234533}
{' No': -0.13363144, '\n': -2.8352609, 'No': -2.8698719, ' Yes': -5.120169, ' Patient': -6.9150066}
{' No': -0.08366614, '\n': -3.7768385, 'No': -3.551201, ' Yes': -3.6112978, 'Yes': -7.076071}
{' Yes': -0.76888347, ' No': -1.0922916, '\n': -1.8631619, 'No': -3.730904, 'Yes': -3.9726436}
{' No': -0.6671115, '\n': -0.92912406, 'No': -2.9214566, ' Unfortunately': -3.5220823, ' ': -5.5765977}
{'\n': -0.67091864, ' No': -1.3451605, ' Yes': -1.6947145, 'No': -3.7881956, 'Yes': -4.366107}
{' No': -0.24456279, '\n': -2.2839246, 'No': -2.8281293, ' Unfortunately': -3.097487, ' Not': -5.6186166}
{' No': -0.27655134, '\n': -2.1620855, 'No': -2.5440722, ' Yes': -3.3098593, ' Unfortunately': -5.347747}
{' No': -0.26961163, '\n': -1.878193, 'No': -2.873331, ' Yes': -3.8450108, ' Unfortunately': -6.349472}
{' No': -0.73582464, '\n': -4.1695323, 'No': -3.9833071, ' Yes': -0.7457066, 'Yes': -4.4502964}
{' Yes': -0.6269349, ' No': -0.85693437, 'No': -4.0712423, 'Yes': -4.4634027, '\n': -4.6397634}
{' No': -0.06451943, 'No': -3.5683606, '\n': -3.9998677, ' Yes': -4.525085, ' Surgery': -5.6114073}
{' No': -0.037369322, '\n': -5.5465436, ' ': -8.342789, 'No': -3.4614658, ' Yes': -7.4067087}
{' No': -0.059584208, 'No': -3.539637, '\n': -4.247639, ' Yes': -4.385882, ' Patient': -6.9086986}
{' No': -0.023335325, '\n': -6.5555735, ' ': -9.396582, 'No': -3.888463, ' Yes': -6.9129114}
{' No': -0.13376021, '\n': -3.953483, 'No': -3.8857114, ' Yes': -2.492004, 'Yes': -6.227752}
{' No': -0.09582781, '\n': -4.654563, 'No': -3.3344867, ' Yes': -3.122258, 'Yes': -6.870352}
{' No': -0.09141089, 'No': -3.2007687, '\n': -3.6151628, ' Hospital': -4.8862047, ' Unfortunately': -5.7032146}
{' No': -0.0357654, '\n': -4.876418, ' ': -7.9781346, 'No': -3.7069461, ' Yes': -6.1866016}
{' No': -0.057070166, 'No': -3.474251, '\n': -3.9156878, ' Yes': -5.84318, ' Patient': -7.4096584}
{' No': -0.02335613, '\n': -5.873291, ' ': -9.007496, 'No': -3.9418263, ' Yes': -7.354059}
{' No': -0.034317695, '\n': -4.6864953, ' ': -8.353571, 'No': -3.7356842, ' Yes': -8.028132}
{' No': -0.054152146, '\n': -4.792521, 'No': -4.0621476, ' Yes': -4.472571, ' Doctor': -4.228625}
{' No': -0.027439428, 'No': -4.155308, '\n': -5.1744766, ' Hospital': -5.808477, ' Not': -7.2068934}
{' No': -0.045283843, '\n': -3.7162507, 'No': -4.0381274, ' Yes': -6.5880885, ' ': -7.4073515}
{' No': -0.040767953, 'No': -4.0714607, '\n': -4.5082283, ' Patient': -5.1579647, 'Pat': -5.5472946}
{' No': -0.017077692, 'No': -4.161084, '\n': -6.8154554, ' Yes': -9.044948, ' ': -9.432093}
{' No': -0.25327846, '\n': -2.0284727, 'No': -2.5705202, ' Yes': -5.1578803, ' Unfortunately': -5.089123}
{' No': -1.0951082, '\n': -2.9282572, 'No': -3.4576912, ' Yes': -0.6046831, 'Yes': -3.567812}
{' No': -0.46521345, '\n': -1.4099537, 'No': -2.4896696, ' Unfortunately': -3.370662, ' ': -5.608762}
{' No': -0.55827415, '\n': -1.193282, 'No': -2.4557254, ' Yes': -4.571978, ' Unfortunately': -4.05691}
{' No': -0.17786957, ' Not': -5.377048, '\n': -2.9247262, 'No': -2.4534907, ' Unfortunately': -4.3217044}
{' No': -0.25920466, '\n': -2.0248601, 'No': -2.48076, ' Unfortunately': -5.178158, ' Yes': -5.467874}
{' No': -0.02131368, '\n': -5.628163, ' ': -9.207519, 'No': -4.082341, ' Yes': -7.731709}
{' Yes': -0.6618511, ' No': -0.77210927, 'No': -4.7453604, 'Yes': -5.044595, '\n': -5.1549807}
{' No': -0.042368863, 'No': -3.9170141, '\n': -4.2543263, ' Hospital': -5.6192956, ' ': -6.8962064}
{' No': -0.030146535, '\n': -4.1707444, 'No': -4.3116026, ' ': -7.842343, ' Yes': -8.678233}
{' No': -0.019214436, '\n': -5.893682, ' ': -9.084663, 'No': -4.13821, ' Yes': -9.2751875}
{' No': -0.025201628, '\n': -5.3329597, 'No': -3.9486403, ' Yes': -8.426315, ' Patient': -8.7437935}
{' No': -0.035929978, '\n': -5.4983706, ' ': -9.143662, 'No': -3.531007, ' Yes': -6.418145}
{' No': -0.055202976, 'No': -3.2007697, '\n': -4.963524, ' Yes': -5.293703, ' Doctor': -8.34179}
{' No': -0.06296159, '\n': -3.5209768, 'No': -3.5788858, ' ': -6.8797383, ' Yes': -7.1058445}
{' No': -0.08204186, '\n': -2.9075289, ' ': -7.3249164, 'No': -3.7966871, ' Yes': -7.63052}
{' No': -0.0324848, '\n': -5.2124963, ' ': -8.650803, 'No': -3.675574, ' Yes': -7.0696154}
{'Pat': -8.017582, ' No': -0.06291595, '\n': -3.6583366, 'No': -3.5801332, ' Yes': -5.1791897}
{' No': -0.03024427, ' Not': -9.212294, '\n': -6.0483446, 'No': -3.629989, ' Yes': -7.3588247}
{' No': -0.059482418, '\n': -4.749716, 'No': -3.4794958, ' Yes': -4.058937, 'Yes': -7.562738}
{' No': -0.2275099, '\n': -4.5209227, 'No': -3.648944, ' Yes': -1.8480428, ' Doctor': -5.429288}
{' No': -0.03270285, 'No': -4.1093974, '\n': -4.3420615, ' Not': -7.3197145, ' ': -7.422812}
{' No': -0.1479763, '\n': -2.1835177, ' ': -6.607039, 'No': -3.8644643, ' Yes': -6.6242967}
{' No': -0.023429776, ' Not': -8.686445, '\n': -5.8337135, 'No': -3.9501915, ' Yes': -7.523937}
{' No': -0.03672022, 'No': -3.8297153, '\n': -5.8422465, ' Pat': -5.8639216, ' Patient': -6.059076}
{' No': -0.018854428, 'No': -4.1551666, '\n': -6.3373485, ' Yes': -6.964872, ' Not': -9.167847}
{' No': -0.01670579, 'No': -4.2226667, '\n': -6.3391585, ' ': -9.584252, ' Yes': -10.113366}
{' No': -0.048195135, '\n': -5.3898525, ' ': -8.786435, 'No': -3.2051163, ' Yes': -6.4799023}
{' No': -0.052948423, 'No': -3.5138588, '\n': -3.9819777, ' ': -6.8422403, ' Hospital': -7.252605}
{' No': -0.062325485, '\n': -3.476176, ' ': -7.3703837, 'No': -3.5549173, ' no': -9.375599}
{' No': -0.020687822, '\n': -6.544059, ' ': -9.4918375, 'No': -3.970721, ' Yes': -9.649253}
{' No': -0.02122369, 'No': -3.901217, '\n': -7.598831, ' Yes': -8.426954, ' ': -10.651846}
{' No': -0.045715004, '\n': -5.910798, ' ': -8.872808, 'No': -3.1788344, ' Yes': -9.113438}
{' No': -0.011022136, 'No': -4.6134086, '\n': -7.300916, ' Yes': -8.185586, ' ': -9.835283}
{' No': -0.09966053, '\n': -5.2698207, 'No': -4.090717, ' Yes': -2.663181, ' Doctor': -6.5730147}
{' No': -0.014037234, 'No': -5.200183, '\n': -5.2539034, ' Hospital': -6.690341, ' ': -7.152106}
{' No': -0.0256458, 'No': -4.444196, '\n': -4.4649363, ' Yes': -7.1404586, ' ': -7.416183}
{' No': -0.006666464, '\n': -6.8281837, ' ': -9.231553, 'No': -5.2414837, ' Yes': -9.066538}
{' No': -0.0063210838, '\n': -7.5871177, ' ': -10.188261, 'No': -5.1931877, ' Yes': -8.827726}
{' No': -0.01554592, '\n': -6.887103, ' ': -9.1610775, 'No': -4.2678056, ' Yes': -8.5603485}
{' No': -0.110052004, '\n': -3.6367815, ' ': -7.327852, 'No': -2.6032426, ' Yes': -6.010299}
{' No': -0.16137439, '\n': -3.0707295, 'No': -2.580665, ' Yes': -3.7494442, 'Yes': -6.5872927}
{' No': -0.1264938, 'No': -2.5089705, '\n': -3.3684673, ' ': -6.7937303, ' Unfortunately': -6.861384}
{' No': -0.18643874, '\n': -2.296031, 'No': -2.715619, ' ': -6.5336375, ' Unfortunately': -7.3051405}
{' No': -0.11026782, '\n': -4.112955, 'No': -2.460354, ' Yes': -7.2720127, ' Unfortunately': -6.9450507}
{' No': -0.09736355, '\n': -3.6961715, 'No': -2.726493, ' Yes': -7.3194156, ' Unfortunately': -7.3345118}
{' No': -0.21976164, 'No': -2.044049, '\n': -2.7840393, ' Yes': -6.0483174, ' ': -6.4648194}
{' No': -0.8453992, '\n': -1.9014543, 'No': -2.9238656, ' Yes': -1.073726, 'Yes': -3.903415}
{' No': -0.8877905, '\n': -3.3312795, 'No': -2.8907735, ' Yes': -0.76935554, 'Yes': -3.5206258}
{' No': -0.6694089, '\n': -1.1413423, 'No': -2.1751785, ' Yes': -3.5383337, ' Unfortunately': -4.274948}
{' No': -0.5609395, '\n': -1.5251004, 'No': -2.0326955, ' Yes': -2.9087691, ' Unfortunately': -4.529058}
{' No': -0.24745503, '\n': -2.6237252, 'No': -2.3492234, ' Yes': -3.4039736, ' Unfortunately': -4.353099}
{' No': -0.45844334, ' Yes': -1.8056952, 'No': -2.1418407, '\n': -2.7496688, 'Yes': -4.0614514}
{' No': -0.41655332, '\n': -1.769575, 'No': -2.1579263, ' Yes': -3.1569781, 'Yes': -5.4759307}
